municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,263542,232810.95406360424,875.5548172757475,773.4583191481869,20270,17906.360424028266,67.3421926910299,59.489569515044074,10144,8961.130742049469,33.70099667774086,29.771198478569662,16000,14134.275618374557,53.15614617940199,46.95772630689221,6250,5521.201413427561,20.764119601328904,18.342861838629773,7577,6693.462897526501,25.172757475083056,22.237418264207644,881,778.2685512367491,2.9269102990033224,2.5856098047732528,0,0.0,0.0,0.0,324664,286805.6537102473,1078.6179401993356,952.8427033563033
Aroostook,102960,90954.06360424028,297.57225433526014,262.8730161972262,54233,47909.01060070671,156.742774566474,138.4653485569558,0,0.0,0.0,0.0,100,88.33922261484098,0.28901734104046245,0.25531567229722824,4000,3533.568904593639,11.560693641618498,10.21262689188913,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6813,6018.5512367491165,19.690751445086704,17.394656753610164,168106,148503.5335689046,485.8554913294798,429.2009640719786
Atholville,1843035,1628122.7915194344,1399.4191343963553,1236.235984449077,124300,109805.65371024734,94.38116932422172,83.37559127581423,0,0.0,0.0,0.0,3100,2738.5159010600705,2.3538344722854974,2.079359074457153,82859,73196.9964664311,62.91495823842065,55.57858501627266,0,0.0,0.0,0.0,29,25.618374558303884,0.02201974183750949,0.019452068761050784,3798,3355.1236749116606,2.8838268792710706,2.547550246705893,2057121,1817244.699646643,1561.9749430523918,1379.836522131088
Baker-Brook,305653,270011.4840989399,582.1961904761905,514.3075887598856,67960,60035.33568904593,129.44761904761904,114.35302036008748,59084,52194.34628975265,112.54095238095238,99.41780245667171,0,0.0,0.0,0.0,8185,7230.565371024734,15.59047619047619,13.772505468618542,0,0.0,0.0,0.0,351,310.07067137809184,0.6685714285714286,0.5906108026249368,239,211.13074204946994,0.4552380952380952,0.40215379437994275,441472,389992.93286219076,840.8990476190476,742.8436816422682
Balmoral,831634,734659.0106007067,487.47596717467763,430.63247983628764,230886,203962.89752650177,135.33763188745604,119.55621191471381,106087,93716.43109540635,62.18464243845252,54.933429715947454,0,0.0,0.0,0.0,15000,13250.883392226147,8.792497069167643,7.767223559335374,0,0.0,0.0,0.0,628,554.7703180212014,0.36811254396248533,0.32518775968417435,16298,14397.526501766784,9.553341148886284,8.439347304669862,1200533,1060541.519434629,703.7121922626026,621.6538800906384
Bas-Caraquet,660128,583151.9434628974,448.7613868116927,396.4323205050288,273175,241320.67137809185,185.70700203942897,164.05212194295842,88130,77853.35689045936,59.91162474507138,52.92546355571676,1750,1545.9363957597172,1.1896668932698844,1.0509424852207458,26300,23233.215547703177,17.87899388171312,15.794164206460351,0,0.0,0.0,0.0,25693,22696.996466431094,17.466349422161795,15.4296372987295,2493,2202.296819787986,1.6947654656696125,1.4971426375173256,1077669,952004.4169611307,732.6097892590075,647.181792631632
Bath,298083,263324.20494699647,582.193359375,514.3050877871025,48811,43119.25795053003,95.333984375,84.21730068462897,1047,924.9116607773851,2.044921875,1.8064680874558303,29278,25863.957597173143,57.18359375,50.515542181978795,4220,3727.9151943462894,8.2421875,7.281084363957596,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,381439,336960.2473498233,744.998046875,658.1254831051236
Bathurst,14468808,12781632.508833922,1138.0217083529967,1005.3195303471703,2606235,2302327.738515901,204.98938178386032,181.08602631083065,171000,151060.07067137808,13.449740443605474,11.881396151594942,1094350,966740.2826855123,86.0744061664307,76.03746127776564,383430,338719.0812720848,30.15809344030203,26.641425300620167,0,0.0,0.0,0.0,14068,12427.561837455829,1.1064967752084316,0.977470649477413,0,0.0,0.0,0.0,18737891,16552907.243816253,1473.7998269624036,1301.943310037459
Belledune,3774552,3334409.8939929325,2206.050263004091,1948.8076528304691,42477,37523.851590106,24.82583284628872,21.930947744071304,28000,24734.982332155476,16.36469900642899,14.456447885537976,95137,84043.28621908127,55.603156049094096,49.11939580308666,10500,9275.618374558304,6.136762127410871,5.421167957076741,8000,7067.137809187278,4.67562828755114,4.1304136815822785,3632,3208.4805653710246,2.1227352425482175,1.8752078114383546,46520,41095.40636042403,27.188778492109876,24.018355558400952,4008818,3541358.657243816,2342.967855055523,2069.7595892716636
Beresford,2828252,2498455.830388692,663.2861163227017,585.9417988716446,602900,532597.1731448763,141.39305816135084,124.9055284110873,71445,63113.95759717314,16.755393996247655,14.801584802338917,76750,67800.35335689045,17.99953095684803,15.900645721597199,18078,15969.964664310954,4.23968105065666,3.7453012814988167,8500,7508.833922261484,1.9934333958724202,1.760983565258322,2790,2464.6643109540632,0.6543151969981238,0.5780169584789079,48197,42576.85512367491,11.303236397748593,9.985191164088864,3656912,3230487.632508834,857.624765478424,757.619050775993
