cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
96.8,1.0330578512396695,Alma,PPSA,312,308,0.01172343044585913,14529365,15009674.586776862,46568.47756410256,48107.93136787456,48386.0,26832,22037,0,700,1200,76000,23339,100,3200,24142,2555.0,0,0,228491.0,170334,21648,10312,19000,200,6997,0,0,228491
96.8,1.0330578512396695,Aroostook,PPSA,397,409,0.01200093412570136,8135950,8404907.02479339,20493.576826196473,21171.050440285617,24033.0,34142,8475,11024,0,0,28281,19172,0,0,500,8598.0,0,22825,157050.0,97639,41373,1938,0,6100,0,10000,0,157050
96.8,1.0330578512396695,Atholville,MPSA,1376,1474,0.01100122181491377,132785251,137174846.0743802,96500.90915697675,99691.02185638095,305807.0,118336,79100,137328,2000,4800,324390,65167,0,101693,246591,152983.0,129300,296,1667791.0,1460800,132748,0,3700,70543,0,0,0,1667791
96.8,1.0330578512396695,Baker-Brook,PPSA,629,649,0.01315000600375043,19246303,19882544.421487607,30598.255961844196,31609.768555624178,76334.0,54094,33331,47535,0,0,78445,14930,0,9700,12784,38531.0,2036,0,367720.0,253089,72351,36180,0,6100,0,0,0,367720
96.8,1.0330578512396695,Balmoral,PPSA,1975,1949,0.01390001056004844,46136152,47661314.04958678,23360.076962025316,24132.31091118318,158775.0,169850,46052,169696,0,2500,214605,75569,0,10463,21249,83885.0,0,0,952644.0,641293,202526,90701,0,5636,0,0,12488,952644
96.8,1.0330578512396695,Bas-Caraquet,PPSA,1775,1849,0.01353654728562772,40444139,41781135.33057851,22785.43042253521,23538.667791875218,204489.0,152650,33300,45000,0,4000,207709,51000,0,15729,50505,70945.0,0,0,835327.0,547474,224051,50425,100,11400,0,0,1877,835327
96.8,1.0330578512396695,Bath,PPSA,629,653,0.01359997190604954,18480847,19091784.090909094,29381.314785373608,30352.597918774394,55114.0,54094,28169,20058,0,2000,90535,26826,0,16000,51269,12841.0,0,1052,357958.0,251339,49249,19220,33061,5089,0,0,0,357958
96.8,1.0330578512396695,Bathurst,municipal,13815,14409,0.01600999947106234,719801273,743596356.4049587,52102.878972131744,53825.28819435098,1814339.0,3084801,1336854,449383,600,112150,3166461,260990,0,314834,2190056,2506817.0,83400,209509,15530194.0,11524018,2609303,141910,792430,262533,0,200000,0,15530194
96.8,1.0330578512396695,Belledune,PPSA,2060,2125,0.009197634348860641,203136799,209852065.08264464,98610.09660194175,101869.93450613818,338067.0,177160,140290,24728,308239,7000,351460,137211,0,176977,262880,195580.0,143435,284,2263311.0,1868378,45364,318569,31000,0,0,0,0,2263311
96.8,1.0330578512396695,Beresford,municipal,4720,4367,0.01468279211136377,133993452,138422987.6033058,28388.443220338984,29326.90415324275,364531.0,594999,73640,8000,300,22212,574129,177565,0,71914,276525,466381.0,200,0,2630396.0,1967398,502240,68193,89367,0,0,0,3198,2630396
