municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,312,308,0.01172343044585913,14529365,15009674.586776862,46568.47756410256,48107.93136787456
Aroostook,397,409,0.01200093412570136,8135950,8404907.02479339,20493.576826196473,21171.050440285617
Atholville,1376,1474,0.01100122181491377,132785251,137174846.0743802,96500.90915697675,99691.02185638095
Baker-Brook,629,649,0.01315000600375043,19246303,19882544.421487607,30598.255961844196,31609.768555624178
Balmoral,1975,1949,0.01390001056004844,46136152,47661314.04958678,23360.076962025316,24132.31091118318
Bas-Caraquet,1775,1849,0.01353654728562772,40444139,41781135.33057851,22785.43042253521,23538.667791875218
Bath,629,653,0.01359997190604954,18480847,19091784.090909094,29381.314785373608,30352.597918774394
Bathurst,13815,14409,0.01600999947106234,719801273,743596356.4049587,52102.878972131744,53825.28819435098
Belledune,2060,2125,0.009197634348860641,203136799,209852065.08264464,98610.09660194175,101869.93450613818
Beresford,4720,4367,0.01468279211136377,133993452,138422987.6033058,28388.443220338984,29326.90415324275
Bertrand,1379,1310,0.01310844279184649,29798200,30783264.46280992,21608.556925308196,22322.889385648963
Blacks Harbour,1148,1139,0.01430958812262695,45262938,46759233.47107439,39427.64634146341,40731.03960894982
Blackville,957,938,0.01131449844004115,32678426,33758704.54545455,34146.73563218391,35275.553339032966
Bouctouche,2459,2364,0.01099999603456765,97089035,100298589.87603307,39483.13745424969,40788.3651386877
Cambridge-Narrows,634,534,0.01109997188648607,36373966,37576411.1570248,57372.18611987382,59268.787313919245
Campbellton,8404,8699,0.01562599994507683,322814605,333486162.19008267,38412.0186815802,39681.837480971284
Canterbury,415,422,0.01256356469707377,8080350,8347469.008264463,19470.722891566264,20114.38315244449
Cap-Pelé,2242,2181,0.01200399524045785,80606913,83271604.33884299,35953.12801070473,37141.6611680834
Caraquet,4653,4556,0.01399499875599151,196429528,202923066.1157025,42215.67332903503,43611.23277792876
Centreville,559,529,0.01149974584665211,24886550,25709245.867768597,44519.767441860466,45991.49529117817
Charlo,1610,1597,0.01395605134888321,43998620,45453119.83471075,27328.33540372671,28231.751450130898
Chipman,1518,1615,0.01229999549334602,55207256,57032289.256198354,36368.416337285904,37570.67803438627
Clair,905,903,0.01036800678329971,37418957,38655947.314049594,41346.91381215469,42713.75393817635
Dalhousie,4500,4775,0.01452899329422535,301604379,311574771.6942149,67023.19533333334,69238.83815426998
Dieppe,12497,10463,0.01499899959296209,818606796,845668177.6859505,65504.26470352885,67669.69494166203
Doaktown,986,1090,0.01170001572918823,43034643,44457275.82644629,43645.682555780935,45088.51503696378
Dorchester,1179,848,0.01319005890953837,31054903,32081511.363636367,26340.03647158609,27210.781478911253
Drummond,983,1007,0.01184554482783459,33319700,34421177.68595041,33895.93082400814,35016.457462818325
Edmundston,17814,10835,0.01419528871728145,895362909,924961682.8512398,50261.75530481643,51923.30093472773
Eel River Crossing,1446,1467,0.01209999247766038,34444071,35582717.97520661,23820.24273858921,24607.68877953431
Florenceville-Bristol,1414,1418,0.01147666650561354,107914698,111482126.03305787,76318.73974540312,78841.6732907057
Fredericton,47154,47016,0.01386917449694548,3138633450,3242389927.6859508,66561.34050133605,68761.7153939422
Fredericton Junction,736,714,0.01255938251818623,22723649,23474844.008264467,30874.523097826088,31895.168489489766
