municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,232,301,0.01460348766037117,24996700,20322520.32520325,107744.39655172414,87597.0703672554
Aroostook,351,346,0.01230003381966406,8427050,6851260.162601626,24008.68945868946,19519.259722511753
Atholville,1237,1317,0.01338188736388894,155847000,126704878.04878049,125987.87388843978,102429.16576295916
Baker-Brook,585,525,0.01338620142743854,23706800,19273821.13821138,40524.444444444445,32946.70280036134
Balmoral,1719,1706,0.01429100031929937,82211250,66838414.63414634,47825.043630017455,38882.14929269711
Bas-Caraquet,1380,1471,0.01449500273486776,54024550,43922398.37398374,39148.22463768116,31827.82490868387
Bath,532,512,0.0144500175228299,22399350,18210853.658536583,42104.04135338346,34230.927929580044
Bathurst,12275,12714,0.01754999956098039,984921848,800749469.9186991,80238.03242362525,65234.17270213435
Belledune,1548,1711,0.01141766946481171,379348694,308413572.3577236,245057.2958656331,199233.57387449846
Beresford,4351,4264,0.01559331745523113,244508650,198787520.32520324,56195.96644449552,45687.77759715082
Bertrand,1137,1179,0.01438000382600626,49137400,39949105.69105691,43216.71064204046,35135.53710734996
Blacks Harbour,982,952,0.01558927016787369,62198550,50567926.82926829,63338.64562118126,51494.83383835875
Blackville,990,931,0.01300095145729244,43512200,35375772.35772358,43951.71717171717,35733.103391639976
Bouctouche,2423,2383,0.01167499955462452,190850200,155162764.22764227,78766.07511349567,64037.45944186639
Cambridge-Narrows,620,717,0.01067299619863067,76709200,62365203.25203252,123724.51612903226,100589.03750327826
Campbellton,7385,7384,0.01750399891422355,455342350,370197032.5203252,61657.73188896412,50128.23730810091
Canterbury,336,360,0.01369839449541284,12556800,10208780.487804879,37371.42857142857,30383.275261324045
Cap-Pelé,2256,2279,0.01200399751850418,174007950,141469878.04878047,77131.1835106383,62708.2792769417
Caraquet,4169,4156,0.01471700040280238,318108845,258625077.23577234,76303.39289997601,62035.2787804683
Centreville,542,523,0.01259040537642096,34967500,28428861.788617887,64515.68265682657,52451.77451774518
Charlo,1324,1376,0.01410599606955795,69915800,56842113.82113821,52806.49546827794,42932.11013681134
Chipman,1236,1291,0.01359999695351831,65649500,53373577.23577236,53114.482200647246,43182.505854184754
Clair,857,848,0.01238125110467462,69811281,56757139.02439024,81460.07117852976,66227.70014514614
Dalhousie,3512,3676,0.0166432602701117,247653100,201343983.7398374,70516.25854214124,57330.2914976758
Dieppe,23310,18565,0.01564499966207548,2534589700,2060642032.5203252,108734.00686400686,88401.63159675355
Doaktown,793,888,0.01330001965543564,54692250,44465243.90243902,68968.78940731399,56072.18651001137
Dorchester,1167,1119,0.01523608056119117,41575850,33801504.06504065,35626.263924592975,28964.442215116236
Drummond,775,839,0.01215027087528198,51998100,42274878.048780486,67094.32258064517,54548.229740361916
Edmundston,16032,16643,0.01614574989396087,1286350658,1045813543.0894309,80236.44323852296,65232.88068172598
Eel River Crossing,1209,1168,0.01339999475544897,41948300,34104308.94308943,34696.69148056245,28208.69226061988
Florenceville-Bristol,1639,1539,0.01289900041157329,201057750,163461585.36585367,122670.98840756559,99732.51090045983
Fredericton,56224,50535,0.01411860294888966,6392645032,5197272383.739838,113699.57726237905,92438.6807011212
Fredericton Junction,752,715,0.01329241104928957,36646700,29794065.040650405,48732.313829787236,39619.76734129043
