cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
123.0,0.8130081300813008,Alma,PPSA,232,301,0.01460348766037117,24996700,20322520.32520325,107744.39655172414,87597.0703672554,81749.0,47198,46557,0,700,1000,97119,30526,100,9098,40000,28566.0,10640,13019,406272.0,365039,14964,10754,12000,3500,0,15,0,406272
123.0,0.8130081300813008,Aroostook,PPSA,351,346,0.01230003381966406,8427050,6851260.162601626,24008.68945868946,19519.259722511753,55112.0,44079,16000,11374,0,0,31570,23042,0,0,800,375.0,0,1165,183517.0,103653,73609,0,200,6055,0,0,0,183517
123.0,0.8130081300813008,Atholville,MPSA,1237,1317,0.01338188736388894,155847000,126704878.04878049,125987.87388843978,102429.16576295916,467164.0,372313,139900,174175,4000,4200,504605,91510,0,166528,306864,286200.0,2000,3842,2523301.0,2085527,304254,0,3050,130470,0,0,0,2523301
123.0,0.8130081300813008,Baker-Brook,PPSA,585,525,0.01338620142743854,23706800,19273821.13821138,40524.444444444445,32946.70280036134,117449.0,67137,46900,20698,0,0,103169,17250,0,27486,14000,38911.0,24400,0,477400.0,317344,81869,48636,7060,8000,0,0,14491,477400
123.0,0.8130081300813008,Balmoral,PPSA,1719,1706,0.01429100031929937,82211250,66838414.63414634,47825.043630017455,38882.14929269711,359843.0,289199,89026,145000,0,3611,309383,94713,0,31005,221461,151515.0,0,0,1694756.0,1174881,258892,159973,75000,25457,0,0,553,1694756
123.0,0.8130081300813008,Bas-Caraquet,PPSA,1380,1471,0.01449500273486776,54024550,43922398.37398374,39148.22463768116,31827.82490868387,310346.0,214192,46000,0,1400,4000,298827,83597,0,62366,92100,86084.0,43812,0,1242724.0,783086,292926,87388,0,28980,0,50000,344,1242724
123.0,0.8130081300813008,Bath,PPSA,532,512,0.0144500175228299,22399350,18210853.658536583,42104.04135338346,34230.927929580044,92791.0,81159,36827,0,0,9223,58876,37692,0,20705,63307,63483.0,0,0,464063.0,323671,67513,2750,25225,4450,39789,0,665,464063
123.0,0.8130081300813008,Bathurst,municipal,12275,12714,0.01754999956098039,984921848,800749469.9186991,80238.03242362525,65234.17270213435,2899519.0,4661419,2004260,724383,22681,209100,4671811,365245,0,720975,3095778,3050439.0,105000,9509,22540119.0,17285378,2417703,840479,1415225,512598,0,68736,0,22540119
123.0,0.8130081300813008,Belledune,PPSA,1548,1711,0.01141766946481171,379348694,308413572.3577236,245057.2958656331,199233.57387449846,834958.0,543155,204000,38111,12000,7000,822000,185000,0,507307,439500,497500.0,547836,38640,4677007.0,4331278,139917,29637,139637,20938,8200,7400,0,4677007
123.0,0.8130081300813008,Beresford,municipal,4351,4264,0.01559331745523113,244508650,198787520.32520324,56195.96644449552,45687.77759715082,711622.0,1106328,97082,240000,0,31132,755864,203032,0,101609,547777,596684.0,268360,0,4659490.0,3812701,649137,75428,79900,1400,15000,20784,5140,4659490
123.0,0.8130081300813008,Bertrand,PPSA,1137,1179,0.01438000382600626,49137400,39949105.69105691,43216.71064204046,35135.53710734996,206884.0,181316,53500,0,0,2000,264700,78613,0,56373,143280,93197.0,0,2749,1082612.0,706596,196612,93884,76800,8720,0,0,0,1082612
123.0,0.8130081300813008,Blacks Harbour,PPSA,982,952,0.01558927016787369,62198550,50567926.82926829,63338.64562118126,51494.83383835875,250949.0,188089,170850,50000,4400,30600,208096,55486,0,89548,155558,121129.0,0,0,1324705.0,969630,154877,139415,6500,22398,0,9695,22190,1324705
