municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,81749.0,66462.60162601626,352.3663793103448,286.4767311466218,47198,38372.35772357723,203.43965517241378,165.39809363610877,46557,37851.21951219512,200.67672413793105,163.15180824222037,0,0.0,0.0,0.0,700,569.1056910569106,3.0172413793103448,2.4530417717970283,1000,813.0081300813008,4.310344827586207,3.504345388281469,97119,78958.53658536586,418.6163793103448,340.338519764508,30526,24817.886178861787,131.57758620689654,106.97364732268012,100,81.30081300813008,0.43103448275862066,0.3504345388281469,9098,7396.747967479675,39.21551724137931,31.882534342584805,40000,32520.325203252032,172.41379310344828,140.17381553125875,28566.0,23224.39024390244,123.12931034482759,100.10513036164845,10640,8650.40650406504,45.86206896551724,37.28623493131483,13019,10584.552845528455,56.116379310344826,45.623072610036445,406272.0,330302.43902439025,1751.1724137931035,1423.717409587889
Aroostook,55112.0,44806.50406504065,157.014245014245,127.65385773515855,44079,35836.58536585366,125.58119658119658,102.09853380585088,16000,13008.130081300813,45.58404558404558,37.06019966182568,11374,9247.154471544714,32.40455840455841,26.345169434600326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31570,25666.666666666668,89.94301994301995,73.1244064577398,23042,18733.333333333332,65.64672364672364,53.3713200379867,0,0.0,0.0,0.0,0,0.0,0.0,0.0,800,650.4065040650406,2.2792022792022792,1.8530099830912838,375.0,304.8780487804878,1.0683760683760684,0.8685984295740393,0,0.0,0.0,0.0,1165,947.1544715447154,3.319088319088319,2.698445787876682,183517.0,149200.8130081301,522.8404558404559,425.073541333704
Atholville,467164.0,379808.1300813008,377.65885206143895,307.0397171231211,372313,302693.4959349593,300.9805982215036,244.69967335081594,139900,113739.83739837399,113.09620048504446,91.94813047564591,174175,141605.69105691055,140.80436540016169,114.47509382126965,4000,3252.032520325203,3.2336297493936943,2.628967275929833,4200,3414.6341463414633,3.395311236863379,2.7604156397263244,504605,410247.9674796748,407.92643492320127,331.64750806764334,91510,74398.37398373983,73.97736459175424,60.144198855084746,0,0.0,0.0,0.0,166528,135388.61788617886,134.62247372675827,109.44916563151081,306864,249482.92682926828,248.07113985448666,201.68385354023306,286200.0,232682.92682926828,231.36620856911884,188.10260859277955,2000,1626.0162601626016,1.6168148746968471,1.3144836379649165,3842,3123.5772357723577,3.1059013742926433,2.5251230685306045,2523301.0,2051464.2276422763,2039.8552950687147,1658.4189390802558
Baker-Brook,117449.0,95486.9918699187,200.76752136752137,163.22562712806615,67137,54582.92682926829,114.76410256410256,93.30414842609964,46900,38130.081300813006,80.17094017094017,65.17962615523591,20698,16827.642276422765,35.38119658119658,28.765200472517545,0,0.0,0.0,0.0,0,0.0,0.0,0.0,103169,83877.23577235772,176.35726495726496,143.37989020915848,17250,14024.390243902439,29.487179487179485,23.973316656243483,0,0.0,0.0,0.0,27486,22346.341463414632,46.98461538461538,38.19887429643527,14000,11382.113821138211,23.931623931623932,19.45660482245848,38911.0,31634.959349593497,66.51452991452992,54.07685358904871,24400,19837.39837398374,41.70940170940171,33.91008269057049,0,0.0,0.0,0.0,477400.0,388130.081300813,816.0683760683761,663.4702244458342
Balmoral,359843.0,292555.2845528455,209.3327515997673,170.18922894290026,289199,235121.13821138212,168.2367655613729,136.77785817997795,89026,72378.86178861788,51.789412449098315,42.105213373250656,145000,117886.17886178862,84.35136707388017,68.57834721453672,0,0.0,0.0,0.0,3611,2935.772357723577,2.1006399069226296,1.7078373227013246,309383,251530.8943089431,179.978475858057,146.32396411224147,94713,77002.43902439025,55.0977312390925,44.79490344641666,0,0.0,0.0,0.0,31005,25207.317073170732,18.036649214659686,14.663942450942834,221461,180049.59349593497,128.83129726585224,104.74089208605874,151515.0,123182.92682926828,88.1413612565445,71.65964329800366,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1694756.0,1377850.406504065,985.8964514252473,801.5418304270303
Bas-Caraquet,310346.0,252313.82113821138,224.88840579710146,182.8361022740662,214192,174139.837398374,155.21159420289854,126.18828796983622,46000,37398.37398373984,33.333333333333336,27.100271002710027,0,0.0,0.0,0.0,1400,1138.2113821138212,1.0144927536231885,0.8247908566042182,4000,3252.032520325203,2.898550724637681,2.3565453045834808,298827,242948.78048780488,216.5413043478261,176.04984093319194,83597,67965.0406504065,60.57753623188406,49.25002945681631,0,0.0,0.0,0.0,62366,50704.06504065041,45.19275362318841,36.74207611641334,92100,74878.0487804878,66.73913043478261,54.259455638034645,86084.0,69986.9918699187,62.379710144927536,50.715211499941084,43812,35619.51219512195,31.747826086956522,25.811240721102862,0,0.0,0.0,0.0,1242724.0,1010344.7154471545,900.5246376811594,732.1338517733003
Bath,92791.0,75439.83739837399,174.41917293233084,141.80420563604133,81159,65982.9268292683,152.5545112781955,124.02805794975244,36827,29940.650406504064,69.22368421052632,56.27941805733847,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9223,7498.373983739837,17.336466165413533,14.094687939360597,58876,47866.666666666664,110.66917293233082,89.97493734335839,37692,30643.90243902439,70.84962406015038,57.601320374105995,0,0.0,0.0,0.0,20705,16833.333333333332,38.919172932330824,31.64160401002506,63307,51469.10569105691,118.99812030075188,96.74643926890397,63483.0,51612.19512195122,119.32894736842105,97.01540436456996,0,0.0,0.0,0.0,0,0.0,0.0,0.0,464063.0,377286.9918699187,872.2988721804511,709.1860749434562
Bathurst,2899519.0,2357332.5203252034,236.21336048879837,192.0433825112182,4661419,3789771.544715447,379.7490020366599,308.7390260460649,2004260,1629479.674796748,163.27983706720977,132.74783501399168,724383,588929.268292683,59.0128716904277,47.977944463762356,22681,18439.837398373984,1.8477393075356416,1.5022270792972696,209100,170000.0,17.034623217922608,13.84928716904277,4671811,3798220.325203252,380.59560081466395,309.4273177354992,365245,296947.1544715447,29.75519348268839,24.191214213567797,0,0.0,0.0,0.0,720975,586158.5365853659,58.735234215885946,47.75222293974468,3095778,2516892.6829268294,252.2018737270876,205.04217376185983,3050439.0,2480031.707317073,248.50826883910386,202.039242958621,105000,85365.85365853658,8.55397148676171,6.954448363220902,9509,7730.8943089430895,0.774663951120163,0.6298080903415959,22540119.0,18325300.0,1836.2622403258656,1492.8961303462322
Belledune,834958.0,678827.6422764227,539.3785529715763,438.519148757379,543155,441589.43089430896,350.87532299741605,285.26449024180164,204000,165853.65853658537,131.7829457364341,107.14060628978383,38111,30984.552845528455,24.61950904392765,20.01586101132329,12000,9756.09756097561,7.751937984496124,6.3023886052814015,7000,5691.056910569106,4.521963824289406,3.6763933530808175,822000,668292.6829268292,531.0077519379845,431.713619461776,185000,150406.50406504064,119.50904392764858,97.1618243314216,0,0.0,0.0,0.0,507307,412444.7154471545,327.71770025839794,266.43715468162435,439500,357317.0731707317,283.91472868217056,230.82498266843135,497500.0,404471.5447154471,321.3824289405685,261.2865275939581,547836,445395.1219512195,353.8992248062016,287.72294699691184,38640,31414.63414634146,24.96124031007752,20.29369130900611,4677007.0,3802444.7154471544,3021.3223514211886,2456.3596353017792
Beresford,711622.0,578554.4715447155,163.5536658239485,132.97046001947035,1106328,899453.6585365854,254.2698230291887,206.72343335706398,97082,78928.45528455284,22.312571822569524,18.14030229477197,240000,195121.95121951218,55.159733394621924,44.84531170294465,0,0.0,0.0,0.0,31132,25310.569105691055,7.155136750172375,5.817184349733637,755864,614523.5772357724,173.72190301080212,141.23731952097734,203032,165066.66666666666,46.66329579407033,37.937638856967745,0,0.0,0.0,0.0,101609,82608.94308943089,23.35302229372558,18.986196986768764,547777,445347.1544715447,125.89680533210756,102.35512628626631,596684.0,485108.94308943086,137.13720983681912,111.49366653399927,268360,218178.86178861788,61.67777522408642,50.14453270250928,0,0.0,0.0,0.0,4659490.0,3788203.2520325202,1070.9009423121122,870.6511726114733
Bertrand,206884.0,168198.37398373985,181.9560246262093,147.93172733838156,181316,147411.38211382114,159.4687774846086,129.6494125891127,53500,43495.93495934959,47.05364995602463,38.254999964247666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2000,1626.0162601626016,1.7590149516270888,1.4300934566073893,264700,215203.2520325203,232.8056288478452,189.27286898198795,78613,63913.008130081296,69.14072119613017,56.21196845213834,0,0.0,0.0,0.0,56373,45831.70731707317,49.58047493403694,40.309329214664174,143280,116487.80487804877,126.01583113456465,102.45189523135336,93197.0,75769.918699187,81.9674582233949,66.64020993771943,0,0.0,0.0,0.0,2749,2234.959349593496,2.4177660510114336,1.9656634561068567,1082612.0,880172.3577235772,952.165347405453,774.1181686223194
