municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,365039,296779.674796748,1573.4439655172414,1279.2227361928792,14964,12165.853658536585,64.5,52.4390243902439,10754,8743.089430894308,46.35344827586207,37.685730305578915,12000,9756.09756097561,51.724137931034484,42.052144659377625,3500,2845.528455284553,15.086206896551724,12.265208858985142,0,0.0,0.0,0.0,15,12.195121951219512,0.06465517241379311,0.052565180824222034,0,0.0,0.0,0.0,406272,330302.43902439025,1751.1724137931035,1423.717409587889
Aroostook,103653,84270.73170731707,295.3076923076923,240.08755472170105,73609,59844.71544715447,209.71225071225072,170.4977648067079,0,0.0,0.0,0.0,200,162.60162601626016,0.5698005698005698,0.46325249577282096,6055,4922.764227642277,17.25071225071225,14.024969309522156,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,183517,149200.8130081301,522.8404558404559,425.073541333704
Atholville,2085527,1695550.406504065,1685.9555375909458,1370.6955590170292,304254,247360.9756097561,245.96119644300728,199.96845239268885,0,0.0,0.0,0.0,3050,2479.6747967479673,2.465642683912692,2.0045875478964974,130470,106073.17073170732,105.47291835084883,85.75034012264132,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2523301,2051464.2276422763,2039.8552950687147,1658.4189390802558
Baker-Brook,317344,258003.2520325203,542.4683760683761,441.03120005559026,81869,66560.16260162601,139.94700854700855,113.77805572927524,48636,39541.46341463415,83.13846153846154,67.59224515322077,7060,5739.837398373984,12.068376068376068,9.811687860468348,8000,6504.065040650406,13.675213675213675,11.118059898547703,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14491,11781.30081300813,24.77094017094017,20.13897574873185,477400,388130.081300813,816.0683760683761,663.4702244458342
Balmoral,1174881,955187.8048780487,683.4677137870855,555.6648079569801,258892,210481.30081300813,150.6061663757999,122.44403770390234,159973,130059.34959349594,93.06166375799884,75.6598892341454,75000,60975.60975609756,43.63001745200698,35.47155890407072,25457,20696.747967479674,14.809191390343223,12.039993000279043,0,0.0,0.0,0.0,0,0.0,0.0,0.0,553,449.5934959349593,0.3216986620127981,0.2615436276526814,1694756,1377850.406504065,985.8964514252473,801.5418304270303
Bas-Caraquet,783086,636655.2845528455,567.4536231884058,461.3444090962649,292926,238151.21951219512,212.26521739130436,172.57334747260515,87388,71047.15447154471,63.32463768115942,51.4834452692353,0,0.0,0.0,0.0,28980,23560.975609756097,21.0,17.073170731707318,0,0.0,0.0,0.0,50000,40650.40650406504,36.231884057971016,29.456816307293508,344,279.6747967479675,0.2492753623188406,0.20266289619417935,1242724,1010344.7154471545,900.5246376811594,732.1338517733003
Bath,323671,263147.1544715447,608.4041353383459,494.6375084051593,67513,54888.61788617886,126.90413533834587,103.17409377101289,2750,2235.772357723577,5.169172932330827,4.20257961978116,25225,20508.130081300813,47.41541353383459,38.54911669417446,4450,3617.8861788617887,8.364661654135338,6.800537930191332,39789,32348.780487804877,74.79135338345864,60.805978360535484,0,0.0,0.0,0.0,665,540.650406504065,1.25,1.0162601626016259,464063,377286.9918699187,872.2988721804511,709.1860749434562
Bathurst,17285378,14053152.845528455,1408.177433808554,1144.8597022833771,2417703,1965612.1951219512,196.96154786150714,160.13133972480253,840479,683316.2601626016,68.47079429735234,55.66731243687182,1415225,1150589.430894309,115.29327902240325,93.73437318894574,512598,416746.3414634146,41.75951120162933,33.95082211514579,0,0.0,0.0,0.0,68736,55882.92682926829,5.599674134419552,4.552580597089066,0,0.0,0.0,0.0,22540119,18325300.0,1836.2622403258656,1492.8961303462322
Belledune,4331278,3521364.2276422763,2797.983204134367,2274.783092792168,139917,113753.65853658537,90.38565891472868,73.48427554042982,29637,24095.121951219513,19.1453488372093,15.565324257893742,139637,113526.01626016259,90.2047803617571,73.33721980630658,20938,17022.764227642278,13.525839793281653,10.996617718115166,8200,6666.666666666667,5.297157622739018,4.306632213608958,7400,6016.260162601626,4.780361757105943,3.8864729732568644,0,0.0,0.0,0.0,4677007,3802444.7154471544,3021.3223514211886,2456.3596353017792
Beresford,3812701,3099756.9105691058,876.2815444725351,712.4240198963699,649137,527753.6585365854,149.19259940243623,121.29479626214328,75428,61323.577235772354,17.33578487703976,14.094134046373789,79900,64959.349593495936,18.36359457595955,14.929751687771992,1400,1138.2113821138212,0.3217651114686279,0.2615976516005105,15000,12195.121951219511,3.4474833371638702,2.8028319814340406,20784,16897.560975609755,4.7768329119742585,3.8836039934750066,5140,4178.861788617886,1.1813376235348196,0.9604370923047314,4659490,3788203.2520325202,1070.9009423121122,870.6511726114733
Bertrand,706596,574468.2926829269,621.4564643799472,505.24915803247745,196612,159847.15447154472,172.9217238346526,140.58676734524602,93884,76328.45528455284,82.5716798592788,67.13144704006406,76800,62439.0243902439,67.54617414248021,54.91558873372375,8720,7089.430894308943,7.669305189094107,6.235207470808217,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1082612,880172.3577235772,952.165347405453,774.1181686223194
Blacks Harbour,969630,788317.0731707317,987.4032586558045,802.7668769559385,154877,125916.26016260163,157.71588594704684,128.22429751792427,139415,113345.52845528456,141.9704684317719,115.42314506648121,6500,5284.552845528455,6.619144602851324,5.381418376301888,22398,18209.756097560974,22.808553971486763,18.543539814216878,0,0.0,0.0,0.0,9695,7882.113821138211,9.872708757637474,8.026592485884125,22190,18040.650406504064,22.596741344195518,18.371334426175217,1324705,1076995.9349593495,1348.9867617107943,1096.737204642922
