cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
103.4,0.9671179883945841,Alma,PPSA,290,312,0.01207620155987053,15123050,14625773.694390714,52148.44827586207,50433.70239445074,52280.0,24940,25030,0,1200,1000,74600,27380,100,8332,25400,450.0,0,0,240712.0,182629,21648,10695,16000,250,7399,994,1097,240712
103.4,0.9671179883945841,Aroostook,PPSA,380,397,0.01214895153688901,8169100,7900483.558994196,21497.63157894737,20790.746207879463,32201.0,32680,11951,9629,0,0,27700,22178,0,0,895,8800.0,0,1085,147119.0,99246,41373,0,500,6000,0,0,0,147119
103.4,0.9671179883945841,Atholville,MPSA,1381,1376,0.01169037008641206,125214000,121096711.79883945,90669.08037653874,87687.698623345,362643.0,118766,89090,158996,4000,4000,319612,77787,0,98726,281369,160130.0,0,0,1675119.0,1463798,132748,0,3100,72759,0,18,2696,1675119
103.4,0.9671179883945841,Baker-Brook,PPSA,599,629,0.01314997824600659,20915700,20227949.7098646,34917.696160267114,33769.53206989082,87883.0,51614,39111,41692,0,0,101588,15050,0,9982,12384,34006.0,159,0,393469.0,275041,72351,37792,0,8000,0,0,285,393469
103.4,0.9671179883945841,Balmoral,PPSA,1836,1975,0.01414120539694008,50131370,48482949.7098646,27304.667755991286,26406.835353956754,167566.0,159896,54960,164890,0,2500,263673,90869,0,23900,32200,39962.0,0,8290,1008706.0,708918,202526,91526,0,5660,0,76,0,1008706
103.4,0.9671179883945841,Bas-Caraquet,PPSA,1689,1775,0.01372491142363786,41358664,39998707.9303675,24487.07164002368,23681.887466173772,214672.0,145254,29500,40000,0,4000,214595,58500,0,16732,51900,79874.0,5,0,855032.0,567644,224051,50425,500,11400,0,0,1012,855032
103.4,0.9671179883945841,Bath,PPSA,592,629,0.01390013056462949,19990100,19332785.299806576,33767.06081081081,32656.731925348948,61194.0,50912,37774,19432,0,2200,72853,27156,0,18842,61663,12476.0,70,4846,369418.0,277865,49249,1204,34295,6805,0,0,0,369418
103.4,0.9671179883945841,Bathurst,municipal,12924,13815,0.01635999978600278,717953249,694345501.9342359,55551.93817703497,53725.27870119436,1924807.0,3175694,1407182,449383,600,124450,3240331,271061,0,357957,2328981,2464482.0,82971,0,15827899.0,11745715,2609303,169833,921816,243014,0,1695,136523,15827899
103.4,0.9671179883945841,Belledune,PPSA,1923,2060,0.01006405988153198,245551500,237477272.72727272,127691.88767550702,123493.12154304354,506460.0,384469,152200,15888,370198,7000,496250,140000,0,287400,229000,348436.0,41261,884,2979446.0,2471245,45364,394698,53237,0,10400,4502,0,2979446
103.4,0.9671179883945841,Beresford,municipal,4414,4720,0.01544937497873574,138642243,134083407.1566731,31409.66085183507,30376.84801918285,324476.0,728157,64069,0,300,21978,548540,196624,0,50894,391521,492820.0,1600,85662,2906641.0,2141936,502240,68593,95266,1000,97600,6,0,2906641
103.4,0.9671179883945841,Bertrand,PPSA,1269,1379,0.0139702943666225,30300650,29304303.675048355,23877.580772261623,23092.437884198862,112463.0,109634,30800,0,0,2000,179800,64300,0,10150,37850,63802.0,0,49655,660454.0,423309,139373,76822,14000,1950,5000,0,0,660454
103.4,0.9671179883945841,Blacks Harbour,PPSA,1082,1148,0.01443591670834045,50091450,48444342.35976789,46295.24029574861,44772.959667068295,189689.0,166912,90197,58000,2028,4375,138253,44750,21565,65021,112671,56153.0,74130,2,1023746.0,723116,166253,32324,66390,15705,0,19958,0,1023746
103.4,0.9671179883945841,Blackville,PPSA,1015,957,0.01162931864644053,34216450,33091344.294003867,33710.7881773399,32602.309649264895,114562.0,160000,38475,0,1000,3500,109446,39060,0,6098,30000,14675.0,47601,0,564417.0,397914,80135,73086,0,13056,0,159,67,564417
103.4,0.9671179883945841,Bouctouche,MPSA,2426,2459,0.0114750038475169,106237350,102744052.22437136,43791.1582852432,42351.216910293224,268164.0,275300,87100,31417,0,6025,418050,151000,0,153231,180940,80954.0,72100,0,1724281.0,1219074,189707,116559,100000,45250,0,13,53678,1724281
103.4,0.9671179883945841,Cambridge-Narrows,PPSA,654,634,0.01109998125120166,41869350,40492601.54738878,64020.4128440367,61915.29288591556,83000.0,56244,26665,0,1000,2000,176475,38000,5000,20000,12500,700.0,18591,72660,512835.0,464749,43936,0,0,4144,0,6,0,512835
103.4,0.9671179883945841,Campbellton,MPSA,7798,8404,0.01605600055305172,330500736,319633206.9632495,42382.756604257505,40989.12630972679,880815.0,1735007,479353,25000,1500,63151,1810081,359475,0,244281,1036405,1435502.0,6353,0,8076923.0,5306520,1850436,352508,37500,195100,17500,312566,4793,8076923
103.4,0.9671179883945841,Canterbury,PPSA,399,433,0.01218059721672768,9984650,9656334.622823983,25024.18546365915,24201.339906827026,43747.0,34314,23600,0,0,5000,38766,22500,0,0,4500,20425.0,0,0,192852.0,121619,32692,32436,0,5974,0,0,131,192852
103.4,0.9671179883945841,Cap-Pelé,PPSA,2266,2242,0.01200399880615577,93003758,89945607.3500967,41043.141218005294,39693.560172152116,325932.0,245000,82056,0,8623,0,265609,80019,0,77471,288573,262836.0,0,0,1636119.0,1116417,212028,60351,118364,73061,0,55005,893,1636119
