municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,290,312,0.01207620155987053,15123050,14625773.694390714,52148.44827586207,50433.70239445074
Aroostook,380,397,0.01214895153688901,8169100,7900483.558994196,21497.63157894737,20790.746207879463
Atholville,1381,1376,0.01169037008641206,125214000,121096711.79883945,90669.08037653874,87687.698623345
Baker-Brook,599,629,0.01314997824600659,20915700,20227949.7098646,34917.696160267114,33769.53206989082
Balmoral,1836,1975,0.01414120539694008,50131370,48482949.7098646,27304.667755991286,26406.835353956754
Bas-Caraquet,1689,1775,0.01372491142363786,41358664,39998707.9303675,24487.07164002368,23681.887466173772
Bath,592,629,0.01390013056462949,19990100,19332785.299806576,33767.06081081081,32656.731925348948
Bathurst,12924,13815,0.01635999978600278,717953249,694345501.9342359,55551.93817703497,53725.27870119436
Belledune,1923,2060,0.01006405988153198,245551500,237477272.72727272,127691.88767550702,123493.12154304354
Beresford,4414,4720,0.01544937497873574,138642243,134083407.1566731,31409.66085183507,30376.84801918285
Bertrand,1269,1379,0.0139702943666225,30300650,29304303.675048355,23877.580772261623,23092.437884198862
Blacks Harbour,1082,1148,0.01443591670834045,50091450,48444342.35976789,46295.24029574861,44772.959667068295
Blackville,1015,957,0.01162931864644053,34216450,33091344.294003867,33710.7881773399,32602.309649264895
Bouctouche,2426,2459,0.0114750038475169,106237350,102744052.22437136,43791.1582852432,42351.216910293224
Cambridge-Narrows,654,634,0.01109998125120166,41869350,40492601.54738878,64020.4128440367,61915.29288591556
Campbellton,7798,8404,0.01605600055305172,330500736,319633206.9632495,42382.756604257505,40989.12630972679
Canterbury,399,433,0.01218059721672768,9984650,9656334.622823983,25024.18546365915,24201.339906827026
Cap-Pelé,2266,2242,0.01200399880615577,93003758,89945607.3500967,41043.141218005294,39693.560172152116
Caraquet,4442,4653,0.01399500229461362,203193250,196511847.19535783,45743.64025213868,44239.49734249388
Centreville,535,559,0.01150040062947924,29320109,28356004.83558994,54803.94205607477,53001.87819736438
Charlo,1449,1610,0.0139559942520278,46207600,44688201.16054159,31889.302967563835,30840.71853729578
Chipman,1432,1518,0.01269998730447802,57106750,55228965.18375242,39879.01536312849,38567.71311714554
Clair,863,905,0.01036796564480626,39249262,37958667.31141199,45480.025492468136,43984.55076641019
Dalhousie,3975,4500,0.01526992586566587,289667942,280143077.36943907,72872.43823899371,70476.24587910417
Dieppe,14951,12497,0.01534900016752997,970572600,938658220.5029013,64916.90187947294,62782.30355848447
Doaktown,955,986,0.01170001900706763,44273005,42817219.535783365,46359.167539267015,44834.78485422342
Dorchester,954,1179,0.01331033549121081,31652245,30611455.51257253,33178.45387840671,32087.479572927183
Drummond,932,983,0.01194328354767491,34695400,33554545.45454545,37226.824034334764,36002.731174404995
Edmundston,17373,17876,0.01475256104504608,920070892,889817110.2514507,52959.81649686295,51218.3911961924
Eel River Crossing,1335,1446,0.01210000014222344,35155950,33999951.64410058,26334.044943820223,25468.128572359983
