municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,182629,176623.7911025145,629.755172413793,609.047555525912,21648,20936.170212765956,74.64827586206897,72.19369038884813,10695,10343.326885880077,36.87931034482759,35.66664443406923,16000,15473.887814313344,55.172413793103445,53.35823384245981,250,241.779497098646,0.8620689655172413,0.8337224037884345,7399,7155.705996131527,25.513793103448275,24.674848262522506,994,961.3152804642166,3.4275862068965517,3.314880277462816,1097,1060.9284332688587,3.782758620689655,3.6583739078236506,240712,232796.9052224371,830.0413793103448,802.7479490428866
Aroostook,99246,95982.59187620888,261.1736842105263,252.58576809528654,41373,40012.572533849125,108.87631578947368,105.29624351012927,0,0.0,0.0,0.0,500,483.558994197292,1.3157894736842106,1.2725236689402422,6000,5802.707930367505,15.789473684210526,15.270284027282907,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,147119,142281.43133462282,387.15526315789475,374.424819301639
Atholville,1463798,1415665.3771760154,1059.9551049963795,1025.1016489326687,132748,128382.97872340425,96.12454742939899,92.96377894526013,0,0.0,0.0,0.0,3100,2998.0657640232107,2.24475018102824,2.1709382795244103,72759,70366.53771760155,52.68573497465604,50.95332202577954,0,0.0,0.0,0.0,18,17.408123791102515,0.013034033309196235,0.012605448074657867,2696,2607.350096711799,1.9522085445329471,1.8880160005154227,1675119,1620037.7176015473,1212.975380159305,1173.0903096318227
Baker-Brook,275041,265997.0986460348,459.1669449081803,444.0686120968861,72351,69971.95357833656,120.78631051752922,116.81461365331646,37792,36549.32301740812,63.09181969949916,61.01723375193342,0,0.0,0.0,0.0,8000,7736.943907156672,13.35559265442404,12.91643390176406,0,0.0,0.0,0.0,0,0.0,0.0,0.0,285,275.62862669245646,0.4757929883138564,0.46014795775034467,393469,380530.9477756286,656.8764607679466,635.2770413616504
Balmoral,708918,685607.3500967118,386.12091503267976,373.42448262348137,202526,195866.53771760155,110.3082788671024,106.68112076122088,91526,88516.4410058027,49.850762527233115,48.2115691752738,0,0.0,0.0,0.0,5660,5473.887814313346,3.082788671023965,2.9814203781663107,0,0.0,0.0,0.0,76,73.5009671179884,0.04139433551198257,0.04003320649127908,0,0.0,0.0,0.0,1008706,975537.7176015474,549.4041394335512,531.3386261446336
Bas-Caraquet,567644,548978.7234042552,336.08288928359974,325.0318078177947,224051,216683.75241779495,132.65304914150386,128.29115004013912,50425,48766.9245647969,29.854943753700415,28.873253146712198,500,483.558994197292,0.2960331557134399,0.28629899005168263,11400,11025.145067698259,6.74955595026643,6.527616973178365,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1012,978.7234042553191,0.5991711071640023,0.5794691558646058,855032,826916.827852998,506.2356423919479,489.5895961237407
Bath,277865,268728.2398452611,469.36655405405406,453.9328375764546,49249,47629.59381044487,83.19087837837837,80.4553949500758,1204,1164.4100580270792,2.0337837837837838,1.9669088818024987,34295,33167.31141199226,57.93074324324324,56.02586387160855,6805,6581.237911025145,11.494932432432432,11.116955930785718,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,369418,357270.79303675046,624.0168918918919,603.4979612107271
Bathurst,11745715,11359492.263056092,908.8296966883318,878.9455480544794,2609303,2523503.8684719536,201.89593005261528,195.25718573753898,169833,164248.5493230174,13.140900649953574,12.708801402276183,921816,891504.8355899419,71.3259052924791,68.98056604688502,243014,235023.21083172146,18.803311668214175,18.185020955719704,0,0.0,0.0,0.0,1695,1639.26499032882,0.13115134633240483,0.12683882624023676,136523,132033.84912959381,10.563525224388734,10.216175265366282,15827899,15307445.84139265,1224.690420922315,1184.4201362885058
Belledune,2471245,2389985.493230174,1285.098803952158,1242.842170166497,45364,43872.34042553191,23.590223608944356,22.81452960246069,394698,381719.53578336554,205.25117004680186,198.50209869129773,53237,51486.46034816247,27.684347373894955,26.774030342258175,0,0.0,0.0,0.0,10400,10058.027079303674,5.408216328653146,5.230383296569774,4502,4353.965183752418,2.341133645345814,2.2641524616497235,0,0.0,0.0,0.0,2979446,2881475.8220502897,1549.3738949557983,1498.4273645607332
Beresford,2141936,2071504.8355899418,485.2596284549162,469.3033157204218,502240,485725.33849129593,113.78341640235614,110.04198878371,68593,66337.5241779497,15.539873130946987,15.028890842308495,95266,92133.46228239844,21.582691436338923,20.873009126053113,1000,967.117988394584,0.22655188038060717,0.21910239882070323,97600,94390.71566731141,22.111463525147258,21.384394124900638,6,5.802707930367505,0.001359311282283643,0.0013146143929242194,0,0.0,0.0,0.0,2906641,2811064.7969052223,658.5049841413684,636.8520156106077
