municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,301,290,0.01374267653364138,23197519,19331265.833333336,77068.16943521595,64223.47452934663
Aroostook,346,380,0.01229958348024071,8366950,6972458.333333334,24181.93641618497,20151.613680154143
Atholville,1317,1381,0.0128820704431491,148163450,123469541.66666667,112500.72133637054,93750.60111364211
Baker-Brook,525,599,0.01297358271977561,22960350,19133625.0,43734.0,36445.0
Balmoral,1706,1836,0.01429099071757019,69852400,58210333.333333336,40945.134818288396,34120.945681907
Bas-Caraquet,1471,1689,0.01449499294601032,51341867,42784889.16666667,34902.69680489463,29085.580670745527
Bath,512,592,0.01499499869989623,21344450,17787041.666666668,41688.37890625,34740.315755208336
Bathurst,12714,12924,0.01755000002823187,924487178,770405981.6666667,72714.10869907189,60595.09058255991
Belledune,1711,1923,0.01090929877242523,368686300,307238583.3333334,215480.01168907073,179566.67640755896
Beresford,4264,4414,0.01559328475665157,223646400,186372000.0,52449.906191369606,43708.25515947467
Bertrand,1179,1269,0.0143800030004008,44660700,37217250.0,37880.15267175573,31566.793893129772
Blacks Harbour,952,1082,0.01548921204687314,60166650,50138875.0,63200.262605042015,52666.88550420168
Blackville,931,1015,0.01286999750115331,41619200,34682666.66666667,44703.759398496244,37253.132832080206
Bouctouche,2383,2426,0.01167499973029062,173427413,144522844.1666667,72776.92530423835,60647.43775353197
Cambridge-Narrows,717,654,0.01067299558320717,66727377,55606147.5,93064.6820083682,77553.90167364017
Campbellton,7384,7798,0.01750400183337587,411463908,342886590.0,55723.71451787649,46436.42876489707
Canterbury,360,399,0.01388300310592267,11671250,9726041.666666668,32420.13888888889,27016.782407407412
Cap-Pelé,2279,2266,0.01200400272456511,156318525,130265437.5,68590.84028082492,57159.033567354105
Caraquet,4156,4442,0.01471700083729893,280396872,233664060.0,67467.96727622714,56223.30606352262
Centreville,523,535,0.01219483851027662,32355000,26962500.0,61864.24474187381,51553.53728489484
Charlo,1376,1449,0.01395600009141255,65636500,54697083.333333336,47700.94476744186,39750.78730620155
Chipman,1291,1432,0.01341110442974544,64857000,54047500.0,50237.80015491867,41864.83346243222
Clair,848,863,0.0119748778325226,46064019,38386682.5,54320.777122641506,45267.31426886792
Dalhousie,3676,3975,0.01642457290201415,288168650,240140541.6666667,78391.90696409141,65326.58913674284
Dieppe,18565,14951,0.01564500014952938,2186058656,1821715546.6666667,117751.61088068946,98126.34240057456
Doaktown,888,955,0.01299999496739821,52259251,43549375.833333336,58850.507882882885,49042.089902402404
Dorchester,1119,954,0.01525509643298182,38666750,32222291.666666668,34554.736371760504,28795.61364313375
Drummond,839,932,0.01205524185460143,48108450,40090375.0,57340.22646007151,47783.5220500596
Edmundston,16643,17373,0.01585806418843494,1208286634,1006905528.3333334,72600.29045244247,60500.24204370206
Eel River Crossing,1168,1335,0.01309998938603459,42868050,35723375.0,36702.09760273973,30585.08133561644
Florenceville-Bristol,1539,1481,0.01283351445853253,196135050,163445875.0,127443.17738791423,106202.64782326185
Fredericton,50535,47560,0.01411073103288395,5807716114,4839763428.333334,114924.62875234986,95770.52396029155
Fredericton Junction,715,692,0.01295000612756319,35495350,29579458.333333336,49643.846153846156,41369.8717948718
Gagetown,719,682,0.01219999698072191,52992800,44160666.66666667,73703.47705146036,61419.564209550306
Grand Bay-Westfield,4981,4949,0.01369980748448078,322352194,268626828.3333334,64716.36097169243,53930.3008097437
Grand Falls/Grand-Sault,5650,5858,0.0144729230461881,498675076,415562563.3333334,88261.0753982301,73550.89616519175
Grand Manan,2460,2610,0.01115661485527607,159356850,132797375.0,64779.20731707317,53982.672764227646
Grande-Anse,758,853,0.01425998198739117,32477250,27064375.0,42845.976253298155,35704.98021108179
Hampton,4004,3997,0.0125000008386214,298108300,248423583.33333334,74452.62237762238,62043.85198135198
Hartland,947,902,0.01479607019233326,71443700,59536416.66666667,75442.13305174235,62868.444209785295
Harvey,352,349,0.01188088852612681,15750758,13125631.666666668,44746.47159090909,37288.726325757576
Hillsborough,1292,1288,0.01346048501691205,64999218,54166015.0,50308.99226006192,41924.160216718265
Kedgwick,1146,1184,0.01486705452475624,42515550,35429625.0,37099.08376963351,30915.903141361257
Lac Baker,721,700,0.00997604972096316,43506800,36255666.66666667,60342.302357836335,50285.25196486362
Lamèque,1422,1580,0.01499996851320991,76857628,64048023.333333336,54048.964838255975,45040.80403187998
Le Goulet,908,969,0.01597240541842012,19105200,15921000.0,21040.969162995596,17534.140969162996
Maisonnette,599,605,0.01412535193199695,22216650,18513875.0,37089.56594323873,30907.97161936561
McAdam,1404,1513,0.01572158481079499,43557250,36297708.333333336,31023.682336182337,25853.06861348528
Meductic,155,189,0.01046853947853773,12877250,10731041.666666668,83079.03225806452,69232.52688172043
Memramcook,4638,4719,0.01381200050849612,235990000,196658333.33333334,50881.84562311341,42401.53801926118
Millville,303,319,0.01455626815764951,9121500,7601250.0,30103.960396039605,25086.633663366338
Minto,2681,2776,0.01273747454620262,105239700,87699750.0,39253.89779932861,32711.58149944051
Miramichi,18129,18508,0.01715661047492247,1205698470,1004748725.0,66506.61757405262,55422.18131171052
Moncton,64128,61046,0.01641790722320743,6282021612,5235018010.0,97960.66635479042,81633.88862899202
Nackawic,977,1042,0.01306986397793327,121942126,101618438.33333334,124812.82088024565,104010.68406687138
New Maryland,4248,4284,0.0117586619982294,313452500,261210416.6666667,73788.25329566855,61490.2110797238
Nigadoo,927,983,0.01374999011724896,37944900,31620750.0,40933.00970873787,34110.84142394822
Norton,1314,1370,0.01167801736544826,55760150,46466791.66666667,42435.42617960426,35362.85514967022
Néguac,1623,1697,0.01271623863243942,93614632,78012193.33333334,57679.995070856436,48066.662559047036
Oromocto,8402,8843,0.01219888772971578,947308415,789423679.1666667,112747.96655558201,93956.63879631835
Paquetville,642,667,0.01221130447434848,37456850,31214041.666666668,58344.0031152648,48620.002596054
Perth-Andover,1797,1908,0.01230000302349647,102530300,85441916.66666667,57056.37173066221,47546.97644221852
Petit-Rocher,1949,1966,0.01466119407040887,84639900,70533250.0,43427.34735761929,36189.45613134941
Petitcodiac,1368,1444,0.01279399547120249,80705750,67254791.66666667,58995.431286549705,49162.85940545809
Plaster Rock,1150,1219,0.01556145344723386,57472138,47893448.333333336,49975.77217391304,41646.476811594206
Pointe-Verte,971,1041,0.01570000714268708,31500750,26250625.0,32441.55509783728,27034.629248197733
Port Elgin,451,436,0.01297740383796554,20549950,17124958.333333336,45565.29933481153,37971.082779009615
Quispamsis,15239,13757,0.01207001030604695,1429112450,1190927041.6666667,93779.93634752936,78149.94695627448
Rexton,862,810,0.01212900425332703,67500100,56250083.333333336,78306.38051044084,65255.317092034034
Richibucto,1290,1341,0.01297799708648275,98697202,82247668.33333334,76509.45891472868,63757.882428940575
Riverside-Albert,320,393,0.01296358593451521,20154300,16795250.0,62982.1875,52485.15625
Riverview,17832,17010,0.01570174937579733,1212446750,1010372291.6666667,67992.75179452669,56660.62649543892
Rivière-Verte,798,856,0.01199999364920091,31492100,26243416.666666668,39463.784461152885,32886.487050960735
Rogersville,1165,1248,0.0146489924657606,47715500,39762916.66666667,40957.510729613736,34131.258941344786
Rothesay,11637,11505,0.01190000032554358,1121201650,934334708.3333334,96347.99776574719,80289.99813812265
Sackville,5411,5361,0.01534995605037915,521763318,434802765.0,96426.41249306967,80355.34374422472
Saint Andrews,1798,1869,0.01107699889682666,245926900,204939083.33333334,136778.03114571745,113981.69262143123
Saint George,1512,1509,0.01249999478076063,119749250,99791041.66666667,79199.23941798942,65999.36618165785
Saint John,68043,69661,0.01785000006053069,6096081660,5080068050.0,89591.60619020325,74659.67182516938
Saint-Antoine,1546,1472,0.01214206538274191,90124700,75103916.66666667,58295.40750323415,48579.50625269513
Saint-François-de-Madawaska,585,572,0.01459624611950386,35659100,29715916.666666668,60955.72649572649,50796.43874643875
Saint-Hilaire,231,237,0.01101678875608987,22824800,19020666.666666668,98808.658008658,82340.54834054834
Saint-Isidore,796,877,0.01240699322650736,40776600,33980500.0,51226.884422110554,42689.0703517588
Saint-Louis-de-Kent,960,991,0.01385598689077975,46858012,39048343.333333336,48810.42916666667,40675.35763888889
Saint-Léolin,733,802,0.01523055248829151,17070950,14225791.666666668,23289.154160982263,19407.62846748522
Saint-Léonard,1352,1385,0.01502198797330176,62890744,52408953.333333336,46516.8224852071,38764.01873767259
Saint-Quentin,2250,2280,0.013800416791417,109719150,91432625.0,48764.066666666666,40636.72222222222
Sainte-Anne-de-Madawaska,1073,1168,0.01471698552838163,36480025,30400020.833333336,33998.159366262815,28331.799471885683
Sainte-Marie-Saint-Raphaël,993,1135,0.01479999290943577,28206500,23505416.666666668,28405.337361530714,23671.114467942265
Salisbury,2036,1954,0.008988037983548868,139570950,116309125.0,68551.54715127702,57126.28929273084
Shediac,5497,4892,0.01478399947077881,469822460,391518716.6666667,85468.88484627979,71224.07070523316
Shippagan,2754,2920,0.01499999800570528,200572160,167143466.6666667,72829.39724037763,60691.16436698137
St. Martins,386,374,0.01221659491523498,19892286,16576905.0,51534.41968911917,42945.349740932645
St. Stephen,4780,4667,0.01564999912731908,343252607,286043839.1666667,71810.16882845189,59841.80735704324
Stanley,433,460,0.01342325175110907,24290463,20242052.5,56098.066974595844,46748.389145496534
Sussex,4241,4182,0.01252162448539371,373851093,311542577.5,88151.63711388824,73459.69759490686
Sussex Corner,1413,1321,0.01159999622174574,84695200,70579333.33333334,59939.98584571833,49949.98820476528
