municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,318796,265663.3333333334,1059.1229235880398,882.6024363233666,20067,16722.5,66.66777408637874,55.556478405315616,10637,8864.166666666668,35.33887043189369,29.449058693244744,12000,10000.0,39.8671096345515,33.222591362126245,3200,2666.666666666667,10.631229235880399,8.859357696567,7621,6350.833333333334,25.31893687707641,21.099114064230346,23,19.166666666666668,0.07641196013289037,0.06367663344407531,0,0.0,0.0,0.0,372344,310286.6666666667,1237.0232558139535,1030.8527131782946
Aroostook,102910,85758.33333333334,297.42774566473986,247.8564547206166,53691,44742.5,155.17630057803467,129.3135838150289,0,0.0,0.0,0.0,200,166.66666666666669,0.5780346820809249,0.48169556840077077,6055,5045.833333333334,17.5,14.583333333333336,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,162856,135713.33333333334,470.6820809248555,392.2350674373796
Atholville,1908652,1590543.3333333335,1449.2422171602127,1207.7018476335106,123057,102547.5,93.4373576309795,77.86446469248291,0,0.0,0.0,0.0,3100,2583.3333333333335,2.3538344722854974,1.9615287269045811,97494,81245.0,74.02733485193622,61.689445709946845,0,0.0,0.0,0.0,10,8.333333333333334,0.007593014426727411,0.006327512022272843,0,0.0,0.0,0.0,2132313,1776927.5,1619.0683371298405,1349.223614274867
Baker-Brook,297878,248231.6666666667,567.3866666666667,472.82222222222225,67280,56066.66666666667,128.15238095238095,106.7936507936508,51700,43083.333333333336,98.47619047619048,82.06349206349206,0,0.0,0.0,0.0,9000,7500.0,17.142857142857142,14.285714285714286,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14501,12084.166666666668,27.62095238095238,23.01746031746032,440359,366965.8333333334,838.7790476190477,698.9825396825397
Balmoral,998260,831883.3333333334,585.1465416178195,487.62211801484955,228577,190480.83333333334,133.9841735052755,111.65347792106292,113107,94255.83333333334,66.29953106682298,55.24960922235249,0,0.0,0.0,0.0,10149,8457.5,5.949003516998828,4.957502930832357,0,0.0,0.0,0.0,76,63.333333333333336,0.044548651817116064,0.03712387651426339,0,0.0,0.0,0.0,1350169,1125140.8333333335,791.4237983587338,659.5198319656116
Bas-Caraquet,744200,620166.6666666667,505.91434398368455,421.5952866530705,270443,225369.1666666667,183.84976206662134,153.2081350555178,87258,72715.0,59.31883072739633,49.43235893949694,500,416.6666666666667,0.3399048266485384,0.2832540222071154,30067,25055.833333333336,20.43983684568321,17.033197371402675,0,0.0,0.0,0.0,35000,29166.666666666668,23.79333786539769,19.827781554498074,1697,1414.1666666666667,1.1536369816451393,0.9613641513709495,1169165,974304.1666666667,794.8096532970768,662.341377747564
Bath,320060,266716.6666666667,625.1171875,520.9309895833334,48323,40269.16666666667,94.380859375,78.65071614583334,1405,1170.8333333333335,2.744140625,2.286783854166667,25937,21614.166666666668,50.658203125,42.215169270833336,6672,5560.0,13.03125,10.859375,39789,33157.5,77.712890625,64.7607421875,0,0.0,0.0,0.0,0,0.0,0.0,0.0,442186,368488.3333333334,863.64453125,719.7037760416667
Bathurst,16224750,13520625.0,1276.1326097215667,1063.443841434639,2580173,2150144.166666667,202.93951549473022,169.1162629122752,718207,598505.8333333334,56.4894604373132,47.074550364427665,1613147,1344289.1666666667,126.87958156363064,105.73298463635888,565488,471240.0,44.47758376592732,37.06465313827277,0,0.0,0.0,0.0,34739,28949.166666666668,2.7323422998269624,2.276951916522469,20892,17410.0,1.6432279377064654,1.3693566147553877,21757396,18131163.333333336,1711.2943212207015,1426.0786010172515
Belledune,4022109,3351757.5,2350.7358270017535,1958.9465225014612,42052,35043.333333333336,24.577440093512564,20.481200077927138,27810,23175.0,16.25365283459965,13.544710695499708,143137,119280.83333333334,83.65692577440093,69.71410481200078,1500,1250.0,0.8766803039158387,0.7305669199298656,8500,7083.333333333334,4.967855055523086,4.139879212935905,16308,13590.0,9.531268264172999,7.9427235534774985,0,0.0,0.0,0.0,4261416,3551180.0,2490.5996493278785,2075.499707773232
Beresford,3487382,2906151.666666667,817.8663227016885,681.5552689180739,596871,497392.5,139.97912757973734,116.64927298311444,73428,61190.0,17.22045028142589,14.350375234521575,62250,51875.0,14.598968105065666,12.16580675422139,25284,21070.0,5.929643527204503,4.941369606003752,22200,18500.0,5.206378986866792,4.338649155722327,55,45.833333333333336,0.012898686679174483,0.010748905565978737,0,0.0,0.0,0.0,4267470,3556225.0,1000.8137898686679,834.0114915572233
Bertrand,642221,535184.1666666667,544.7167090754878,453.93059089623983,171644,143036.6666666667,145.5843935538592,121.32032796154935,81249,67707.5,68.91348600508906,57.427905004240884,43400,36166.66666666667,36.8108566581849,30.675713881820755,7777,6480.833333333334,6.59626802374894,5.496890019790784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,946291,788575.8333333334,802.6217133163698,668.8514277636415
Blacks Harbour,931934,776611.6666666667,978.9222689075631,815.7685574229693,154116,128430.0,161.88655462184875,134.90546218487395,125057,104214.16666666667,131.36239495798318,109.468662464986,3500,2916.666666666667,3.676470588235294,3.0637254901960786,31048,25873.333333333336,32.61344537815126,27.177871148459385,0,0.0,0.0,0.0,5424,4520.0,5.697478991596639,4.7478991596638656,52898,44081.66666666667,55.56512605042017,46.30427170868348,1303977,1086647.5,1369.7237394957983,1141.436449579832
Blackville,535639,446365.8333333334,575.3372717508056,479.4477264590047,78368,65306.66666666667,84.17615467239527,70.1467955603294,81567,67972.5,87.61224489795919,73.01020408163265,0,0.0,0.0,0.0,19302,16085.0,20.732545649838883,17.277121374865736,0,0.0,0.0,0.0,553,460.83333333333337,0.5939849624060151,0.49498746867167925,0,0.0,0.0,0.0,715429,596190.8333333334,768.4522019334049,640.3768349445041
Bouctouche,2024765,1687304.1666666667,849.6705832983635,708.0588194153029,175858,146548.33333333334,73.7968946705833,61.49741222548609,131000,109166.66666666667,54.97272345782627,45.810602881521895,152800,127333.33333333334,64.12085606378514,53.434046719820955,58000,48333.333333333336,24.33906840117499,20.28255700097916,0,0.0,0.0,0.0,318,265.0,0.13344523709609735,0.1112043642467478,28919,24099.166666666668,12.135543432647923,10.112952860539936,2571660,2143050.0,1079.169114561477,899.3075954678976
Cambridge-Narrows,712181,593484.1666666667,993.278940027894,827.7324500232451,40730,33941.66666666667,56.80613668061367,47.33844723384473,4000,3333.3333333333335,5.578800557880056,4.6490004649000465,0,0.0,0.0,0.0,2950,2458.3333333333335,4.114365411436541,3.4286378428637847,0,0.0,0.0,0.0,35,29.166666666666668,0.04881450488145049,0.04067875406787541,5706,4755.0,7.958158995815899,6.631799163179917,765602,638001.6666666667,1067.7852161785215,889.8210134821014
