municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,312,308,0.01174444715163408,11541284,12135945.320715038,36991.294871794875,38897.26064331743
Aroostook,397,409,0.01207397150681559,8124750,8543375.394321768,20465.36523929471,21519.837265294125
Atholville,1376,1474,0.01110130066607104,108574755,114169037.8548896,78906.07194767441,82971.68448756511
Baker-Brook,629,649,0.01314997234131203,18312510,19256056.782334387,29113.68839427663,30613.762770006975
Balmoral,1975,1949,0.01390000668404518,44883000,47195583.59621452,22725.569620253165,23896.498023399756
Bas-Caraquet,1775,1849,0.01326220795192316,39802950,41853785.48895899,22424.197183098593,23579.597458568445
Bath,629,653,0.01330002171474524,18287113,19229351.20925342,29073.31160572337,30571.305579099237
Bathurst,13815,14409,0.01540999999363262,706727450,743141377.4973713,51156.52913499819,53792.35450578149
Belledune,2060,2125,0.009197414653965154,201582300,211968769.71608835,97855.4854368932,102897.46102722736
Beresford,4720,4367,0.01467631094244084,132131297,138939323.86961097,27993.918855932203,29436.297430002323
Bertrand,1379,1310,0.01308180359827881,29828150,31365036.803364884,21630.27556200145,22744.769255522035
Blacks Harbour,1148,1139,0.01376606514307741,44362350,46648107.25552051,38643.162020905926,40634.23976961717
Blackville,957,938,0.01085510714759006,32070250,33722660.357518405,33511.23301985371,35237.88961078203
Bouctouche,2459,2364,0.01049999519712496,95567758,100491859.09568876,38864.48068320456,40866.96181199217
Cambridge-Narrows,634,534,0.01080381399906296,35125651,36935490.01051525,55403.23501577287,58257.87067904614
Campbellton,8404,8699,0.01498322247434514,320324350,336828969.50578344,38115.70085673489,40079.6013214878
Canterbury,415,422,0.01238989731501162,8127186,8545936.908517351,19583.580722891566,20592.619056668318
Cap-Pelé,2242,2181,0.01190400465069746,78164620,82192029.4426919,34863.79125780553,36660.13802082601
Caraquet,4653,4556,0.01361600109988944,192019300,201913038.90641433,41267.84869976359,43394.16267062419
Centreville,559,529,0.03725358991479542,24976707,26263624.605678238,44681.05008944544,46983.22827491635
Charlo,1610,1597,0.01336325464974786,43221806,45448797.05573081,26845.842236024844,28229.06649424274
Chipman,1518,1615,0.01229998691958139,55082335,57920436.382755004,36286.1231884058,38155.75519285574
Clair,905,903,0.01036801215492067,34087923,35844293.37539433,37666.21325966851,39606.954005960586
Dalhousie,4500,4775,0.01453019344967091,272997673,287063799.1587803,60666.14955555555,63791.95536861784
Dieppe,12497,10463,0.01499900024039234,769725036,809384895.8990537,61592.78514843562,64766.33559246649
Doaktown,986,1090,0.01169999764777833,42513000,44703470.03154574,43116.63286004057,45338.204900147815
Dorchester,1179,848,0.01235516328418678,30906269,32498705.57308097,26213.968617472434,27564.63577021287
Drummond,983,1007,0.01184591430349084,31662900,33294321.76656152,32210.478128179042,33870.11369945221
Edmundston,17814,10835,0.01417343846358525,859970291,904280011.566772,48274.96862018637,50762.32241870282
Eel River Crossing,1446,1467,0.01179999324120591,32047137,33698356.466876976,22162.612033195022,23304.53420945849
Florenceville-Bristol,1414,1418,0.01120675984412086,106481982,111968435.3312303,75305.50353606789,79185.5978297244
Fredericton,47154,47016,0.01365311303052562,3067724255,3225787860.147214,65057.561500615004,68409.63354428498
Fredericton Junction,736,714,0.01255920345168584,22671820,23839978.969505787,30804.103260869564,32391.275773785037
Gagetown,660,607,0.0116835053783435,23383222,24588035.75184017,35429.124242424245,37254.59962400026
Grand Bay-Westfield,4880,3613,0.01250038337359025,170525570,179311850.68349108,34943.764344262294,36744.2316974367
Grand Falls/Grand-Sault,6133,6083,0.01348331170198554,282129130,296665751.8401683,46001.814772541984,48372.04497638485
Grand Manan,2577,2456,0.01096768334544906,88994546,93579964.24815984,34534.166084594486,36313.529005882745
Grande-Anse,965,981,0.01224999299759354,26669403,28043536.277602527,27636.687046632123,29060.659355028525
Hampton,4081,3590,0.01135926678890967,137690225,144784674.02733967,33739.33472188189,35477.74418704721
Hartland,892,890,0.01446965256176716,37677546,39618870.66246057,42239.40134529148,44415.7742852697
Harvey,383,372,0.009736782754925542,11736731,12341462.670872767,30644.20626631854,32223.140132827066
Hillsborough,1272,1239,0.01257488822490637,35161903,36973609.884332284,27643.005503144654,29067.30336818576
Kedgwick,1221,1118,0.01318065910423775,30863100,32453312.30283912,25276.904176904176,26579.289355314595
Lac Baker,226,229,0.01220105416535705,4473302,4703787.592008413,19793.37168141593,20813.219433665545
Lamèque,1671,1687,0.01344075009085247,62051150,65248317.560462676,37134.14123279473,39047.46712176103
Le Goulet,1029,1087,0.01386539529779816,14671850,15427812.828601474,14258.357628765792,14993.015382508722
Maisonnette,675,675,0.01256745901641304,16726452,17588277.602523662,24779.928888888888,26056.707559294315
McAdam,1570,1600,0.01486113183755828,32191828,33850502.628811784,20504.349044585986,21560.829699880116
Meductic,236,248,0.008989658594892263,9370100,9852891.692954786,39703.813559322036,41749.541071842315
Memramcook,4904,4678,0.01261418682697941,123233786,129583371.18822294,25129.238580750407,26424.01533201936
Millville,321,334,0.01159722366967505,7196550,7567350.157728707,22419.158878504673,23574.29955678725
Minto,3056,3096,0.01120044987646311,84908643,89283536.27760254,27784.241819371728,29215.816844765228
Miramichi,19241,21432,0.01437859395380493,1061994382,1116713335.4363828,55194.3444727405,58038.21711118875
Moncton,59313,57010,0.01572065337492339,3020849698,3176498105.1524715,50930.6509196972,53554.837980754164
Nackawic,1167,1224,0.01221708257336827,81312948,85502574.13249213,69676.90488431876,73266.98726006181
New Maryland,4284,4375,0.00962100155313061,173520500,182461093.5856993,40504.318394024274,42591.29168667117
Nigadoo,961,950,0.01350002844377541,22852100,24029547.844374347,23779.500520291364,25004.73240829797
Norton,1390,1476,0.01154779021537026,33210250,34921398.52786541,23892.266187050358,25123.308293428352
Néguac,1735,1745,0.01199945016788949,62928300,66170662.46056783,36269.91354466859,38138.7103519123
Oromocto,9194,9325,0.01153451912034864,526196969,553309115.6677183,57232.64835762454,60181.54401432655
Paquetville,731,688,0.01174375521395687,24034050,25272397.476340696,32878.31737346101,34572.36316872872
Perth-Andover,1861,1877,0.01230000013058018,70454796,74084958.99053629,37858.56851155293,39809.22030657512
Petit-Rocher,2078,1988,0.01281332713683665,58028488,61018389.06414302,27925.162656400385,29363.99858717181
Petitcodiac,1425,1342,0.01262845721644083,51474142,54126332.28180863,36122.2049122807,37983.391074953426
Plaster Rock,1220,1246,0.01184608925472999,45207240,47536529.968454264,37055.11475409836,38964.36882660186
Pointe-Verte,1122,1193,0.01320001297602679,20036950,21069348.054679286,17858.24420677362,18778.385075471735
Port Elgin,445,490,0.01367990774200429,14729997,15488955.835962147,33101.11685393258,34806.642328004826
Quispamsis,13521,8446,0.01120613578255676,478361150,503008569.92639333,35379.12506471415,37202.02425311688
Rexton,908,940,0.01158498635289738,35928139,37779325.97266036,39568.43502202643,41607.18719455987
