municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,40545.0,42634.06940063092,129.95192307692307,136.64765833535552,26832,28214.511041009468,86.0,90.4311251314406,21000,22082.0189274448,67.3076923076923,70.7757016905282,0,0.0,0.0,0.0,700,736.0672975814932,2.2435897435897436,2.35919005635094,1200,1261.8296529968457,3.8461538461538463,4.044325810887326,64300,67613.03890641431,206.0897435897436,216.7084580333792,19748,20765.509989484755,63.294871794871796,66.55612176116908,100,105.15247108307047,0.32051282051282054,0.33702715090727714,1900,1997.8969505783389,6.089743589743589,6.403515867238266,23737,24960.042060988435,76.0801282051282,80.00013481086037,2655.0,2791.798107255521,8.509615384615385,8.948070856588208,7139,7506.8349106204005,22.881410256410255,24.060368303270515,0,0.0,0.0,0.0,209856.0,220668.76971608834,672.6153846153846,707.2716978079754
Aroostook,32519.0,34194.53207150369,81.911838790932,86.13232259824606,34142,35901.15667718192,86.0,90.43112513144061,13550,14248.159831756047,34.130982367758186,35.88957136462481,7498,7884.3322818086235,18.886649874055415,19.859779047376886,0,0.0,0.0,0.0,150,157.7287066246057,0.3778337531486146,0.39730152802167684,36624,38511.04100946373,92.25188916876574,97.0051410817726,18161,19096.740273396426,45.7455919395466,48.10262033601115,0,0.0,0.0,0.0,200,210.30494216614093,0.5037783375314862,0.5297353706955691,1076,1131.440588853838,2.7103274559193955,2.8499762943421616,8253.0,8678.233438485806,20.788413098236777,21.85953007175266,0,0.0,0.0,0.0,3897,4097.791798107256,9.816120906801007,10.321893698003164,156070.0,164111.46161934806,393.1234256926952,413.3789965222873
Atholville,243065.0,255588.85383806523,176.64607558139534,185.74771354510554,118336,124433.22818086226,86.0,90.4311251314406,68982,72536.27760252367,50.13226744186046,52.71531802508987,139530,146719.2429022082,101.40261627906976,106.62735676032572,12000,12618.296529968457,8.720930232558139,9.170273640965448,4800,5047.318611987383,3.488372093023256,3.6681094563861794,285539,300251.31440588855,207.5138081395349,218.20589709730274,64949,68295.47844374344,47.20130813953488,49.63334189225541,0,0.0,0.0,0.0,109864,115524.71083070454,79.84302325581395,83.956911940919,246181,258865.4048370137,178.9106104651163,188.1289279338762,127590.0,134164.0378548896,92.72529069767442,97.50293448756513,8000,8412.197686645637,5.813953488372093,6.113515760643631,0,0.0,0.0,0.0,1428836.0,1502456.3617245008,1038.3982558139535,1091.9014256718756
Baker-Brook,69541.0,73124.07991587803,110.55802861685214,116.25449907134822,54094,56881.177707676135,86.0,90.4311251314406,30269,31828.6014721346,48.12241653418124,50.60191013057965,47615,50068.349106204005,75.69952305246423,79.59991908776472,0,0.0,0.0,0.0,0,0.0,0.0,0.0,84848,89219.76866456363,134.89348171701113,141.84382935542706,17330,18222.923238696112,27.5516693163752,28.97126111080463,0,0.0,0.0,0.0,9179,9651.945320715038,14.593004769475357,15.344905120373669,13051,13723.449001051526,20.748807631160574,21.817883944438037,38312.0,40286.01472134596,60.909379968203496,64.0477181579427,0,0.0,0.0,0.0,0,0.0,0.0,0.0,364239.0,383006.30914826505,579.0763116057234,608.9130511101193
Balmoral,162180.0,170536.27760252368,82.11645569620254,86.34748233039174,169850,178601.47213459518,86.0,90.4311251314406,47552,50002.10304942167,24.076962025316455,25.317520531352745,174852,183861.19873817038,88.5326582278481,93.09427784211158,0,0.0,0.0,0.0,2500,2628.8117770767617,1.2658227848101267,1.3310439377603858,208738,219493.16508937962,105.69012658227848,111.13577979209094,68696,72235.54153522609,34.782784810126586,36.574957739354986,0,0.0,0.0,0.0,9486,9974.763406940065,4.803037974683544,5.050513117438007,20150,21188.2229232387,10.20253164556962,10.728214138348708,81448.0,85644.58464773923,41.23949367088608,43.36434665708315,0,0.0,0.0,0.0,0,0.0,0.0,0.0,945452.0,994166.1409043113,478.7098734177215,503.37526121737284
Bas-Caraquet,208461.0,219201.89274447953,117.44281690140845,123.49402408139692,152650,160515.24710830706,86.0,90.4311251314406,33200,34910.62039957939,18.704225352112676,19.667955154692613,50000,52576.235541535236,28.169014084507044,29.620414389597315,0,0.0,0.0,0.0,4000,4206.0988433228185,2.2535211267605635,2.3696331511677853,193601,203576.23554153525,109.07098591549295,114.6908369248086,51600,54258.67507886436,29.070422535211268,30.568267650064428,0,0.0,0.0,0.0,18516,19470.031545741327,10.431549295774648,10.969031856755677,55420,58275.49947423765,31.222535211267605,32.83126730942966,71410.0,75089.37960042062,40.23098591549296,42.30387583122289,0,0.0,0.0,0.0,0,0.0,0.0,0.0,838858.0,882079.9158780233,472.5960563380282,496.9464314805765
Bath,51393.0,54041.0094637224,81.70588235294117,85.91575431434404,54094,56881.177707676135,86.0,90.4311251314406,22610,23774.97371188223,35.945945945945944,37.798050416346946,26148,27495.268138801264,41.570747217806044,43.71266794721981,4000,4206.0988433228185,6.359300476947536,6.686961595107819,2000,2103.0494216614093,3.179650238473768,3.3434807975539096,81110,85289.16929547845,128.95071542130367,135.5948637447988,28404,29867.507886435335,45.15739268680445,47.484114286860624,0,0.0,0.0,0.0,15996,16820.189274447952,25.430842607313195,26.741159418836173,50839,53458.46477392219,80.82511923688395,84.9896101334216,12406.0,13045.215562565721,19.723370429252782,20.7396113872269,0,0.0,0.0,0.0,3504,3684.5425867507893,5.5707472178060415,5.857778357314451,352504.0,370666.6666666667,560.4197138314786,589.2951775304717
Bathurst,1842913.0,1937868.5594111464,133.39942091929063,140.27278750714052,2987787,3141731.8611987387,216.271226927253,227.4145393556814,1283826,1349974.7634069403,92.92985884907709,97.71804295381399,449383,472537.3291272345,32.52862830256967,34.20465646957905,700,736.0672975814932,0.05066956207021354,0.05328029660379972,110000,115667.71819137751,7.9623597538906985,8.372618037739958,3080283,3238993.6908517354,222.96655808903367,234.45484551948863,265940,279642.48159831756,19.25009048136084,20.241945826877856,0,0.0,0.0,0.0,337378,354761.3038906415,24.421136445892145,25.679428439423923,2324421,2444186.1198738175,168.25342019543973,176.92262901728682,2205922.0,2319581.4931650897,159.67585957292798,167.9031120640673,118288,124382.7549947424,8.562287368802027,9.003456749528947,111188,116916.92954784438,8.048353239232718,8.463042312547548,15118029.0,15896981.072555207,1094.3198697068403,1150.7043845497797
Belledune,323791.0,340474.2376445847,157.18009708737864,165.2787561381479,177160,186288.11777076763,86.0,90.4311251314406,150195,157933.75394321769,72.91019417475728,76.66687084622218,26000,27339.64248159832,12.62135922330097,13.271671107571999,300689,316181.9137749738,145.96553398058253,153.48636591018143,7000,7360.672975814932,3.3980582524271843,3.5731422212693844,355170,373470.03154574137,172.4126213592233,181.29613181832104,139755,146955.83596214512,67.84223300970874,71.33778444764326,0,0.0,0.0,0.0,174045,183012.61829652998,84.4878640776699,88.84107684297572,259865,273254.4689800211,126.14805825242719,132.6478004757384,171976.0,180837.01366982126,83.48349514563107,87.78495809214624,206950,217613.03890641432,100.46116504854369,105.63739752738559,0,0.0,0.0,0.0,2292596.0,2410721.3459516303,1112.9106796116505,1170.2530805590438
Beresford,335900.0,353207.1503680337,71.16525423728814,74.83202338305799,593943,624545.7413249213,125.8353813559322,132.31901299256808,69440,73017.87592008413,14.711864406779661,15.46988896611952,8000,8412.197686645637,1.694915254237288,1.7822452725944147,300,315.4574132492114,0.0635593220338983,0.06683419772229056,22212,23356.46687697161,4.70593220338983,4.948403999358392,589589,619967.4027339643,124.91292372881355,131.34902600295854,151496,159301.78759200842,32.09661016949153,33.75037872712043,0,0.0,0.0,0.0,93684,98511.04100946373,19.848305084745764,20.870983264716894,232534,244515.24710830708,49.2656779661017,51.80407777718371,475579.0,500083.07045215566,100.7582627118644,105.94980306189738,57917,60901.15667718192,12.270550847457628,12.902787431606338,7187,7557.308096740274,1.5226694915254237,1.6011245967670071,2637781.0,2773691.9032597267,558.851906779661,587.6465896736709
