cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
128.2,0.78003120124805,Alma,PPSA,213,232,0.01529022887117135,27837582,21714182.527301095,130692.87323943662,101944.51890751687,103591.0,49713,47878,0,2000,1000,120719,36107,100,11877,52425,24750.0,10,7051,457221.0,425643,4059,17019,6000,4500,0,0,0,457221
128.2,0.78003120124805,Aroostook,PPSA,306,351,0.01229989464392494,8779750,6848478.939157567,28691.993464052288,22380.650127965906,68577.0,44441,7000,26000,0,0,42118,26926,0,0,11000,600.0,8318,0,234980.0,107990,116163,0,200,5372,0,0,5255,234980
128.2,0.78003120124805,Atholville,MPSA,3570,3780,0.01360408822073759,212659750,165881240.24961,59568.557422969185,46465.3334032521,465155.0,604792,290690,132997,5000,6213,717978,261416,0,196751,210900,350897.0,140656,0,3383445.0,2893042,290668,2074,55500,131287,0,10363,511,3383445
128.2,0.78003120124805,Baker-Brook,PPSA,564,585,0.01598295511346596,24007200,18726365.054602187,42565.95744680851,33202.77491950742,167834.0,76439,54745,68610,0,1200,100603,24015,0,18428,11500,43524.0,0,18960,585858.0,383706,122578,56000,19060,4500,0,14,0,585858
128.2,0.78003120124805,Balmoral,PPSA,1674,1719,0.01429099664391886,91504045,71376010.14040563,54661.91457586619,42637.998889131195,334585.0,263099,148828,146000,0,2575,289992,97487,0,32834,212845,202568.0,1603,0,1732416.0,1307684,155109,161003,100000,8609,0,0,11,1732416
128.2,0.78003120124805,Bas-Caraquet,PPSA,1305,1380,0.01449486241902348,64787300,50536115.44461779,49645.44061302682,38724.99267786804,347364.0,194205,42000,0,350,4000,321519,83469,0,66298,114244,66198.0,108000,0,1347647.0,939083,222162,91152,6000,21756,1500,65241,753,1347647
128.2,0.78003120124805,Bath,PPSA,476,532,0.01439998215560314,22416000,17485179.40717629,47092.43697478992,36733.57018314346,98915.0,80391,33489,0,0,7477,55598,38502,0,25524,69603,43523.0,5225,0,458247.0,322790,105375,1033,13285,4600,10300,0,864,458247
128.2,0.78003120124805,Bathurst,municipal,11897,12275,0.01775000044918933,1029632650,803145592.8237131,86545.57031184332,67508.24517304472,3476419.0,5355988,2242962,824383,9000,206572,4974992,412487,0,788981,3222283,2918211.0,0,0,24432278.0,18275980,3307710,1177122,1181038,446598,0,24062,19768,24432278
128.2,0.78003120124805,Belledune,PPSA,1417,1548,0.01139371971928851,386640106,301591346.3338534,272858.22582921665,212837.9296639756,891818.0,743623,283000,37619,5000,7000,771500,202000,0,359381,294800,550600.0,797807,0,4944148.0,4405269,345080,37380,101700,15500,10600,1781,26838,4944148
128.2,0.78003120124805,Beresford,municipal,4288,4351,0.01559283025041355,268344100,209316770.67082685,62580.24720149254,48814.545398980146,730325.0,1017880,127873,250000,0,32858,788256,212028,0,135827,556603,531793.0,773721,0,5157164.0,4184244,784971,72031,79300,2950,13700,5005,14963,5157164
128.2,0.78003120124805,Bertrand,PPSA,1166,1137,0.01438000412967877,58358050,45521099.84399377,50049.785591766726,39040.39437735314,231714.0,170814,58240,0,0,1700,279300,77400,0,86720,155970,105500.0,61330,0,1228688.0,839189,159979,134141,65720,29500,0,0,159,1228688
128.2,0.78003120124805,Blacks Harbour,PPSA,894,982,0.01558487734185016,64828550,50568291.73166928,72515.15659955257,56564.08471103946,252575.0,222446,175990,50000,4050,31900,189141,51150,0,75860,279575,86693.0,44000,0,1463380.0,1010345,206139,140694,80000,7000,0,6130,13072,1463380
128.2,0.78003120124805,Blackville,PPSA,958,990,0.0132449015539783,48426030,37773814.35257411,50549.09185803758,39429.868844023076,152780.0,189380,82795,0,0,1500,141115,57164,0,28521,45000,170340.0,117616,0,986211.0,641398,191613,140254,0,8100,0,1157,3689,986211
128.2,0.78003120124805,Bouctouche,MPSA,2361,2423,0.01256500110368967,209071450,163082254.29017162,88552.07539178315,69073.3817408605,464473.0,455090,144741,0,0,8000,677664,172349,0,171408,959124,374784.0,1044,766845,4195522.0,2626983,50356,132912,811300,271584,27600,274787,0,4195522
128.2,0.78003120124805,Cambridge-Narrows,PPSA,562,620,0.01067299493997462,95118100,74195085.80343215,169249.28825622777,132019.72562888282,200624.0,112683,86668,0,25000,2000,316121,77311,12000,70121,67800,1700.0,75000,0,1047028.0,1015195,1631,11196,0,4429,0,0,14577,1047028
128.2,0.78003120124805,Campbellton,MPSA,6883,7385,0.01750400053810533,570891950,445313533.5413417,82942.31439779166,64697.59313400286,1290898.0,2598626,842884,25000,37864,100713,3295543,495909,0,883320,2681838,1664476.0,176675,0,14093746.0,9992893,2098248,183794,896467,422767,65064,379760,54753,14093746
128.2,0.78003120124805,Canterbury,PPSA,336,336,0.01370324805077773,12761500,9954368.174726991,37980.65476190476,29626.095758116044,83473.0,48603,82180,0,0,4800,42025,29800,0,2700,10060,28274.0,0,0,331915.0,174874,86309,67662,0,0,0,0,3070,331915
128.2,0.78003120124805,Cap-Pelé,PPSA,2425,2256,0.01275000249318835,190519100,148610842.43369737,78564.57731958762,61282.821622143245,570409.0,413334,153240,0,5000,0,435906,137915,8500,184432,742380,277393.0,177534,0,3106043.0,2429119,74950,89016,340700,27400,0,115566,29292,3106043
128.2,0.78003120124805,Caraquet,PPSA,4248,4169,0.01471700126856548,367304650,286509087.3634946,86465.31308851224,67445.64203472095,1470246.0,854768,176512,69000,4995,24750,1359021,228482,0,938984,746434,729360.0,108752,0,6711304.0,5405623,773564,202974,116155,197541,6000,5623,3824,6711304
128.2,0.78003120124805,Centreville,PPSA,557,542,0.01325443111185949,34147750,26636310.4524181,61306.552962298025,47821.02415155853,76125.0,98463,74090,0,200,3900,186500,37445,0,37823,61980,13418.0,0,0,589944.0,452609,30748,77810,12000,500,0,0,16277,589944
128.2,0.78003120124805,Charlo,PPSA,1310,1324,0.01430600342434428,77620700,60546567.862714514,59252.442748091606,46218.754093675205,291458.0,212225,102089,40000,4000,3500,456000,88000,0,64414,40000,112168.0,10024,0,1423878.0,1110442,124894,141203,0,29000,0,4752,13587,1423878
128.2,0.78003120124805,Chipman,PPSA,1104,1236,0.01339998705372117,67973200,53021216.848673955,61569.92753623189,48026.46453684235,439028.0,128105,123413,0,10000,5200,302693,105004,0,23292,246334,55372.0,8560,0,1447001.0,910840,324176,68324,41000,81597,0,0,21064,1447001
128.2,0.78003120124805,Clair,PPSA,781,857,0.01238246307468275,74989200,58493915.75663027,96016.9014084507,74896.17894574939,291453.0,161703,78253,110000,3000,1400,145346,46000,0,57654,194264,94800.0,7000,0,1190873.0,928551,42880,28631,17500,127078,0,17474,28759,1190873
128.2,0.78003120124805,Dalhousie,PPSA,3126,3512,0.01724855884999878,219954550,171571411.85647428,70362.93985924505,54885.28850175121,915219.0,610030,397111,333291,5000,20000,1704123,116500,0,491065,818095,500844.0,330000,42091,6283369.0,3793899,1494037,82857,230085,40932,9133,632426,0,6283369
128.2,0.78003120124805,Dieppe,MPSA,25384,23310,0.01599500004714125,2890886456,2254981634.9453983,113886.16671919319,88834.76343150798,5877913.0,5431021,5282551,1427000,17300,726102,7905390,1118384,0,2827777,7558956,7970811.0,4128403,0,50271608.0,46239729,928169,262113,1290294,661100,0,403811,486392,50271608
128.2,0.78003120124805,Doaktown,PPSA,792,793,0.01355000583498658,56555400,44114976.59906397,71408.33333333333,55700.72802912117,240650.0,185664,76608,0,2000,1200,269500,61499,0,54274,49000,77680.0,52041,0,1070116.0,766326,155841,38458,14500,76790,14414,21,3766,1070116
128.2,0.78003120124805,Dorchester,MPSA,1096,1167,0.01526330332659781,49761050,38815171.60686428,45402.41788321168,35415.30256100756,252768.0,162305,137175,57326,4100,650,162378,42296,3050,47454,162763,44747.0,52600,6365,1135977.0,759518,172974,46662,500,5370,6444,144509,0,1135977
128.2,0.78003120124805,Drummond,municipal,737,775,0.01260239233831599,54181300,42263104.52418097,73516.01085481682,57344.78225804745,212321.0,117271,98350,69500,3500,9267,66009,109091,0,27076,16097,72130.0,42190,0,842802.0,682814,4533,149700,0,3100,0,0,2655,842802
128.2,0.78003120124805,Edmundston,municipal,16580,16032,0.01635000015445544,1359615400,1060542433.697348,82003.34137515079,63965.16487921279,3350591.0,4917344,2201027,536820,19070,1349778,6943923,769918,0,1240847,3836867,4761706.0,1042834,0,30970725.0,22229712,3783824,1373135,1108970,197400,11500,2247323,18861,30970725
128.2,0.78003120124805,Eel River Crossing,PPSA,1953,2025,0.0126364659593183,77250950,60258151.32605305,39555.01792114695,30854.148144420407,234179.0,265275,84200,57166,3517,2341,339176,107152,0,50424,28653,61588.0,222917,0,1456588.0,976179,394022,73986,0,4809,0,1479,6113,1456588
128.2,0.78003120124805,Florenceville-Bristol,PPSA,1604,1639,0.01289900034967242,208337850,162510023.40093607,129886.44014962594,101315.47593574568,395993.0,445627,103660,0,2000,9447,546631,92030,20180,301098,882830,88625.0,435843,1402,3325366.0,2687350,120058,150544,280052,59862,4500,23000,0,3325366
128.2,0.78003120124805,Fredericton,municipal,58220,56224,0.01412340318952303,6933624190,5408443205.928238,119093.51064926143,92896.65417259083,11853741.0,19496201,14295794,1000612,102436,1306898,19210934,2911845,7150,8786286,6927286,6185844.0,19582159,0,111667186.0,97926370,1756295,1380300,6752950,2029309,856515,71826,893621,111667186
