municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,213,232,0.01529022887117135,27837582,21714182.527301095,130692.87323943662,101944.51890751687
Aroostook,306,351,0.01229989464392494,8779750,6848478.939157567,28691.993464052288,22380.650127965906
Atholville,3570,3780,0.01360408822073759,212659750,165881240.24961,59568.557422969185,46465.3334032521
Baker-Brook,564,585,0.01598295511346596,24007200,18726365.054602187,42565.95744680851,33202.77491950742
Balmoral,1674,1719,0.01429099664391886,91504045,71376010.14040563,54661.91457586619,42637.998889131195
Bas-Caraquet,1305,1380,0.01449486241902348,64787300,50536115.44461779,49645.44061302682,38724.99267786804
Bath,476,532,0.01439998215560314,22416000,17485179.40717629,47092.43697478992,36733.57018314346
Bathurst,11897,12275,0.01775000044918933,1029632650,803145592.8237131,86545.57031184332,67508.24517304472
Belledune,1417,1548,0.01139371971928851,386640106,301591346.3338534,272858.22582921665,212837.9296639756
Beresford,4288,4351,0.01559283025041355,268344100,209316770.67082685,62580.24720149254,48814.545398980146
Bertrand,1166,1137,0.01438000412967877,58358050,45521099.84399377,50049.785591766726,39040.39437735314
Blacks Harbour,894,982,0.01558487734185016,64828550,50568291.73166928,72515.15659955257,56564.08471103946
Blackville,958,990,0.0132449015539783,48426030,37773814.35257411,50549.09185803758,39429.868844023076
Bouctouche,2361,2423,0.01256500110368967,209071450,163082254.29017162,88552.07539178315,69073.3817408605
Cambridge-Narrows,562,620,0.01067299493997462,95118100,74195085.80343215,169249.28825622777,132019.72562888282
Campbellton,6883,7385,0.01750400053810533,570891950,445313533.5413417,82942.31439779166,64697.59313400286
Canterbury,336,336,0.01370324805077773,12761500,9954368.174726991,37980.65476190476,29626.095758116044
Cap-Pelé,2425,2256,0.01275000249318835,190519100,148610842.43369737,78564.57731958762,61282.821622143245
Caraquet,4248,4169,0.01471700126856548,367304650,286509087.3634946,86465.31308851224,67445.64203472095
Centreville,557,542,0.01325443111185949,34147750,26636310.4524181,61306.552962298025,47821.02415155853
Charlo,1310,1324,0.01430600342434428,77620700,60546567.862714514,59252.442748091606,46218.754093675205
Chipman,1104,1236,0.01339998705372117,67973200,53021216.848673955,61569.92753623189,48026.46453684235
Clair,781,857,0.01238246307468275,74989200,58493915.75663027,96016.9014084507,74896.17894574939
Dalhousie,3126,3512,0.01724855884999878,219954550,171571411.85647428,70362.93985924505,54885.28850175121
Dieppe,25384,23310,0.01599500004714125,2890886456,2254981634.9453983,113886.16671919319,88834.76343150798
Doaktown,792,793,0.01355000583498658,56555400,44114976.59906397,71408.33333333333,55700.72802912117
Dorchester,1096,1167,0.01526330332659781,49761050,38815171.60686428,45402.41788321168,35415.30256100756
Drummond,737,775,0.01260239233831599,54181300,42263104.52418097,73516.01085481682,57344.78225804745
Edmundston,16580,16032,0.01635000015445544,1359615400,1060542433.697348,82003.34137515079,63965.16487921279
Eel River Crossing,1953,2025,0.0126364659593183,77250950,60258151.32605305,39555.01792114695,30854.148144420407
Florenceville-Bristol,1604,1639,0.01289900034967242,208337850,162510023.40093607,129886.44014962594,101315.47593574568
Fredericton,58220,56224,0.01412340318952303,6933624190,5408443205.928238,119093.51064926143,92896.65417259083
Fredericton Junction,704,752,0.01329200680040128,40321150,31451755.070202813,57274.360795454544,44675.78845199263
Gagetown,711,698,0.01320001546572819,60779550,47409945.39781592,85484.59915611814,66680.65456795489
Grand Bay-Westfield,4964,5117,0.013700330714761,372556700,290605850.2340094,75051.71232876713,58542.6773235313
Grand Falls/Grand-Sault,5326,5706,0.01469006409356247,528750450,412441848.67394704,99277.21554637626,77439.32569920146
Grand Manan,2360,2377,0.0115988408907166,187143700,145977925.1170047,79298.17796610169,61855.05301567996
Grande-Anse,899,738,0.01465999856481251,36232200,28262246.4898596,40302.7808676307,31437.426573814904
Hampton,4289,4292,0.01250000035249541,354614550,276610413.4165367,82680.00699463744,64492.985175224225
Hartland,957,947,0.0149190055792135,84268150,65731786.27145087,88054.49320794149,68685.25211227886
Harvey,358,363,0.01324070618190371,19558700,15256396.255850237,54633.24022346369,42615.63199958167
Hillsborough,1277,1350,0.01345996623853032,82135050,64067901.716068655,64318.75489428348,50170.63564296684
Lac Baker,690,719,0.01121791465027496,53344050,41610023.400936045,77310.21739130435,60304.38174048702
Lamèque,1285,1432,0.01500035611226497,87051200,67902652.10608426,67744.12451361868,52842.53082185546
Le Goulet,793,817,0.01596896782577876,24123350,18816965.67862715,30420.365699873895,23728.834399277614
Maisonnette,495,573,0.01448999691720082,24977300,19483073.32293292,50459.19191919192,39359.744086733175
McAdam,1151,1284,0.01591766323286251,47549693,37090244.149766,41311.63596872285,32224.365030205037
Meductic,173,228,0.01247877725001099,12516050,9762909.516380657,72347.1098265896,56433.00298485929
Memramcook,4778,4831,0.01391199881416037,299534600,233646333.85335416,62690.37254081205,48900.446599697396
Millville,273,307,0.0148292916957432,11464000,8942277.691107646,41992.67399267399,32755.595938123242
Minto,2305,2505,0.01240801365438934,103815408,80979257.41029643,45039.22255965293,35131.99887648435
Miramichi,17537,17811,0.01729899968864173,1431309350,1116465951.6380656,81616.54501910247,63663.45165296605
Moncton,71889,69074,0.01649732923952761,7791907292,6077930804.992201,108388.03282838821,84546.04744804074
Nackawic,941,1049,0.01357972049912491,92590050,72223127.92511702,98395.37725823592,76751.46431999683
New Maryland,4174,4232,0.01207199975905143,341981700,266756396.2558503,81931.40872065166,63909.05516431487
Nigadoo,963,952,0.01387496645261164,51419800,40109048.36193448,53395.43094496366,41650.1021411573
Norton,1382,1301,0.01165562969077261,72023050,56180226.20904837,52115.08683068017,40651.39378368189
Néguac,1684,1678,0.01308400121457,119713150,93379992.199688,71088.56888361045,55451.30178128741
Oromocto,9223,8932,0.01241795157438113,1090575923,850683247.2698909,118245.24807546352,92234.98289817748
Paquetville,720,706,0.0134996076661521,48746750,38023985.95943838,67703.81944444444,52811.09161033109
Perth-Andover,1590,1778,0.01230000242494786,115466400,90067394.69578785,72620.37735849057,56646.160186030094
Petit-Rocher,1897,1908,0.01479639152390027,103689200,80880811.23244931,54659.567738534526,42636.16828278825
Petitcodiac,1383,1429,0.01279399499582986,91243900,71173088.92355695,65975.34345625452,51462.82640893489
Plaster Rock,1023,1135,0.01636635942417627,60560200,47238845.55382216,59198.63147605083,46176.77962250455
Pointe-Verte,886,976,0.01569998705058706,42086850,32829056.162246495,47502.088036117384,37053.11079260327
Port Elgin,408,418,0.01408121628797407,23257650,18141692.66770671,57004.044117647056,44464.93300908507
Quispamsis,18245,17886,0.0126998487476209,1648073250,1285548556.942278,90330.13154288846,70460.32101629366
Rexton,830,818,0.0129790015272958,81320200,63432293.29173168,97976.14457831325,76424.44974907431
Richibucto,1266,1286,0.01327800316783683,105939800,82636349.45397817,83680.72669826224,65273.57776775527
Riverside-Albert,350,353,0.0138062995939351,21474400,16750702.028081127,61355.42857142857,47859.14865166036
Riverview,19667,19128,0.01562568881864529,1476259400,1151528393.1357255,75062.76503788072,58551.29878149822
Rivière-Verte,724,744,0.01257398141624506,37683450,29394266.77067083,52048.96408839779,40599.81598158955
Rogersville,1166,1170,0.01464699150286669,53912300,42053276.131045245,46236.96397941681,36066.27455492731
Rothesay,11659,11947,0.01210000017387565,1236515850,964520943.8377537,106056.76730422849,82727.58760080228
Sackville,5331,5558,0.01549984736766703,611109050,476684126.36505467,114633.09885574938,89417.39380323667
Saint Andrews,1786,1889,0.01189999831027088,284069200,221582839.3135726,159053.30347144458,124066.53936930156
Saint George,1517,1543,0.01334999693052295,131944300,102920670.82683308,86977.1259063942,67844.87200186755
Saint John,67575,70063,0.01785000004318338,6730598191,5250076592.043682,99601.897018128,77692.58737763496
Saint-Antoine,1733,1770,0.01234448908476822,107787450,84077574.10296413,62197.028274668206,48515.62267914837
Saint-François-de-Madawaska,470,533,0.01572031655064765,32961550,25711037.441497665,70130.9574468085,54704.334981909924
Saint-Hilaire,252,303,0.01335414839096911,25990800,20273634.94539782,103138.09523809524,80450.93232300722
Saint-Isidore,764,748,0.01260000659179662,47028150,36683424.33697348,61555.17015706806,48014.95332064592
Saint-Louis-de-Kent,856,930,0.01425599639921241,60209050,46964937.59750391,70337.67523364486,54865.58130549522
Saint-Léolin,647,684,0.01548699079047742,18942350,14775624.024961,29277.202472952085,22837.131414159197
Saint-Léonard,1300,1343,0.01502199701629343,73532700,57357800.312012486,56563.61538461538,44121.38485539422
Saint-Quentin,2194,2095,0.01420040875960655,126844236,98942461.77847116,57814.145852324524,45096.83763831867
Sainte-Anne-de-Madawaska,957,1002,0.0147169638184898,40321700,31452184.0873635,42133.437826541274,32865.39612054702
Sainte-Marie-Saint-Raphaël,879,955,0.01469988936013277,32538000,25380655.226209052,37017.06484641638,28874.465558827134
Salisbury,2284,2208,0.009436286223160811,165827950,129350975.03900158,72604.18126094571,56633.52672460665
Shediac,6664,6062,0.01474229621543955,635267116,495528171.60686433,95328.1986794718,74358.96932876116
Shippagan,2580,2631,0.01510000165355763,226783750,176898400.93603748,87900.67829457365,68565.27168063469
St. Martins,276,314,0.01202193875546331,21632950,16874375.975039005,78380.2536231884,61139.04338782248
St. Stephen,4415,4817,0.01580000076395249,340335300,265472152.8861155,77086.13816534542,60129.59295268754
Stanley,412,419,0.01401502358157341,29726600,23187675.507020283,72151.94174757281,56280.76579373855
Sussex,4282,4312,0.01247099982788928,413687200,322688923.55694234,96610.74264362447,75359.39363777262
Sussex Corner,1461,1495,0.01180000060390546,99353300,77498673.94695789,68003.62765229295,53044.95136684318
Tide Head,938,1036,0.01419999982942882,58626550,45730538.221528865,62501.652452025584,48753.23904214165
Tracy,608,611,0.01190001831097318,26486850,20660569.422776915,43563.89802631579,33981.199708514665
Woodstock,5228,5254,0.0141813030404113,489997850,382213611.54446185,93725.67903596022,73108.95400620923
