municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,103591.0,80804.21216848675,486.34272300469485,379.36249844359975,49713,38777.691107644314,233.3943661971831,182.05488782931602,47878,37346.33385335414,224.7793427230047,175.3349007199725,0,0.0,0.0,0.0,2000,1560.0624024961,9.389671361502348,7.324236631437089,1000,780.03120124805,4.694835680751174,3.6621183157185446,120719,94164.58658346336,566.755868544601,442.087260955227,36107,28164.586583463344,169.51643192488262,132.2281060256495,100,78.00312012480501,0.4694835680751174,0.3662118315718545,11877,9264.430577223091,55.76056338028169,43.49497923578916,52425,40893.13572542902,246.1267605633803,191.9865527015447,24750.0,19305.772230889237,116.19718309859155,90.63742831403398,10,7.8003120124805,0.046948356807511735,0.03662118315718545,7051,5500.000000000001,33.10328638497653,25.82159624413146,457221.0,356646.64586583467,2146.5774647887324,1674.3973984311488
Aroostook,68577.0,53492.19968798753,224.1078431372549,174.81111009146252,44441,34665.36661466459,145.23202614379085,113.28551181262938,7000,5460.21840873635,22.875816993464053,17.84385100894232,26000,20280.8112324493,84.9673202614379,66.2771608903572,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42118,32853.35413416537,137.640522875817,107.36390239923323,26926,21003.120124804995,87.99346405228758,68.63764746668299,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11000,8580.34321372855,35.947712418300654,28.040337299766506,600.0,468.01872074883,1.9607843137254901,1.5294729436236274,8318,6488.29953198128,27.18300653594771,21.20359324176889,0,0.0,0.0,0.0,234980.0,183291.7316692668,767.9084967320262,598.9925871544666
Atholville,465155.0,362835.4134165367,130.29551820728292,101.63456958446406,604792,471756.6302652107,169.40952380952382,132.144714360003,290690,226747.26989079567,81.42577030812325,63.51464142599318,132997,103741.80967238691,37.25406162464986,29.059330440444512,5000,3900.15600624025,1.4005602240896358,1.0924806740168767,6213,4846.333853354135,1.7403361344537815,1.357516485533371,717978,560045.2418096724,201.11428571428573,156.87541787385783,261416,203912.63650546025,73.22577030812324,57.11838557575918,0,0.0,0.0,0.0,196751,153471.91887675508,55.11232492997199,42.9893330186989,210900,164508.58034321375,59.075630252100844,46.08083483003186,350897.0,273710.608424337,98.29047619047618,76.6696382141,140656,109716.06864274573,39.399439775910366,30.732792336903564,0,0.0,0.0,0.0,3383445.0,2639192.6677067084,947.7436974789916,739.2696548198063
Baker-Brook,167834.0,130915.75663026523,297.57801418439715,232.12013586926457,76439,59624.80499219969,135.53014184397162,105.7177393478718,54745,42702.8081123245,97.06560283687944,75.7141987807172,68610,53517.94071762871,121.64893617021276,94.88996581139843,0,0.0,0.0,0.0,1200,936.03744149766,2.127659574468085,1.6596408537192553,100603,78473.47893915758,178.3741134751773,139.13737400559853,24015,18732.44929797192,42.579787234042556,33.2135625850566,0,0.0,0.0,0.0,18428,14374.414976599066,32.673758865248224,25.4865513769487,11500,8970.358814352576,20.390070921985817,15.904891514809531,43524.0,33950.07800312013,77.17021276595744,60.19517376439739,0,0.0,0.0,0.0,18960,14789.391575663029,33.61702127659574,26.222325488764234,585858.0,456987.5195007801,1038.7553191489362,810.2615593985463
Balmoral,334585.0,260986.7394695788,199.8715651135006,155.90605703081172,263099,205225.42901716073,157.1678614097969,122.59583573307093,148828,116090.48361934478,88.90561529271207,69.3491538944712,146000,113884.5553822153,87.21624850657109,68.0313950909291,0,0.0,0.0,0.0,2575,2008.5803432137288,1.538231780167264,1.1998687832817974,289992,226202.80811232454,173.23297491039426,135.12712551512817,97487,76042.90171606865,58.23596176821983,45.42586721390003,0,0.0,0.0,0.0,32834,25611.544461778474,19.61409796893668,15.299608400106615,212845,166025.7410296412,127.14755077658303,99.17905676800551,202568.0,158009.360374415,121.00836320191159,94.39029890944744,1603,1250.390015600624,0.9575866188769414,0.7469474406216392,0,0.0,0.0,0.0,1732416.0,1351338.5335413418,1034.8960573476702,807.251214779774
Bas-Caraquet,347364.0,270954.7581903277,266.17931034482757,207.6281671956534,194205,151485.95943837755,148.816091954023,116.08119497193682,42000,32761.3104524181,32.18390804597701,25.10445245396023,0,0.0,0.0,0.0,350,273.0109204368175,0.2681992337164751,0.2092037704496686,4000,3120.1248049922,3.0651340996168583,2.3909002337104983,321519,250794.8517940718,246.37471264367815,192.1799630605914,83469,65108.42433697349,63.96091954022989,49.891512901895396,0,0.0,0.0,0.0,66298,51714.50858034322,50.80306513409962,39.62797592363465,114244,89113.88455538223,87.54329501915709,68.28650157500554,66198.0,51636.50546021842,50.726436781609195,39.56820341779189,108000,84243.3697347894,82.75862068965517,64.55430631018345,0,0.0,0.0,0.0,1347647.0,1051206.708268331,1032.67969348659,805.522381814813
Bath,98915.0,77156.78627145087,207.8046218487395,162.09408880556904,80391,62707.48829953199,168.8886554621849,131.73842079733612,33489,26122.464898595947,70.35504201680672,54.87912793822678,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7477,5832.29329173167,15.707983193277311,12.252716999436283,55598,43368.174726989084,116.80252100840336,91.10961077098547,38502,30032.76131045242,80.88655462184875,63.09403636649668,0,0.0,0.0,0.0,25524,19909.51638065523,53.621848739495796,41.82671508541015,69603,54292.51170046803,146.2247899159664,114.05989853039502,43523.0,33949.29797191888,91.43487394957984,71.32205456285479,5225,4075.6630265210615,10.97689075630252,8.562317282607273,0,0.0,0.0,0.0,458247.0,357446.9578783152,962.703781512605,750.9389871393176
Bathurst,3476419.0,2711715.2886115448,292.2097167353114,227.9326963613974,5355988,4177837.753510141,450.1965201311255,351.16733239557374,2242962,1749580.3432137289,188.53173068840886,147.06063236225341,824383,643044.4617784712,69.2933512650248,54.05097602576038,9000,7020.28081123245,0.7564932335882996,0.5900883257319031,206572,161132.6053042122,17.36336891653358,13.54396951367674,4974992,3880648.985959439,418.17197612843574,326.1871888677346,412487,321752.7301092044,34.67151382701521,27.044862579575053,0,0.0,0.0,0.0,788981,615429.7971918877,66.31764310330335,51.72983081380917,3222283,2513481.2792511703,270.8483651340674,211.27017561159707,2918211.0,2276295.6318252734,245.28965285366058,191.33358256915807,0,0.0,0.0,0.0,0,0.0,0.0,0.0,24432278.0,19057939.157566305,2053.6503320164747,1601.9113354262677
Belledune,891818.0,695645.8658346335,629.3705010585744,490.928627970807,743623,580049.1419656787,524.786873676782,409.35013547330885,283000,220748.82995319815,199.71771347918136,155.78604795567972,37619,29343.993759750396,26.54834156669019,20.70853476340889,5000,3900.15600624025,3.5285815102328866,2.7524036741286166,7000,5460.21840873635,4.940014114326041,3.8533651437800636,771500,601794.0717628706,544.4601270289344,424.69588691804563,202000,157566.3026521061,142.5546930134086,111.19710843479612,0,0.0,0.0,0.0,359381,280328.39313572546,253.621030345801,197.8323169624033,294800,229953.19812792516,208.04516584333098,162.28172062662327,550600.0,429485.1794071763,388.56739590684543,303.0946925950433,797807,622314.352574103,563.0254057868736,439.1773836091059,0,0.0,0.0,0.0,4944148.0,3856589.703588144,3489.165843330981,2721.6582241271303
Beresford,730325.0,569676.2870514821,170.3183302238806,132.85361171909565,1017880,793978.1591263652,237.3787313432836,185.16281696043964,127873,99744.9297971919,29.821128731343283,23.26141086688244,250000,195007.80031201252,58.30223880597015,45.477565371271574,0,0.0,0.0,0.0,32858,25630.265210608428,7.6627798507462686,5.977207371876966,788256,614864.2745709829,183.82835820895522,143.39185507718818,212028,165388.45553822155,49.446828358208954,38.57006892215988,0,0.0,0.0,0.0,135827,105949.29797191889,31.67607276119403,24.708325086734817,556603,434167.7067082684,129.80480410447763,101.25179727338349,531793.0,414815.13260530424,124.01888992537313,96.73860368593849,773721,603526.5210608426,180.4386660447761,140.74778942650246,0,0.0,0.0,0.0,5157164.0,4022748.829953199,1202.696828358209,938.1410517614736
