municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,443191,325158.47395451204,2080.7089201877934,1526.5656054202443,4386,3217.901687454145,20.591549295774648,15.10751965940913,69820,51225.23844460748,327.793427230047,240.49407720472996,4000,2934.7028613352895,18.779342723004696,13.777947705799482,38600,28319.882611885543,181.2206572769953,132.957195360965,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,559997,410856.1995597945,2629.093896713615,1928.902345351148
Aroostook,121962,89480.55759354365,398.5686274509804,292.4201228547178,104949,76998.53264856932,342.97058823529414,251.62919166199126,0,0.0,0.0,0.0,200,146.73514306676446,0.6535947712418301,0.47952661132929564,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5000,3668.3785766691117,16.33986928104575,11.98816528323239,34426,25257.52017608217,112.50326797385621,82.54091560811166,266537,195551.724137931,871.0359477124183,639.0579220193824
Atholville,3124841,2292619.9559794567,875.3056022408964,642.1904638597917,290668,213256.05282465147,81.41960784313726,59.73558902651302,1717,1259.721203228173,0.48095238095238096,0.3528630821367431,85000,62362.4358033749,23.80952380952381,17.468469412710057,177874,130501.83418928832,49.824649859943975,36.55513562725163,0,0.0,0.0,0.0,50000,36683.785766691115,14.005602240896359,10.27557024277062,918,673.5143066764489,0.2571428571428571,0.1886594696572686,3731018,2737357.300073367,1045.103081232493,766.7667507208312
Balmoral,1404999,1030813.6463683051,839.3064516129032,615.7787612713889,129471,94989.72853998531,77.34229390681004,56.74416280763758,161131,118217.90168745413,96.25507765830346,70.62001295546841,100000,73367.57153338223,59.73715651135006,43.827701035473254,152219,111679.38371239911,90.93130227001194,66.71408823918705,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1947820,1429068.231841526,1163.5722819593786,853.6847263091553
Bas-Caraquet,1022483,750170.9464416727,783.511877394636,574.8436371200557,185687,136234.04255319148,142.2888888888889,104.39390233961034,59107,43365.370506236235,45.29272030651341,33.23016897029596,18600,13646.368305209096,14.25287356321839,10.456987207056779,14050,10308.143800440204,10.766283524904214,7.898960766620847,11000,8070.432868672046,8.42911877394636,6.184239746108847,85000,62362.4358033749,65.13409961685824,47.78730712902291,0,0.0,0.0,0.0,1395927,1024157.7402787966,1069.6758620689654,784.7952032787714
Bath,318616,233760.82171680115,669.3613445378152,491.0941632705906,101206,74252.38444607482,212.61764705882354,155.99240429847652,36891,27066.03081438004,77.50210084033614,56.86140927390765,10400,7630.227439471752,21.84873949579832,16.02988957872217,41000,30080.704328686716,86.1344537815126,63.19475699303932,6100,4475.421863536317,12.815126050420169,9.402146772135119,0,0.0,0.0,0.0,0,0.0,0.0,0.0,514213,377265.5906089508,1080.2794117647059,792.5747701868714
Bathurst,18723204,13736760.088041084,1573.7752374548206,1154.6406731143215,3506922,2572943.506969919,294.77364041354963,216.26826149196594,985528,723057.9603815112,82.8383626124233,60.77649494675223,1197000,878209.8312545854,100.61360006724384,73.81775500164625,478628,351157.74027879676,40.23098260065563,29.51649493811858,0,0.0,0.0,0.0,0,0.0,0.0,0.0,220688,161913.4262655906,18.549886526014962,13.609601266335261,25111970,18424042.553191487,2110.781709674708,1548.6292807591399
Belledune,4490829,3294812.179016874,3169.2512350035286,2325.202666913814,344862,253016.87454145265,243.37473535638674,178.55813305677674,36380,26691.122523844457,25.673959068454483,18.836360284999618,102500,75201.76082171679,72.33592095977417,53.071108554493144,19500,14306.676449009536,13.761467889908257,10.096454798171868,4500,3301.5407190022006,3.1757233592095977,2.329951107270431,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4998571,3667330.1540718996,3527.5730416372617,2588.0946747155253
Beresford,4394810,3224365.370506236,1024.9090485074628,751.95087931582,899570,659992.6632428466,209.78777985074626,153.91619945029072,132200,96991.92956713132,30.830223880597014,22.619386559498906,59450,43617.02127659574,13.864272388059701,10.171879961892664,31800,23330.88774761555,7.416044776119403,5.4409719560670595,22800,16727.80630961115,5.317164179104478,3.901074232651854,0,0.0,0.0,0.0,59389,43572.26705796038,13.850046641791044,10.16144287732285,5600019,4108597.9457079964,1305.9745802238806,958.1618343535439
Bertrand,863041,633192.2230374174,740.172384219554,543.0465034626221,210387,154355.8327219369,180.43481989708405,132.38064555912254,131805,96702.12765957446,113.04030874785592,82.93492938213933,86205,63246.515040352155,73.93224699828474,54.24229420270339,76520,56140.86573734409,65.62607204116638,48.14825534935171,0,0.0,0.0,0.0,0,0.0,0.0,0.0,38405,28176.815847395446,32.93739279588336,24.16536522075081,1406363,1031814.3800440205,1206.1432246998286,884.91799317669
