municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,213,232,0.01546971180444658,28648950,21019038.88481291,134502.11267605633,98680.93373151601
Aroostook,306,351,0.01210012500744092,10079400,7395011.005135729,32939.21568627451,24166.702631162512
Atholville,3570,3780,0.01409820156446116,221648200,162617901.68745413,62086.33053221289,45551.23296567343
Balmoral,1674,1719,0.01429100057926908,98313550,72130264.12325752,58729.7192353644,43088.56877136052
Bas-Caraquet,1305,1380,0.0144949986107252,70540400,51753778.429933965,54053.946360153255,39658.06776240151
Bath,476,532,0.01459987536200007,21823200,16011151.870873073,45847.05882352941,33636.87367830478
Bathurst,11897,12275,0.01774999990519785,1054828400,773901980.9244313,88663.3941329747,65050.179114434846
Belledune,1417,1548,0.01159521608868136,387300156,284152719.002201,273324.0338743825,200531.2060707135
Beresford,4288,4351,0.01559264641001492,281851450,206787564.19662505,65730.28218283581,48224.71179958607
Bertrand,1166,1137,0.01438000224937205,60016750,44032831.988261186,51472.341337907375,37764.00685099587
Blacks Harbour,894,982,0.01573578982370123,61350400,45011298.60601614,68624.60850111856,50348.20873156167
Blackville,958,990,0.01381653514331275,48914000,35887013.93983859,51058.455114822544,37460.3485802073
Bouctouche,2361,2423,0.01325500001368055,219289400,160887307.41012472,92879.88140618382,68143.71343080251
Cambridge-Narrows,562,620,0.01067299718618259,95084350,69761078.50330153,169189.23487544485,124130.03292402408
Campbellton,6883,7385,0.0177630006561089,596394900,437560454.87894344,86647.52288246404,63571.183332695546
Canterbury,336,336,0.01416024474586593,13793900,10120249.449743213,41053.27380952381,30119.790028997657
Cap-Pelé,2425,2256,0.01344999929634025,202512650,148578613.352898,83510.37113402062,61269.53127954557
Caraquet,4248,4169,0.0150170003924461,386549900,283602274.3947175,90995.73917137476,66761.3640288883
Centreville,557,542,0.01402131111126069,37140250,27248899.486426998,66679.08438061041,48920.82493074865
Charlo,1310,1324,0.01470599318151736,83860300,61526265.59060895,64015.49618320611,46966.61495466332
Chipman,1104,1236,0.01400017021810314,66972900,49136390.31548055,60663.858695652176,44507.59992344253
Dalhousie,3126,3512,0.01754769837872047,225636600,165544093.91049156,72180.6142034549,52957.16375895443
Dieppe,25384,23310,0.01629468994463643,3158918100,2317621496.698459,124445.2450362433,91302.45417185861
Doaktown,792,793,0.01536300699040612,56463100,41425605.282465145,71291.79292929293,52305.05717482973
Dorchester,1096,1167,0.01577308348686948,58889500,43205796.03815113,53731.29562043796,39421.34675013789
Drummond,737,775,0.01280250405442056,54200100,39765297.13866471,73541.5196743555,53955.62705381914
Edmundston,16580,16032,0.01634999996169941,1436009300,1053565150.4035215,86610.93486127866,63544.339590079704
Eel River Crossing,1953,2025,0.0127135003862234,83177250,61025128.393250175,42589.4777265745,31246.86553673844
Florenceville-Bristol,1604,1639,0.01289900179964445,219154400,160788261.18855464,136629.9251870324,100242.05809760264
Fredericton,58636,56224,0.01423020351027316,7303077073,5358090295.671312,124549.37364417764,91378.85080277154
Fredericton Junction,704,752,0.01329200249483868,41365400,30348789.435069695,58757.670454545456,43109.075902087636
Gagetown,711,698,0.01435151197416082,59893550,43942443.140132055,84238.46694796062,61803.71749666955
