cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
136.3,0.7336757153338224,Alma,PPSA,213,232,0.01546971180444658,28648950,21019038.88481291,134502.11267605633,98680.93373151601,128033.0,51820,48999,0,1500,0,136500,18800,100,70500,52200,23416.0,0,28129,559997.0,443191,4386,69820,4000,38600,0,0,0,559997
136.3,0.7336757153338224,Aroostook,PPSA,306,351,0.01210012500744092,10079400,7395011.005135729,32939.21568627451,24166.702631162512,72466.0,45831,9523,20521,0,0,36426,31820,0,1749,9151,450.0,38600,0,266537.0,121962,104949,0,200,0,0,5000,34426,266537
136.3,0.7336757153338224,Atholville,MPSA,3570,3780,0.01409820156446116,221648200,162617901.68745413,62086.33053221289,45551.23296567343,568333.0,650099,324340,143856,5000,6213,820430,250540,0,220957,302900,378310.0,60040,0,3731018.0,3124841,290668,1717,85000,177874,0,50000,918,3731018
136.3,0.7336757153338224,Balmoral,PPSA,1674,1719,0.01429100057926908,98313550,72130264.12325752,58729.7192353644,43088.56877136052,320577.0,294301,72105,160000,0,2575,349589,250106,0,55370,188648,245049.0,7000,2500,1947820.0,1404999,129471,161131,100000,152219,0,0,0,1947820
136.3,0.7336757153338224,Bas-Caraquet,PPSA,1305,1380,0.0144949986107252,70540400,51753778.429933965,54053.946360153255,39658.06776240151,349605.0,211873,49650,0,0,2189,348049,103342,0,78348,164971,42220.0,30191,15489,1395927.0,1022483,185687,59107,18600,14050,11000,85000,0,1395927
136.3,0.7336757153338224,Bath,PPSA,476,532,0.01459987536200007,21823200,16011151.870873073,45847.05882352941,33636.87367830478,79676.0,80665,52259,0,0,10585,73047,42324,0,42894,61324,71086.0,0,353,514213.0,318616,101206,36891,10400,41000,6100,0,0,514213
136.3,0.7336757153338224,Bathurst,municipal,11897,12275,0.01774999990519785,1054828400,773901980.9244313,88663.3941329747,65050.179114434846,3554166.0,5366037,2636482,924383,9500,329600,4979438,340509,624774,0,3411250,2785831.0,150000,25111970,50223940.0,18723204,3506922,985528,1197000,478628,0,0,220688,25111970
136.3,0.7336757153338224,Belledune,PPSA,1417,1548,0.01159521608868136,387300156,284152719.002201,273324.0338743825,200531.2060707135,1042011.0,811030,277384,25025,5000,10000,936500,195000,10000,537920,505100,469422.0,170000,4179,4998571.0,4490829,344862,36380,102500,19500,4500,0,0,4998571
136.3,0.7336757153338224,Beresford,municipal,4288,4351,0.01559264641001492,281851450,206787564.19662505,65730.28218283581,48224.71179958607,888669.0,1106913,135000,270000,8000,45415,930283,217679,0,120266,718682,423112.0,736000,0,5600019.0,4394810,899570,132200,59450,31800,22800,0,59389,5600019
136.3,0.7336757153338224,Bertrand,PPSA,1166,1137,0.01438000224937205,60016750,44032831.988261186,51472.341337907375,37764.00685099587,309693.0,185101,54627,0,1500,1700,330622,95433,0,107901,166731,141195.0,11860,0,1406363.0,863041,210387,131805,86205,76520,0,0,38405,1406363
136.3,0.7336757153338224,Blacks Harbour,PPSA,894,982,0.01573578982370123,61350400,45011298.60601614,68624.60850111856,50348.20873156167,271367.0,229011,172017,50000,2050,33180,195090,70535,0,46714,344776,101855.0,24000,0,1540595.0,965397,239161,145376,113225,7500,14500,5000,50436,1540595
136.3,0.7336757153338224,Blackville,PPSA,958,990,0.01381653514331275,48914000,35887013.93983859,51058.455114822544,37460.3485802073,168645.0,209858,100795,0,0,1500,206952,75275,0,32015,58000,160727.0,90000,0,1103767.0,675822,210958,203431,0,10000,0,0,3556,1103767
136.3,0.7336757153338224,Bouctouche,MPSA,2361,2423,0.01325500001368055,219289400,160887307.41012472,92879.88140618382,68143.71343080251,508552.0,504502,158200,0,1000,3500,784502,160279,0,289877,1159032,364508.0,98000,0,4031952.0,2906681,52526,165298,678500,109014,0,20680,99253,4031952
136.3,0.7336757153338224,Cambridge-Narrows,PPSA,562,620,0.01067299718618259,95084350,69761078.50330153,169189.23487544485,124130.03292402408,230355.0,119224,103941,0,20000,2000,356898,81586,12000,66139,46315,1500.0,0,0,1039958.0,1014835,751,10884,0,9328,0,0,4160,1039958
136.3,0.7336757153338224,Campbellton,MPSA,6883,7385,0.0177630006561089,596394900,437560454.87894344,86647.52288246404,63571.183332695546,1344687.0,2601255,830378,10000,1143,140721,3292895,568136,1388506,0,2578398,1321234.0,175786,14253139,28506278.0,10593763,1718735,159620,984588,474878,53100,191439,77016,14253139
136.3,0.7336757153338224,Canterbury,PPSA,336,336,0.01416024474586593,13793900,10120249.449743213,41053.27380952381,30119.790028997657,90480.0,54007,92795,0,0,4800,38200,42180,0,4816,10200,27675.0,0,0,365153.0,195325,93416,74575,0,0,0,0,1837,365153
136.3,0.7336757153338224,Cap-Pelé,PPSA,2425,2256,0.01344999929634025,202512650,148578613.352898,83510.37113402062,61269.53127954557,752318.0,451587,192038,0,16000,2800,508785,145204,0,192519,874063,425191.0,144011,0,3704516.0,2723795,191311,108114,509916,35900,0,126500,8980,3704516
136.3,0.7336757153338224,Caraquet,PPSA,4248,4169,0.0150170003924461,386549900,283602274.3947175,90995.73917137476,66761.3640288883,1619373.0,912929,175734,69000,4318,8400,1489985,244508,895255,0,981501,945818.0,2000,0,7348821.0,5804820,1031728,186403,120330,197868,6000,1,1671,7348821
136.3,0.7336757153338224,Centreville,PPSA,557,542,0.01402131111126069,37140250,27248899.486426998,66679.08438061041,48920.82493074865,68106.0,110204,65292,0,500,2400,179950,42000,0,24534,63476,51837.0,0,41181,649480.0,520755,26293,83432,14000,5000,0,0,0,649480
136.3,0.7336757153338224,Charlo,PPSA,1310,1324,0.01470599318151736,83860300,61526265.59060895,64015.49618320611,46966.61495466332,347317.0,240591,94000,30000,15000,4000,455000,123555,0,85339,32000,122427.0,0,0,1549229.0,1233249,110549,137293,0,47500,0,5114,15524,1549229
136.3,0.7336757153338224,Chipman,PPSA,1104,1236,0.01400017021810314,66972900,49136390.31548055,60663.858695652176,44507.59992344253,402968.0,130424,134550,0,8000,3900,316674,98978,0,25770,240515,95377.0,10478,22266,1489900.0,937632,335848,140620,38000,37800,0,0,0,1489900
136.3,0.7336757153338224,Dalhousie,PPSA,3126,3512,0.01754769837872047,225636600,165544093.91049156,72180.6142034549,52957.16375895443,864973.0,637548,199402,313590,7500,18300,1951275,301200,256674,0,799344,156325.0,210000,5716131,11432262.0,3959403,1372133,79346,220911,47382,0,0,36956,5716131
136.3,0.7336757153338224,Dieppe,MPSA,25384,23310,0.01629468994463643,3158918100,2317621496.698459,124445.2450362433,91302.45417185861,5900124.0,5525622,6482168,1600000,6000,709432,8055479,1123079,3177270,0,7856540,8337000.0,7715518,56488232,112976464.0,51473591,1063645,341083,1573050,632200,0,893504,511159,56488232
136.3,0.7336757153338224,Doaktown,PPSA,792,793,0.01536300699040612,56463100,41425605.282465145,71291.79292929293,52305.05717482973,245806.0,205417,77658,0,4000,1200,262959,73864,0,50234,182644,42690.0,11300,74805,1232577.0,867443,215441,35800,63880,20860,4153,25000,0,1232577
136.3,0.7336757153338224,Dorchester,MPSA,1096,1167,0.01577308348686948,58889500,43205796.03815113,53731.29562043796,39421.34675013789,361378.0,170778,162171,45537,3750,4900,223232,36713,2250,33852,121527,62520.0,4000,0,1232608.0,928869,85761,57713,0,6375,6000,53010,94880,1232608
136.3,0.7336757153338224,Drummond,municipal,737,775,0.01280250405442056,54200100,39765297.13866471,73541.5196743555,53955.62705381914,246209.0,124333,103092,9283,4500,8575,138437,44748,0,31310,29700,61152.0,52728,2041,856108.0,693897,4509,123102,4000,4100,26500,0,0,856108
136.3,0.7336757153338224,Edmundston,municipal,16580,16032,0.01634999996169941,1436009300,1053565150.4035215,86610.93486127866,63544.339590079704,3923300.0,5475926,2426833,536820,1079590,395089,7356987,858341,1320382,0,5373622,4948194.0,625000,34320084,68640168.0,23478752,5181277,1617593,1376895,230700,11500,2405997,17370,34320084
136.3,0.7336757153338224,Eel River Crossing,PPSA,1953,2025,0.0127135003862234,83177250,61025128.393250175,42589.4777265745,31246.86553673844,304267.0,298434,86433,54818,3517,2341,443897,130487,0,76855,33230,59909.0,89370,0,1583558.0,1057474,394022,94534,0,9314,0,9299,18915,1583558
136.3,0.7336757153338224,Florenceville-Bristol,PPSA,1604,1639,0.01289900179964445,219154400,160788261.18855464,136629.9251870324,100242.05809760264,570000.0,479859,165300,0,2000,4400,580716,102530,30450,393745,841161,4750.0,279126,0,3454037.0,2826873,124652,191887,188425,77826,4500,23000,16874,3454037
136.3,0.7336757153338224,Fredericton,municipal,58636,56224,0.01423020351027316,7303077073,5358090295.671312,124549.37364417764,91378.85080277154,12364096.0,22223567,15108113,1000612,131940,1466475,20207504,2920460,9690733,0,7502286,5829830.0,21719799,0,120165415.0,103924273,1832790,3283066,6660030,2087239,107000,0,2271017,120165415
136.3,0.7336757153338224,Fredericton Junction,PPSA,704,752,0.01329200249483868,41365400,30348789.435069695,58757.670454545456,43109.075902087636,147391.0,82170,123340,53184,4000,20737,247547,45500,0,4500,21077,160651.0,2000,0,912097.0,549829,74647,180884,0,48145,0,43935,14657,912097
136.3,0.7336757153338224,Gagetown,PPSA,711,698,0.01435151197416082,59893550,43942443.140132055,84238.46694796062,61803.71749666955,208897.0,99466,111725,0,6000,100,271666,60490,5600,38744,63177,90878.0,43338,0,1000081.0,859563,2466,23019,0,12400,0,50059,52574,1000081
136.3,0.7336757153338224,Grand Bay-Westfield,PPSA,4964,5117,0.01370047708054806,375785600,275704768.8921496,75702.17566478647,55540.847883188886,755640.0,697794,682837,0,17078,22199,1726814,1062,0,386891,556295,308301.0,1100000,0,6254911.0,5148442,610019,266011,46700,59680,0,0,124059,6254911
136.3,0.7336757153338224,Grand Falls/Grand-Sault,municipal,5326,5706,0.0149895836122055,549086700,402851577.4027879,103095.51257979721,75638.6739396898,1445228.0,2025703,286095,180000,0,6000,1880458,323910,1165110,0,1890861,1365728.0,272483,0,10841576.0,8230581,734627,763803,972435,127800,0,0,12330,10841576
136.3,0.7336757153338224,Grand Manan,PPSA,2360,2377,0.01216674992130128,200289150,146947285.39985326,84868.28389830509,62265.79889824291,495316.0,648000,120100,0,6000,14600,459090,415900,26200,101000,438783,139478.0,39000,0,2903467.0,2436868,295219,0,50550,17125,16000,76,87629,2903467
136.3,0.7336757153338224,Grande-Anse,PPSA,899,738,0.01475999712790444,36906850,27077659.574468084,41053.22580645161,30119.754810309325,316706.0,131048,121222,0,0,0,302966,63298,0,38799,120549,77675.0,59613,0,1231876.0,544745,444414,175600,46000,15300,5272,0,545,1231876
136.3,0.7336757153338224,Hampton,MPSA,4289,4292,0.01280000076675063,365177400,267921790.16874537,85142.78386570296,62467.19285818264,948813.0,765125,389350,0,14640,176560,937843,312410,0,230254,1352686,623797.0,159600,41403,5952481.0,4674271,154316,390438,433810,299646,0,0,0,5952481
136.3,0.7336757153338224,Hartland,PPSA,957,947,0.01546339601308961,85793250,62944424.06456345,89648.11912225705,65772.64792535367,254594.0,223288,202212,58450,5000,6000,366500,70215,0,57970,415660,100950.0,6500,0,1767339.0,1326655,31896,214230,57200,21900,0,54819,60639,1767339
136.3,0.7336757153338224,Harvey,PPSA,358,363,0.01312109937590014,19996800,14671166.54438738,55856.98324022346,40980.91213516028,65874.0,80976,32255,0,0,952,58811,25241,33392,42133,27976,16531.0,5000,0,389141.0,262380,48201,46081,0,12630,1875,0,17974,389141
136.3,0.7336757153338224,Hillsborough,PPSA,1277,1350,0.01345957615657694,85182400,62496258.25385179,66705.09005481597,48939.90466237415,290120.0,217111,137440,7560,5000,3800,651158,89586,19290,91748,291120,32193.0,3500,0,1839626.0,1146519,249915,99216,102500,3200,0,116253,122023,1839626
136.3,0.7336757153338224,Lac Baker,PPSA,690,719,0.01122799838883952,62563600,45901393.98385913,90671.88405797101,66523.7593968973,210046.0,139062,66450,0,1000,3165,154520,51801,10000,45472,42500,71700.0,24954,31473,852143.0,702464,1036,32000,543,30500,15000,70600,0,852143
136.3,0.7336757153338224,Lamèque,PPSA,1285,1432,0.01499970839638157,94306100,69190095.37784299,73389.96108949416,53844.432200656025,319081.0,241167,197258,44000,0,2700,341603,84913,0,57484,332153,308883.0,9379,0,1938621.0,1414564,188959,233876,33880,51600,0,9093,6649,1938621
136.3,0.7336757153338224,Le Goulet,PPSA,793,817,0.01587701251816775,26661250,19560711.66544387,33620.744010088274,24666.723411656836,285896.0,105947,18912,0,1000,5100,161420,56696,0,23561,8500,33578.0,0,0,700610.0,423301,238531,11577,0,23800,0,0,3401,700610
136.3,0.7336757153338224,Maisonnette,PPSA,495,573,0.01468998045298505,25707250,18860785.033015404,51933.83838383838,38102.596026293744,142445.0,79471,42016,0,0,634,88404,57925,0,15273,33010,21390.0,0,6151,486719.0,377639,76904,17270,9700,3500,1706,0,0,486719
136.3,0.7336757153338224,McAdam,PPSA,1151,1284,0.01584358886832792,50094900,36753411.5920763,43522.93657688966,31931.72162647811,378718.0,252323,85000,30000,5000,8500,332700,82000,7000,51000,106500,22981.0,65010,0,1426732.0,793683,545334,8004,11600,41550,0,1,26560,1426732
