cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
122.0,0.819672131147541,Alma,PPSA,232,301,0.01372360936746038,23936050,19619713.1147541,103172.62931034483,84567.7289429056,77644.0,37023,46557,0,700,1000,99268,37948,100,9484,39560,29028.0,0,3691,382003.0,328489,19666,10754,12000,3200,7666,228,0,382003
122.0,0.819672131147541,Aroostook,PPSA,351,346,0.01229999154681254,8280900,6787622.950819672,23592.30769230769,19337.95712484237,48894.0,42558,20500,9500,0,0,29393,20468,0,0,800,350.0,0,0,172463.0,101855,52617,0,200,6055,0,0,11736,172463
122.0,0.819672131147541,Atholville,MPSA,1237,1317,0.01288200252007402,153924050,126167254.09836066,124433.34680679062,101994.54656294314,411986.0,161991,139900,158441,4000,2900,504589,91810,0,161060,277592,283674.0,39000,0,2236943.0,1982850,120596,0,3100,125413,0,0,4984,2236943
122.0,0.819672131147541,Baker-Brook,PPSA,585,525,0.01338642057144825,23232200,19042786.8852459,39713.16239316239,32551.772453411795,114859.0,64575,42900,26692,0,0,115213,18015,0,24088,13000,37937.0,4000,0,461279.0,310996,65935,48500,0,9000,0,14,26834,461279
122.0,0.819672131147541,Balmoral,PPSA,1719,1706,0.01429099538804427,79144732,64872731.14754099,46041.147178592204,37738.64522835427,364007.0,209838,82850,150000,0,3675,302660,93679,0,25149,145408,145425.0,0,779,1523470.0,1131057,224006,158108,0,10277,0,22,0,1523470
122.0,0.819672131147541,Bas-Caraquet,PPSA,1380,1471,0.01449500567623372,52499600,43032459.016393445,38043.188405797104,31182.941316227134,284585.0,180933,51000,0,1400,4000,292223,76248,0,60645,88000,100594.0,45000,0,1184628.0,760982,265034,87388,0,30415,0,40004,805,1184628
122.0,0.819672131147541,Bath,PPSA,532,512,0.0144500083825522,21831060,17894311.475409836,41035.827067669175,33635.923825958336,90642.0,62976,32769,0,0,9223,53312,37116,0,18419,69590,63018.0,10000,703,447768.0,315459,47356,2480,26390,16275,39789,19,0,447768
122.0,0.819672131147541,Bathurst,municipal,12275,12714,0.01754999997063268,948333107,777322218.8524591,77257.27959266803,63325.63901038363,2698187.0,4720424,1913315,724383,6400,205560,4628522,348021,0,705509,2995582,3218714.0,15000,0,22179617.0,16643246,2528569,738270,1663622,498588,0,82576,24746,22179617
122.0,0.819672131147541,Belledune,PPSA,1548,1711,0.01141747659082228,375264356,307593734.42622954,242418.83462532298,198703.96280764183,795563.0,570000,196102,40409,12000,7000,826200,181000,2000,521700,400000,536877.0,608500,3443,4700794.0,4284572,41211,27810,150037,2500,184000,10664,0,4700794
122.0,0.819672131147541,Beresford,municipal,4351,4264,0.01559274332816727,232059550,190212745.90163934,53334.762123649736,43717.01813413913,671417.0,1079133,105266,200000,0,30000,766547,205332,0,83737,551682,639185.0,55000,0,4387299.0,3618445,584934,73428,62200,22645,23680,0,1967,4387299
