municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,232,301,0.01372360936746038,23936050,19619713.1147541,103172.62931034483,84567.7289429056
Aroostook,351,346,0.01229999154681254,8280900,6787622.950819672,23592.30769230769,19337.95712484237
Atholville,1237,1317,0.01288200252007402,153924050,126167254.09836066,124433.34680679062,101994.54656294314
Baker-Brook,585,525,0.01338642057144825,23232200,19042786.8852459,39713.16239316239,32551.772453411795
Balmoral,1719,1706,0.01429099538804427,79144732,64872731.14754099,46041.147178592204,37738.64522835427
Bas-Caraquet,1380,1471,0.01449500567623372,52499600,43032459.016393445,38043.188405797104,31182.941316227134
Bath,532,512,0.0144500083825522,21831060,17894311.475409836,41035.827067669175,33635.923825958336
Bathurst,12275,12714,0.01754999997063268,948333107,777322218.8524591,77257.27959266803,63325.63901038363
Belledune,1548,1711,0.01141747659082228,375264356,307593734.42622954,242418.83462532298,198703.96280764183
Beresford,4351,4264,0.01559274332816727,232059550,190212745.90163934,53334.762123649736,43717.01813413913
Bertrand,1137,1179,0.01438000651999228,45858950,37589303.27868853,40333.28935795954,33060.073244229134
Blacks Harbour,982,952,0.01548924788510674,61427450,50350368.85245902,62553.411405295315,51273.28803712731
Blackville,990,931,0.01306971876918813,41855300,34307622.95081967,42278.080808080806,34654.164596787545
Bouctouche,2423,2383,0.01167500271555218,179521500,147148770.4918033,74090.59017746596,60729.99194874259
Cambridge-Narrows,620,717,0.01067299437620996,70182741,57526836.885245904,113197.96935483871,92785.22078265468
Campbellton,7385,7384,0.01750399974208212,421839700,345770245.90163934,57121.1509817197,46820.61555878664
Canterbury,331,360,0.01390605765326316,12470968,10222104.918032788,37676.640483383686,30882.492199494827
Cap-Pelé,2256,2279,0.01200400118944665,168649850,138237581.96721312,74756.13918439717,61275.523921637025
Caraquet,4169,4156,0.01471700103787926,292964714,240135011.47540984,70272.17893979371,57600.14667196206
