municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,77644.0,63642.62295081967,334.67241379310343,274.3216506500848,37023,30346.721311475412,159.58189655172413,130.80483323911815,46557,38161.475409836065,200.67672413793105,164.4891181458451,0,0.0,0.0,0.0,700,573.7704918032787,3.0172413793103448,2.4731486715658564,1000,819.672131147541,4.310344827586207,3.5330695308083664,99268,81367.21311475411,427.87931034482756,350.72074618428496,37948,31104.918032786885,163.56896551724137,134.0729225551159,100,81.9672131147541,0.43103448275862066,0.35330695308083665,9484,7773.770491803279,40.87931034482759,33.50763143018655,39560,32426.22950819672,170.51724137931035,139.76823063877896,29028.0,23793.44262295082,125.12068965517241,102.55794234030526,0,0.0,0.0,0.0,3691,3025.409836065574,15.90948275862069,13.040559638213681,382003.0,313117.2131147541,1646.5646551724137,1349.6431599773884
Aroostook,48894.0,40077.04918032787,139.2991452991453,114.1796272943814,42558,34883.60655737705,121.24786324786325,99.38349446546167,20500,16803.27868852459,58.40455840455841,47.872588856195414,9500,7786.88524590164,27.065527065527064,22.184858250432022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29393,24092.622950819674,83.74074074074075,68.63995142683667,20468,16777.04918032787,58.313390313390315,47.797860912615015,0,0.0,0.0,0.0,0,0.0,0.0,0.0,800,655.7377049180328,2.2792022792022792,1.868198589510065,350.0,286.88524590163934,0.9971509971509972,0.8173368829106534,0,0.0,0.0,0.0,0,0.0,0.0,0.0,172463.0,141363.11475409835,491.34757834757835,402.7439166783429
Atholville,411986.0,337693.4426229508,333.05254648342765,272.9938905601866,161991,132779.50819672132,130.95472918350848,107.33994195369549,139900,114672.13114754099,113.09620048504446,92.70180367626595,158441,129869.67213114754,128.0848827809216,104.98760883682097,4000,3278.688524590164,3.2336297493936943,2.6505161880276185,2900,2377.0491803278687,2.3443815683104283,1.9216242363200233,504589,413597.5409836066,407.9135004042037,334.35532820016704,91810,75254.09836065574,74.21988682295877,60.83597280570392,0,0.0,0.0,0.0,161060,132016.39344262297,130.20210185933712,106.72303431093206,277592,227534.42622950822,224.4074373484236,183.94052241674066,283674.0,232519.67213114756,229.3241713823767,187.97063228063666,39000,31967.2131147541,31.52789005658852,25.84253283326928,0,0.0,0.0,0.0,2236943.0,1833559.8360655739,1808.3613581244947,1482.2634082987663
Baker-Brook,114859.0,94146.72131147541,196.34017094017094,160.9345663444024,64575,52930.32786885246,110.38461538461539,90.47919293820934,42900,35163.93442622951,73.33333333333333,60.10928961748635,26692,21878.688524590165,45.62735042735043,37.39946756340199,0,0.0,0.0,0.0,0,0.0,0.0,0.0,115213,94436.88524590165,196.94529914529915,161.43057306991736,18015,14766.393442622952,30.794871794871796,25.241698192517866,0,0.0,0.0,0.0,24088,19744.262295081968,41.17606837606838,33.750875718088835,13000,10655.737704918032,22.22222222222222,18.21493624772313,37937.0,31095.90163934426,64.84957264957265,53.1553874176825,4000,3278.688524590164,6.837606837606837,5.604595768530195,0,0.0,0.0,0.0,461279.0,378097.5409836066,788.5111111111111,646.32058287796
Balmoral,364007.0,298366.39344262297,211.75509016870274,173.5697460399203,209838,171998.36065573772,122.06980802792322,100.05721969501903,82850,67909.83606557378,48.196625945317045,39.505431102718894,150000,122950.81967213115,87.26003490401396,71.52461877378194,0,0.0,0.0,0.0,3675,3012.2950819672133,2.137870855148342,1.7523531599576576,302660,248081.96721311475,176.0674810936591,144.31760745381894,93679,76786.0655737705,54.496218731820825,44.66903174739412,0,0.0,0.0,0.0,25149,20613.93442622951,14.630017452006982,11.99181758361228,145408,119186.88524590165,84.58871436881908,69.33501177772057,145425.0,119200.81967213115,84.59860383944154,69.34311790118159,0,0.0,0.0,0.0,779,638.5245901639345,0.45317044793484584,0.37145118683184086,1523470.0,1248745.9016393444,886.2536358347877,726.4374064219572
Bas-Caraquet,284585.0,233266.39344262297,206.22101449275362,169.0336184366833,180933,148305.73770491805,131.1108695652174,107.46792587312902,51000,41803.27868852459,36.95652173913044,30.29223093371347,0,0.0,0.0,0.0,1400,1147.5409836065573,1.0144927536231885,0.8315514373960561,4000,3278.688524590164,2.898550724637681,2.3758612497030174,292223,239527.0491803279,211.75579710144928,173.57032549299123,76248,62498.360655737706,55.25217391304348,45.288667141838914,0,0.0,0.0,0.0,60645,49709.016393442624,43.94565217391305,36.02102637205987,88000,72131.14754098361,63.768115942028984,52.268947493466385,100594.0,82454.09836065574,72.89420289855073,59.74934663815633,45000,36885.24590163935,32.608695652173914,26.728439059158948,0,0.0,0.0,0.0,1184628.0,971006.5573770492,858.4260869565218,703.6279401282966
Bath,90642.0,74296.72131147541,170.3796992481203,139.65549118698385,62976,51619.67213114754,118.37593984962406,97.02945889313447,32769,26859.83606557377,61.59586466165413,50.48841365709355,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9223,7559.836065573771,17.336466165413533,14.21021816837175,53312,43698.360655737706,100.21052631578948,82.1397756686799,37116,30422.950819672133,69.76691729323308,57.18599778133859,0,0.0,0.0,0.0,18419,15097.540983606557,34.62218045112782,28.37883643535067,69590,57040.983606557376,130.80827067669173,107.2198939972883,63018.0,51654.09836065574,118.45488721804512,97.09416985085666,10000,8196.72131147541,18.796992481203006,15.407370886231975,703,576.2295081967213,1.3214285714285714,1.0831381733021077,447768.0,367022.95081967214,841.6691729323309,689.8927646986318
Bathurst,2698187.0,2211628.6885245903,219.8115682281059,180.17341658041468,4720424,3869200.0,384.5559266802444,315.20977596741346,1913315,1568290.9836065574,155.87087576374745,127.76301292110448,724383,593756.5573770492,59.0128716904277,48.371206303629265,6400,5245.901639344263,0.5213849287169042,0.4273646956695937,205560,168491.80327868852,16.74623217922607,13.72641981903776,4628522,3793870.4918032787,377.06900203665987,309.0729524890655,348021,285263.11475409835,28.35201629327902,23.239357617441822,0,0.0,0.0,0.0,705509,578286.0655737706,57.475274949083506,47.11088110580616,2995582,2455395.081967213,244.039266802444,200.0321859036426,3218714.0,2638290.1639344264,262.21702647657844,214.93198891522823,15000,12295.081967213115,1.2219959266802445,1.0016360054756102,0,0.0,0.0,0.0,22179617.0,18180013.93442623,1806.8934419551936,1481.0601983239292
Belledune,795563.0,652100.8196721312,513.9295865633075,421.2537594781209,570000,467213.11475409835,368.2170542635659,301.81725759308677,196102,160739.34426229508,126.68087855297158,103.83678569915703,40409,33122.13114754098,26.104005167958658,21.396725547507096,12000,9836.065573770493,7.751937984496124,6.354047528275512,7000,5737.704918032787,4.521963824289406,3.7065277248273816,826200,677213.1147540984,533.7209302325581,437.47617232176896,181000,148360.65573770492,116.9250645994832,95.8402168848223,2000,1639.344262295082,1.2919896640826873,1.059007921379252,521700,427622.95081967214,337.015503875969,276.2422162917779,400000,327868.85245901643,258.3979328165375,211.80158427585042,536877.0,440063.11475409835,346.81976744186045,284.2784979031643,608500,498770.4918032787,393.0878552971576,322.20316007963737,3443,2822.131147540984,2.2241602067183464,1.8230821366543823,4700794.0,3853109.836065574,3036.6886304909563,2489.0890413860297
Beresford,671417.0,550341.8032786886,154.31326131923694,126.48627976986637,1079133,884535.2459016393,248.0195357389106,203.29470142533654,105266,86283.60655737705,24.193518731326133,19.83075305846404,200000,163934.42622950822,45.966444495518274,37.67741352091662,0,0.0,0.0,0.0,30000,24590.16393442623,6.8949666743277405,5.651612028137492,766547,628317.2131147541,176.17720064353023,144.40754151109033,205332,168304.9180327869,47.19190990576879,38.681893365384255,0,0.0,0.0,0.0,83737,68636.88524590163,19.24546081360607,15.774967880004972,551682,452198.3606557377,126.79430016088256,103.9297542302316,639185.0,523922.131147541,146.90530912433923,120.41418780683544,55000,45081.96721311475,12.640772236267525,10.36128871825207,0,0.0,0.0,0.0,4387299.0,3596146.7213114756,1008.3426798437141,826.5103933145198
