municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,328489,269253.2786885246,1415.9008620689656,1160.5744771057095,19666,16119.672131147541,84.76724137931035,69.48134539287733,10754,8814.754098360656,46.35344827586207,37.99462973431317,12000,9836.065573770493,51.724137931034484,42.3968343697004,3200,2622.9508196721313,13.793103448275861,11.305822498586773,7666,6283.606557377049,33.043103448275865,27.084511023176937,228,186.88524590163934,0.9827586206896551,0.8055398530243075,0,0.0,0.0,0.0,382003,313117.2131147541,1646.5646551724137,1349.6431599773884
Aroostook,101855,83487.70491803279,290.18518518518516,237.85670916818458,52617,43128.688524590165,149.9059829059829,122.87375648031386,0,0.0,0.0,0.0,200,163.9344262295082,0.5698005698005698,0.46704964737751625,6055,4963.114754098361,17.25071225071225,14.139928074354305,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11736,9619.672131147541,33.43589743589744,27.406473308112652,172463,141363.11475409835,491.34757834757835,402.7439166783429
Atholville,1982850,1625286.8852459018,1602.9506871463218,1313.8940058576409,120596,98849.18032786886,97.4907033144705,79.91041255284468,0,0.0,0.0,0.0,3100,2540.9836065573772,2.506063055780113,2.0541500457214044,125413,102797.54098360657,101.38480194017785,83.10229667227694,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4984,4085.2459016393445,4.029102667744543,3.3025431702824126,2236943,1833559.8360655739,1808.3613581244947,1482.2634082987663
Baker-Brook,310996,254914.75409836066,531.617094017094,435.7517164074541,65935,54045.08196721312,112.7094017094017,92.38475549950961,48500,39754.09836065574,82.90598290598291,67.95572369342862,0,0.0,0.0,0.0,9000,7377.049180327869,15.384615384615385,12.610340479192939,0,0.0,0.0,0.0,14,11.475409836065573,0.023931623931623933,0.01961608518985568,26834,21995.081967213115,45.87008547008547,37.59843071318481,461279,378097.5409836066,788.5111111111111,646.32058287796
Balmoral,1131057,927095.9016393443,657.9738219895288,539.3228049094498,224006,183611.47540983607,130.31180919139035,106.81295835359865,158108,129596.72131147541,91.97673065735893,75.39076283390077,0,0.0,0.0,0.0,10277,8423.77049180328,5.97847585805701,4.900390047587713,0,0.0,0.0,0.0,22,18.0327868852459,0.012798138452588714,0.010490277420154683,0,0.0,0.0,0.0,1523470,1248745.9016393444,886.2536358347877,726.4374064219572
Bas-Caraquet,760982,623755.737704918,551.436231884058,451.99691138037537,265034,217240.9836065574,192.0536231884058,157.42100261344737,87388,71629.50819672132,63.32463768115942,51.90544072226182,0,0.0,0.0,0.0,30415,24930.32786885246,22.03985507246377,18.06545497742932,0,0.0,0.0,0.0,40004,32790.16393442623,28.98840579710145,23.760988358279878,805,659.8360655737705,0.5833333333333334,0.47814207650273227,1184628,971006.5573770492,858.4260869565218,703.6279401282966
Bath,315459,258572.95081967214,592.968045112782,486.03938123998523,47356,38816.39344262295,89.01503759398496,72.96314556884013,2480,2032.7868852459017,4.661654135338346,3.8210279797855295,26390,21631.147540983606,49.60526315789474,40.66005176876617,16275,13340.16393442623,30.592105263157894,25.075496117342535,39789,32613.93442622951,74.79135338345864,61.3043880192284,19,15.573770491803279,0.03571428571428571,0.02927400468384075,0,0.0,0.0,0.0,447768,367022.95081967214,841.6691729323309,689.8927646986318
Bathurst,16643246,13642004.918032788,1355.8652545824848,1111.3649627725285,2528569,2072597.5409836066,205.99340122199592,168.84705018196388,738270,605139.344262295,60.144195519348266,49.29852091749858,1663622,1363624.5901639345,135.52928716904276,111.08957964675638,498588,408678.68852459016,40.61816700610998,33.293579513204904,0,0.0,0.0,0.0,82576,67685.24590163934,6.727169042769858,5.514072985876932,24746,20283.60655737705,2.015967413441955,1.6524323060999633,22179617,18180013.93442623,1806.8934419551936,1481.0601983239292
Belledune,4284572,3511944.262295082,2767.8113695090437,2268.697843859872,41211,33779.50819672131,26.622093023255815,21.821387723980177,27810,22795.081967213115,17.96511627906977,14.725505146778497,150037,122981.14754098361,96.92312661498708,79.44518574998942,2500,2049.1803278688526,1.6149870801033592,1.3237599017240649,184000,150819.67213114756,118.86304909560724,97.42872876689118,10664,8740.983606557378,6.888888888888889,5.646630236794172,0,0.0,0.0,0.0,4700794,3853109.836065574,3036.6886304909563,2489.0890413860297
Beresford,3618445,2965938.524590164,831.635256262928,681.6682428384656,584934,479454.0983606558,134.43668122270742,110.19400100221921,73428,60186.88524590164,16.87612043208458,13.832885600069327,62200,50983.606557377054,14.295564238106182,11.717675605005068,22645,18561.475409836065,5.204550678005056,4.266025145905783,23680,19409.83606557377,5.442427028269363,4.461005760876527,0,0.0,0.0,0.0,1967,1612.2950819672133,0.4520799816134222,0.3705573619782149,4387299,3596146.7213114756,1008.3426798437141,826.5103933145198
