cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
136.6,0.7320644216691069,Alma,PPSA,213,232,0.01547469604090889,30008150,21967898.975109812,140883.33333333334,103135.67593948268,172101.0,53234,56522,0,1500,200,135254,8625,0,28240,94100,22936.0,0,0,572712.0,464367,4917,20020,2000,46100,0,0,35308,572712
136.6,0.7320644216691069,Aroostook,PPSA,306,351,0.01210004375808172,10169550,7444765.739385067,33233.82352941176,24329.29980191198,68980.0,47018,9714,19500,0,0,36426,32742,0,1000,9314,450.0,34154,0,259298.0,123052,105851,0,200,0,0,0,30195,259298
136.6,0.7320644216691069,Balmoral,PPSA,1674,1719,0.01429100212610591,102229150,74838323.57247438,61068.787335722816,44706.2864829596,356958.0,303697,72554,160000,0,2662,362605,252267,0,45247,179254,253076.0,7000,0,1995320.0,1460957,110900,161131,100000,152322,0,0,10010,1995320
136.6,0.7320644216691069,Bas-Caraquet,PPSA,1305,1380,0.01449500368945842,73994600,54168814.0556369,56700.84291187739,41508.669774434406,359706.0,217246,55208,0,0,2128,364892,95836,0,82364,180040,43040.0,41000,0,1441460.0,1072552,164334,59210,16500,15850,13500,85000,14514,1441460
136.6,0.7320644216691069,Bath,PPSA,476,532,0.01460000181425643,22047600,16140263.543191802,46318.487394957985,33908.11668737773,66232.0,82273,62183,0,0,11417,75403,44824,0,43038,57659,72662.0,0,3140,518831.0,321895,102239,37592,9750,40600,6755,0,0,518831
136.6,0.7320644216691069,Bathurst,municipal,11897,12275,0.0177500003931638,1079066793,789946407.7598829,90700.7474993696,66398.7902630817,3345016.0,4291895,2807896,500000,1265480,318414,4900879,364212,1000663,0,3322491,3195786.0,0,615800,25928532.0,19153436,3624702,1013496,1164400,472498,0,500000,0,25928532
136.6,0.7320644216691069,Belledune,PPSA,1417,1548,0.01184677977616569,388591000,284473645.6808199,274235.0035285815,200757.68925957652,1045106.0,794465,272662,23075,5000,10000,993200,196000,0,672704,535090,331601.0,220000,6585,5105488.0,4603552,345656,36380,87700,27700,4500,0,0,5105488
136.6,0.7320644216691069,Beresford,municipal,4288,4351,0.01559292131406249,288508350,211206698.38945827,67282.73087686567,49255.293467690826,1028321.0,1160977,147850,400000,8000,46235,937382,226079,0,146280,774318,337865.0,462693,0,5676000.0,4498688,908618,98324,54750,33850,27400,0,54370,5676000
136.6,0.7320644216691069,Bertrand,PPSA,1166,1137,0.01438000740000919,62026950,45407723.27964861,53196.35506003431,38943.15890192848,327522.0,189741,50200,0,1500,1700,332709,89109,0,89979,164545,137833.0,0,0,1384838.0,891948,199976,143619,82120,43700,0,1,23474,1384838
136.6,0.7320644216691069,Blacks Harbour,PPSA,894,982,0.01589024016351559,58710000,42979502.19619326,65671.14093959732,48075.50581229672,288263.0,228161,166471,50000,1050,32630,203590,54000,0,29810,336678,93960.0,0,6934,1491547.0,932916,270935,147396,112700,14000,8600,5000,0,1491547
136.6,0.7320644216691069,Blackville,PPSA,958,990,0.01402531528923675,49918450,36543521.229868226,52106.94154488518,38145.63802700232,175430.0,214792,100795,0,0,1500,204058,95495,0,34465,55000,160590.0,40000,49633,1131758.0,700122,208772,212364,0,10500,0,0,0,1131758
136.6,0.7320644216691069,Bouctouche,MPSA,2361,2423,0.01325500114350289,222999000,163249633.96778917,94451.08005082593,69144.2752934304,520311.0,433399,169672,40000,1000,16500,874454,160279,0,311920,1183162,363336.0,25000,0,4099033.0,2955852,55271,168453,663000,104975,0,22400,129082,4099033
136.6,0.7320644216691069,Cambridge-Narrows,PPSA,562,620,0.01067299710526057,96433550,70595571.0102489,171589.94661921708,125614.89503603007,252930.0,120986,93840,0,25000,2000,356898,81586,12000,69647,63737,1500.0,0,0,1080124.0,1029235,752,10911,0,9328,0,0,29898,1080124
