municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,237016,212952.38095238095,787.4285714285714,707.4829931972789,19873,17855.345911949687,66.02325581395348,59.32008608621159,9243,8304.582210242588,30.707641196013288,27.58997412040727,15610,14025.157232704403,51.86046511627907,46.59520675317078,250,224.61814914645103,0.8305647840531561,0.7462396981609669,7577,6807.726864330638,25.172757475083056,22.617032771862583,0,0.0,0.0,0.0,0,0.0,0.0,0.0,289569,260169.81132075473,962.0232558139535,864.3515326270921
Aroostook,103940,93387.24168912848,300.40462427745666,269.90532280094936,53170,47771.787960467205,153.67052023121389,138.06875133083008,0,0.0,0.0,0.0,200,179.69451931716083,0.5780346820809249,0.5193483217258983,7455,6698.11320754717,21.546242774566473,19.35870869233286,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,164765,148036.83737646003,476.1994219653179,427.8521311458382
Atholville,1810200,1626415.0943396227,1374.4874715261958,1234.9393275167977,121862,109489.66756513926,92.52999240698557,83.13566253996906,0,0.0,0.0,0.0,3100,2785.265049415993,2.3538344722854974,2.114855770247527,96032,86282.12039532795,72.91723614274868,65.51413849303565,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2140,1922.731356693621,1.624905087319666,1.459932693009583,2033334,1826894.8787061996,1543.9134396355353,1387.1639170130597
Baker-Brook,293537,263734.9505840072,559.1180952380953,502.35228682668037,66627,59862.53369272237,126.90857142857143,114.02387370042356,58790,52821.20395327942,111.98095238095237,100.61181705386556,0,0.0,0.0,0.0,11760,10566.037735849057,22.4,20.12578616352201,0,0.0,0.0,0.0,25,22.461814914645103,0.047619047619047616,0.042784409361228765,0,0.0,0.0,0.0,430739,387007.1877807727,820.4552380952381,737.1565481538528
Balmoral,793354,712806.828391734,465.0375146541618,417.8234633011337,226359,203377.35849056605,132.68405627198123,119.21298856422395,101544,91234.5013477089,59.52168815943728,53.47860571378013,0,0.0,0.0,0.0,11755,10561.545372866127,6.890386869871043,6.1908237824537675,0,0.0,0.0,0.0,8,7.187780772686433,0.004689331770222743,0.004213236091844334,6779,6090.745732255166,3.9736225087924972,3.570190933326592,1139799,1024078.167115903,668.111957796014,600.28028553101
Bas-Caraquet,639560,574627.1338724169,434.7790618626785,390.6370726529007,267819,240628.0323450135,182.06594153636982,163.58125924202142,53019,47636.11859838275,36.04282800815771,32.38349326878501,1750,1572.3270440251572,1.1896668932698844,1.0688831026683598,15900,14285.714285714286,10.808973487423522,9.711566475672527,0,0.0,0.0,0.0,21936,19708.8948787062,14.912304554724678,13.398296994361795,351,315.3638814016173,0.23861318830727396,0.21438741087805388,1000335,898773.5849056604,680.0373895309314,610.9949591472878
Bath,294287,264408.80503144657,574.779296875,516.4234473270441,47854,42995.50763701707,93.46484375,83.97560085354897,1047,940.7008086253369,2.044921875,1.8373062668463611,36405,32708.8948787062,71.103515625,63.88456030997305,20430,18355.79514824798,39.90234375,35.851162398921836,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,400023,359409.7035040431,781.294921875,701.9720771563342
Bathurst,13562148,12185218.328840971,1066.7097687588484,958.4094957402053,2555133,2295716.9811320757,200.9700330344502,180.56606741639732,171000,153638.81401617252,13.449740443605474,12.084223219771316,786450,706603.7735849057,61.857008022652195,55.576826615141236,402500,361635.22012578615,31.658014786849144,28.44385874829213,0,0.0,0.0,0.0,11090,9964.061096136567,0.8722667925121913,0.7837078099839994,535,480.6828391734052,0.042079597294321223,0.037807365044313763,17488856,15713257.861635221,1375.5589114362122,1235.9019869148358
Belledune,3716844,3339482.4797843667,2172.322618351841,1951.7723435326516,41645,37416.891284815814,24.339567504383403,21.868434415438816,483578,434481.58131177,282.62887200467566,253.9342965001578,108337,97337.82569631626,63.31794272355348,56.88943640930231,8500,7637.017070979336,4.967855055523086,4.463481631197741,6000,5390.8355795148245,3.506721215663355,3.150692916139582,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4364904,3921746.630727763,2551.08357685564,2292.078685404888
Beresford,2545238,2286826.594788859,596.9132270168856,536.3101770142728,591079,531068.2839173406,138.62077861163226,124.54697089993915,79457,71389.93710691824,18.6343808630394,16.74248055978383,76320,68571.42857142857,17.898686679174485,16.08147949611364,350,314.4654088050315,0.08208255159474671,0.07374892326572033,8860,7960.467205750225,2.0778611632270167,1.8669013146693774,55,49.41599281221923,0.012898686679174483,0.011589116513184622,0,0.0,0.0,0.0,3301359,2966180.5929919137,774.2399155722327,695.6333473245576
