municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,301,290,0.01278472961205226,18538992,16656776.28032345,61591.335548172756,55338.12717715432
Aroostook,346,380,0.01229993668976208,8450450,7592497.753818508,24423.26589595376,21943.635126643087
Atholville,1317,1381,0.01195910825325729,151365801,135998024.2587601,114932.27107061504,103263.49602031898
Baker-Brook,525,599,0.0137645636282999,21325558,19160429.469901167,40620.11047619048,36496.05613314508
Balmoral,1706,1836,0.01429099709910524,55514251,49878033.24348608,32540.592614302463,29236.830740613175
Bas-Caraquet,1471,1689,0.01399589712494783,45696249,41056827.49326146,31064.751189666895,27910.827663671964
Bath,512,592,0.01380048401837576,21324397,19159386.34321653,41649.212890625,37420.67645159479
Bathurst,12714,12924,0.01755000022283417,772771956,694314425.8760108,60781.1826333176,54610.22698411285
Belledune,1711,1923,0.01089267430694751,341224193,306580586.70260555,199429.6861484512,179182.1079500909
Beresford,4264,4414,0.01559819511990554,163175161,146608410.60197663,38268.09591932458,34382.83550703017
Bertrand,1179,1269,0.0141899858530352,33611450,30198966.756513927,28508.43935538592,25614.051532242516
Blacks Harbour,952,1082,0.01513559014852209,57350258,51527635.22012579,60241.867647058825,54125.66724803129
Blackville,931,1015,0.01244478690594676,37495861,33689003.593890384,40274.823845327606,36185.82555734735
Bouctouche,2383,2426,0.01167500222836768,136826612,122934961.36567836,57417.797733948806,51588.317820259486
Cambridge-Narrows,717,654,0.01110000953561552,52435000,47111410.60197664,73131.10181311019,65706.29093720591
Campbellton,7384,7798,0.0173529979313633,368877241,331426092.54267746,49956.289409534125,44884.35706157604
Canterbury,360,399,0.01220786078116949,10658788,9576628.93081761,29607.744444444445,26601.747030048915
Cap-Pelé,2279,2266,0.01200399765768516,127079415,114177371.96765499,55761.04212373848,50099.768305245714
Caraquet,4156,4442,0.01441700072251378,218873333,196651691.82389936,52664.4208373436,47317.53893741563
Centreville,523,535,0.01180011452183405,31106732,27948546.271338724,59477.499043977055,53438.903004471744
Charlo,1376,1449,0.01395600610383453,55522475,49885422.2821204,40350.635901162794,36253.9406120061
Chipman,1291,1432,0.01329999681325182,61473323,55232096.13656784,47616.82649109218,42782.41373862729
Clair,848,863,0.01053048848364965,43954941,39492309.973045826,51833.65683962264,46571.12025123328
Dalhousie,3676,3975,0.01554092401275098,319632732,287181250.6738545,86951.23286180632,78123.29996568403
Dieppe,18565,14951,0.015645000058363,1577026648,1416915227.313567,84946.22396983572,76321.85442033756
Doaktown,888,955,0.01200000561119075,50613143,45474522.012578614,56996.782657657655,51210.047311462404
Dorchester,1119,954,0.0141508654052602,33748466,30322071.87780773,30159.487042001787,27097.47263432326
Drummond,839,932,0.01196069253617469,39844850,35799505.84007188,47490.88200238379,42669.2560668318
Edmundston,16643,17373,0.01515672085660139,1077521197,968123267.7448338,64743.207174187344,58169.99746108477
Eel River Crossing,1168,1335,0.0125,37733760,33902749.32614555,32306.301369863013,29026.326477864342
Florenceville-Bristol,1539,1481,0.01210975003957995,145446107,130679341.4195867,94506.89213775178,84911.85277426036
Fredericton,50535,47560,0.01406887003465777,4536560139,4075974967.6549864,89770.65675274562,80656.47506985231
Fredericton Junction,715,692,0.01295048160941548,28913056,25977588.499550764,40437.840559440556,36332.291607763305
Gagetown,719,682,0.01219999423976293,43644037,39212971.24887691,60701.025034770515,54538.20757841016
Grand Bay-Westfield,4981,4949,0.01369974636547331,240499197,216081938.00539082,48283.31600080305,43381.23629901442
Grand Falls/Grand-Sault,5650,5858,0.01431750916427372,408593208,367109800.53908354,72317.38194690265,64975.18593612098
Grand Manan,2460,2610,0.0110726107242359,150960965,135634290.2066487,61366.24593495935,55135.89032790598
Grande-Anse,758,853,0.01340998941002597,31509048,28310016.17250674,41568.66490765171,37348.30629618303
Hampton,4004,3997,0.01250000012123469,206211598,185275469.90116802,51501.3981018981,46272.59488041159
Hartland,947,902,0.0146998142636442,62472422,56129759.20934412,65968.76663146779,59271.12904893782
Harvey,352,349,0.010495016517973,14311078,12858111.410601977,40656.47159090909,36528.72559830107
Hillsborough,1292,1288,0.01345997834401361,52184185,46886060.19766397,40390.23606811146,36289.520276829695
Kedgwick,1146,1184,0.01447207016255009,38641811,34718608.265947886,33718.857766143105,30295.469691054
Lac Baker,169,226,0.01342330249643865,4911757,4413079.065588499,29063.650887573964,26112.89387922189
Lamèque,1422,1580,0.01462118449864524,67618735,60753580.41329739,47551.853023909985,42724.036858858926
Le Goulet,908,969,0.01565134973219954,16775550,15072371.967654986,18475.275330396475,16599.528598738973
Maisonnette,599,605,0.01352501567968214,19091586,17153266.846361186,31872.430717863106,28636.50558657961
McAdam,1404,1513,0.01615217298583291,34019757,30565819.407008085,24230.596153846152,21770.526643168152
Meductic,155,189,0.00959076491082107,11538600,10367115.902964959,74442.58064516129,66884.61872880619
Memramcook,4638,4719,0.01381200591556532,179117285,160931972.1473495,38619.50948684778,34698.57096751822
Millville,303,319,0.01263703712903566,8051650,7234186.88230009,26573.102310231025,23875.204232013497
Minto,2681,2776,0.01229999624588337,94030110,84483477.08894879,35072.77508392391,31511.92729912301
Miramichi,18129,18508,0.01578867746408137,1237002532,1111412876.9092543,68233.35716255722,61305.80158360937
Moncton,64128,61046,0.01652499989682261,4728991497,4248869269.541779,73743.00612836826,66256.0701961979
Nackawic,977,1042,0.01277868233665396,96138942,86378204.85175203,98402.19242579324,88411.67333853841
New Maryland,4248,4284,0.01158751730755251,262060450,235454132.9739443,61690.313088512245,55427.055784826814
Nigadoo,927,983,0.01375001067017217,29287250,26313791.554357592,31593.581445523192,28385.967156804305
Norton,1314,1370,0.01179434607397702,43521192,39102598.38274933,33121.150684931505,29758.446257800097
Néguac,1623,1697,0.01261481904291225,77148788,69316071.87780772,47534.68145409735,42708.60867394191
Oromocto,8402,8843,0.01271667522960542,757549503,680637469.0026954,90162.99726255653,81008.98226644793
Paquetville,642,667,0.0121024440365954,31276823,28101368.3737646,48717.79283489096,43771.60182829377
Perth-Andover,1797,1908,0.01229999986135509,90158375,81004829.29020666,50171.605453533666,45077.81262671489
Petit-Rocher,1949,1966,0.01406226981666314,67398721,60555903.86343217,34581.18060543868,31070.243131571147
Petitcodiac,1368,1444,0.01279399694757879,70380195,63234676.54986523,51447.51096491228,46224.17876452137
Plaster Rock,1150,1219,0.01320249441605489,56122955,50424937.10691824,48802.56956521739,43847.771397320204
Pointe-Verte,971,1041,0.01550000201800871,24776900,22261365.67834681,25516.889804325438,22926.226239286105
Port Elgin,451,436,0.01298907296439901,18440500,16568283.91734052,40888.026607538806,36736.77143534483
Quispamsis,15239,13757,0.01265643245856856,890142150,799768328.8409704,58412.1103746965,52481.680480410156
Rexton,862,810,0.01238500420087943,46178426,41490050.31446541,53571.259860788865,48132.30894949583
Richibucto,1290,1341,0.01277799279899592,81291719,73038381.85085355,63016.836434108525,56618.90065957639
Riverside-Albert,320,393,0.01277682605229266,12229250,10987646.001796946,38216.40625,34336.393755615456
Riverview,17832,17010,0.01546269598359869,943095500,847345462.7133873,52887.814042171376,47518.251610216874
Rivière-Verte,798,856,0.011999891964734,27953835,25115754.71698113,35029.86842105263,31473.37683832222
Rogersville,1165,1248,0.01464654032092178,41171839,36991769.09254268,35340.63433476395,31752.59149574479
Rothesay,11637,11505,0.01249999915810511,786915333,707021862.5336927,67621.83836040217,60756.36869757607
Sackville,5411,5361,0.01535000102764205,439549938,394923574.1239892,81232.66272408058,72985.32140528354
Saint Andrews,1798,1869,0.01097700118365727,206059648,185138946.9901168,114604.92102335929,102969.38097336864
Saint George,1309,1509,0.01250000162635203,99916867,89772566.93620844,76330.68525592054,68581.02898106069
Saint John,68043,69661,0.01795000666228931,4693424219,4216913044.9236298,68977.32638184677,61974.23753984436
Saint-Antoine,1546,1472,0.0121663896813022,65946926,59251505.84007188,42656.4851228978,38325.68294959371
Saint-François-de-Madawaska,585,572,0.01292815421650301,35543589,31934940.700808626,60758.2717948718,54589.64222360449
Saint-Hilaire,231,237,0.01089057252665692,20412150,18339757.412398923,88364.28571428571,79392.88923116417
Saint-Isidore,796,877,0.01240697914491194,29375805,26393355.79514825,36904.27763819096,33157.48215470886
Saint-Louis-de-Kent,960,991,0.01385598465703225,39172604,35195511.230907455,40804.79583333333,36661.9908655286
Saint-Léolin,733,802,0.01468913868449155,15508057,13933564.240790656,21156.967257844473,19008.955308036366
Saint-Léonard,1352,1385,0.01432199718098571,55617313,49970631.6262354,41137.06582840237,36960.52635076583
Saint-Quentin,2250,2280,0.0130004103899835,97865449,87929424.07906559,43495.75511111111,39079.74403514026
Sainte-Anne-de-Madawaska,1073,1168,0.01408044275019692,32973537,29625819.407008085,30730.230195712953,27610.2697176217
Sainte-Marie-Saint-Raphaël,993,1135,0.01479999672762823,24447100,21965049.41599281,24619.436052366567,22119.888636447948
Salisbury,2036,1954,0.008976335045473106,105938002,95182391.7340521,52032.41748526523,46749.70124462284
Shediac,5497,4892,0.01477952708730596,348493627,313111973.9442947,63397.05784973622,56960.51918215294
Shippagan,2754,2920,0.01455500027534358,167209272,150232948.787062,60715.05882352941,54550.816553036304
St. Martins,386,374,0.01274589984829283,16017700,14391464.510332435,41496.632124352334,37283.58681433273
St. Stephen,4780,4667,0.01540000067006077,293406221,263617449.2362983,61382.05460251046,55150.09398248918
Stanley,433,460,0.01328779876487694,21308646,19145234.50134771,49211.65357967668,44215.322174013185
Sussex,4241,4182,0.01369099995942744,279129575,250790274.03414196,65816.92407451072,59134.702672516374
Sussex Corner,1413,1321,0.0119710077196476,59057100,53061185.983827494,41795.541401273884,37552.14860851203
Tide Head,1075,1149,0.01390001022378648,41941408,37683205.75022462,39015.26325581395,35054.14488392988
Tracadie-Sheila,4474,4724,0.01330000026298857,273776160,245980377.35849056,61192.70451497541,54979.96811767782
Tracy,619,601,0.01283004151980201,18334625,16473158.131176999,29619.74959612278,26612.533329849757
Woodstock,5113,5198,0.01418431868791825,329778476,296296923.6298293,64498.03950713867,57949.721030672656
