municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,290,312,0.01255709663010046,15677589,14945270.734032411,54060.65172413793,51535.416324249694
Aroostook,380,397,0.01230003507626063,8267700,7881506.196377502,21757.105263157893,20740.805779940794
Atholville,1381,1376,0.0119500004334972,138409200,131943946.61582458,100223.89572773353,95542.32195208152
Baker-Brook,599,629,0.0131499718236995,21649400,20638131.553860817,36142.57095158598,34454.30977272257
Balmoral,1836,1975,0.01414056267020083,52088097,49655001.90657769,28370.42320261438,27045.208010118567
Bas-Caraquet,1689,1775,0.01394821103824083,42736520,40740247.85510009,25302.853759621077,24120.92827418596
Bath,592,629,0.01390014204459704,20209146,19265153.479504287,34137.07094594595,32542.488985649135
Bathurst,12924,13815,0.01656000017460308,730800415,696663884.6520495,56545.99311358712,53904.66455060736
Belledune,1923,2060,0.01009883553223697,291514897,277897899.9046711,151593.8101924077,144512.68845796728
Beresford,4414,4720,0.01549678418495304,144256897,137518490.94375595,32681.671273221567,31155.07271041141
Bertrand,1269,1379,0.01419008807506935,30894100,29451000.953288842,24345.232466509064,23208.03857627174
Blacks Harbour,1082,1148,0.01494428544615133,51333535,48935686.36796949,47443.19316081331,45227.06688352078
Blackville,1015,957,0.01182927204826966,34777457,33152961.868446134,34263.50443349754,32663.016619158752
Bouctouche,2426,2459,0.01147500323561471,115495828,110100884.65204956,47607.513602638086,45383.71172796767
Cambridge-Narrows,654,634,0.0110999982207721,46143611,43988189.704480454,70555.98012232415,67260.22890593341
Campbellton,7798,8404,0.01662899729193832,337406273,321645636.79694945,43268.308925365476,41247.19630635412
Canterbury,399,433,0.01228031342688919,10165050,9690228.789323164,25476.315789473683,24286.28769253926
Cap-Pelé,2266,2242,0.01200400240342107,99443249,94798140.13346043,43884.928949691086,41835.01329808492
Caraquet,4442,4653,0.01399499777694103,207859983,198150603.43183982,46794.233003151734,44608.420403385826
Centreville,535,559,0.01150023085337506,29549059,28168788.369876068,55231.88598130841,52651.940878273024
Charlo,1449,1610,0.01395599230032615,47233689,45027348.90371782,32597.438923395446,31074.77495080595
Chipman,1432,1518,0.01288306584190808,59170931,56406988.56053384,41320.482541899444,39390.355140037595
Clair,863,905,0.01036797283719509,41996252,40034558.62726406,48663.09617612978,46389.9868218587
Dalhousie,3975,4500,0.01558858224827918,296964979,283093402.2878932,74708.17081761007,71218.46598437564
Dieppe,14951,12497,0.01534900038328385,1089902442,1038991841.7540513,72898.29723764297,69493.13368698089
Doaktown,955,986,0.01169997982746987,45636318,43504592.94566253,47786.72041884817,45554.54758708118
Dorchester,954,1179,0.01331027015151104,32188678,30685107.721639656,33740.75262054507,32164.683146372805
Drummond,932,983,0.01194546387659653,36144850,34456482.364156336,38782.02789699571,36970.47463965272
Edmundston,17373,17876,0.01489239572165685,950302642,905912909.4375595,54699.973637253206,52144.87477335863
Eel River Crossing,1335,1446,0.01250000933393768,36158373,34469373.689227834,27084.923595505617,25819.755572455306
Florenceville-Bristol,1481,1414,0.01182011400811754,127518990,121562430.88655862,86103.30182309251,82081.31727654194
Fredericton,47560,47154,0.0139661671875681,3628724282,3459222385.1286936,76297.81921783011,72733.86007419457
Fredericton Junction,692,736,0.01289999442754169,24333964,23197296.472831264,35164.687861271676,33522.104729524945
Gagetown,682,660,0.01190938198085606,29341405,27970834.127740704,43022.58797653959,41012.95326648197
Grand Bay-Westfield,4949,4880,0.01330007094630953,196224442,187058571.9733079,39649.31137603556,37797.24630699291
Grand Falls/Grand-Sault,5858,6133,0.01421858551662364,323257401,308157674.92850333,55182.21252987368,52604.587731052125
Grand Manan,2610,2577,0.01109370229244772,122484538,116763143.94661582,46928.94176245211,44736.836761155486
Grande-Anse,853,965,0.01341037432158645,28765640,27421963.77502383,33722.90738569754,32147.67148302911
Hampton,3997,4081,0.01233399821619159,165006510,157298865.58627263,41282.58944208156,39354.232070621125
Hartland,902,892,0.01446997066193769,45162151,43052574.833174445,50068.90354767184,47730.12730950604
Harvey,349,383,0.01055320279754804,13125494,12512387.035271686,37608.8653295129,35852.11184891601
Hillsborough,1288,1272,0.0131813363067413,43130756,41116068.636796944,33486.61180124224,31922.413537885826
Kedgwick,1184,1221,0.01447183616124343,34392595,32786077.216396566,29047.79983108108,27690.943594929533
Lac Baker,226,226,0.01313505531765972,4846192,4619820.781696853,21443.327433628318,20441.684874764836
