municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,301,290,0.01290382131275653,21483481,18928177.092511013,71373.69102990034,62884.30927744522
Aroostook,346,380,0.01230001220412267,8603650,7580308.370044053,24866.040462427747,21908.40569376894
Atholville,1317,1381,0.01213632132898833,155553149,137051232.59911895,118111.73044798785,104063.19863258842
Baker-Brook,525,599,0.01376505493057324,22461080,19789497.79735683,42783.009523809524,37694.281518774915
Balmoral,1706,1836,0.01429099070001303,60306106,53133133.03964757,35349.41735052755,31144.861101786384
Bas-Caraquet,1471,1689,0.01429500352096726,48566200,42789603.52422907,33015.77158395649,29088.785536525542
Bath,512,592,0.01379999770244345,21762250,19173788.546255507,42504.39453125,37448.805754405286
Bathurst,12714,12924,0.01754999945047463,865383161,762452124.2290748,68065.37368255467,59969.49223132569
Belledune,1711,1923,0.01089723927597455,354739297,312545636.123348,207328.63646990064,182668.4021761239
Beresford,4264,4414,0.01559837493761216,206332263,181790540.0881057,48389.36749530957,42633.80396062517
Bertrand,1179,1269,0.01437999034578763,36564350,32215286.343612332,31013.019508057678,27324.24626260588
Blacks Harbour,952,1082,0.01534237507312417,58462200,51508546.255506605,61409.87394957983,54105.61581460778
Blackville,931,1015,0.01265791596438601,39165847,34507354.18502203,42068.57894736842,37064.827266403896
Bouctouche,2383,2426,0.0116749978593822,155807823,137275614.97797355,65383.05623164079,57606.2169441769
Cambridge-Narrows,717,654,0.01109999494747181,59099126,52069714.537444934,82425.55927475593,72621.63812753826
Campbellton,7384,7798,0.01758199960239308,389792012,343429085.46255505,52788.73401950162,46509.897814538876
Canterbury,360,399,0.01258654709801069,11483054,10117228.193832599,31897.37222222222,28103.411649534995
Cap-Pelé,2279,2266,0.01200399896644168,144514341,127325410.57268722,63411.29486616937,55868.982260942175
Caraquet,4156,4442,0.01471699855176791,234824240,206893603.52422908,56502.463907603465,49781.90652652288
