municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,290,312,0.01255588246162671,16534481,15395233.70577281,57015.45172413793,53087.01277852693
Aroostook,380,397,0.01229991424896384,8396400,7817877.094972067,22095.78947368421,20573.36077624228
Atholville,1381,1376,0.01195911654459812,144537098,134578303.53817505,104661.18609703114,97449.89394509417
Baker-Brook,599,629,0.01315000524157981,22798470,21227625.69832402,38060.884808013354,35438.44023092491
Balmoral,1836,1975,0.01414089980331813,55460120,51638845.437616386,30207.037037037036,28125.73280915925
Bas-Caraquet,1689,1775,0.0139481511205643,44034510,41000474.86033519,26071.349911190053,24274.999917309175
Bath,592,629,0.01380003059195432,20593650,19174720.67039106,34786.57094594595,32389.730862147062
Bathurst,12924,13815,0.01696000059793197,751389832,699618093.1098696,58139.10801609409,54133.24768723844
Belledune,1923,2060,0.008797336370319266,334642314,311585022.3463687,174020.96411856473,162030.69284782562
Beresford,4414,4720,0.01549938143745957,149853077,139528004.65549347,33949.49637516991,31610.331820456155
Bertrand,1269,1379,0.01418995953550063,32645900,30396554.93482309,25725.68951930654,23953.15597700795
Blacks Harbour,1082,1148,0.01448253923904384,52970200,49320484.17132215,48955.82255083179,45582.70256129589
Blackville,1015,957,0.01203499588240014,35383477,32945509.310986962,34860.5684729064,32458.62986304134
Bouctouche,2426,2459,0.01067388430962806,124164265,115609185.28864059,51180.65333882935,47654.239607848554
Cambridge-Narrows,654,634,0.01109999531247558,47999750,44692504.655493475,73394.1131498471,68337.16308179431
Campbellton,7798,8404,0.01662900007530464,349234769,325172038.1750465,44785.17171069505,41699.415000647154
Canterbury,399,433,0.01227241585818661,10436250,9717178.77094972,26156.015037593985,24353.831506139646
Cap-Pelé,2266,2242,0.01085343567173368,109985173,102407051.2104283,48537.14607237423,45192.87343796483
Caraquet,4442,4653,0.01401821532911412,207859983,193538159.2178771,46794.233003151734,43570.049351165486
Centreville,535,559,0.01150043304695822,30135300,28058938.54748603,56327.66355140187,52446.61410745052
Charlo,1449,1610,0.01395600741502144,48739441,45381229.98137802,33636.60524499655,31318.999297017268
Chipman,1432,1518,0.01251591265690699,60906705,56710153.63128491,42532.61522346369,39602.0625916794
Clair,863,905,0.0101929057080375,42717554,39774258.84543761,49498.90382387022,46088.36482669479
Dalhousie,3975,4500,0.01553689506478277,309968625,288611382.6815642,77979.52830188679,72606.63715259478
Dieppe,14951,12497,0.01534899994174818,1231274876,1146438432.029795,82354.01484850512,76679.71587384088
Doaktown,955,986,0.01106852896716021,48239834,44916046.55493482,50512.91518324607,47032.50948160714
Dorchester,954,1179,0.01330970984296534,32051713,29843308.193668526,33597.18343815514,31282.293704055057
Drummond,932,983,0.01195460769318113,37429250,34850325.88454376,40160.13948497854,37393.05352418859
Edmundston,17373,17876,0.01497938481450684,994158651,925659824.0223463,57224.35106199275,53281.51867969529
Eel River Crossing,1335,1446,0.01250000468385504,37362386,34788068.90130354,27986.805992509362,26058.478577755457
Florenceville-Bristol,1481,1414,0.01164138440276047,131776767,122697175.97765362,88978.23565158677,82847.51922866551
Fredericton,47560,47154,0.01395708292427995,3906904494,3637713681.564245,82146.85647603028,76486.8309832684
Fredericton Junction,692,736,0.01290001062291143,25341452,23595392.923649903,36620.59537572254,34097.38861799119
Gagetown,682,660,0.01216701336394502,34229189,31870753.258845434,50189.42668621701,46731.30976370298
Grand Bay-Westfield,4949,4880,0.0134000932603068,209806301,195350373.37057728,42393.675692059005,39472.69617510149
Grand Falls/Grand-Sault,5858,6133,0.01563099865422726,323257401,300984544.6927374,55182.21252987368,51380.08615444476
Grand Manan,2610,2577,0.002843087718938273,135682764,126334044.69273742,51985.73333333333,48403.848541278705
Grande-Anse,853,965,0.0437332024476692,31070375,28929585.66108007,36424.824150058615,33915.106284970774
Hampton,3997,4081,0.01154441306485014,176292202,164145439.4785847,44106.13009757318,41067.160239826044
Hartland,902,892,0.01411379890868291,46301850,43111592.178770944,51332.427937915745,47795.556739213906
Harvey,349,383,0.01057695944252979,13537728,12604960.893854747,38790.05157593123,36117.36645803652
Hillsborough,1288,1272,0.01236031807435053,45995661,42826499.99999999,35710.91692546584,33250.388198757755
Kedgwick,1184,1221,0.01349945203329726,36869941,34329554.00372439,31140.15287162162,28994.555746388844
Lac Baker,226,226,0.01313417581226034,4915573,4576883.612662942,21750.32300884956,20251.69740116346
Lamèque,1580,1671,0.01381128901446095,65253721,60757654.56238361,41299.82341772152,38454.21174834405
Le Goulet,969,1029,0.01565204720967507,15441750,14377793.296089385,15935.758513931889,14837.76397945241
Maisonnette,605,675,0.01352501422746966,18109334,16861577.281191804,29932.78347107438,27870.37567139141
McAdam,1513,1570,0.01527565380126125,32514353,30274071.694599625,21489.988764044945,20009.30052518151
Meductic,189,236,0.009196923829043115,10636600,9903724.394785846,56278.30687830688,52400.65817347008
Memramcook,4719,4904,0.01309993058246101,151954393,141484537.24394783,32200.549480822207,29981.889646948046
Millville,319,321,0.01225617963193315,7838250,7298184.357541898,24571.316614420062,22878.3208700373
Minto,2776,3056,0.01170026709507202,88666181,82556965.54934822,31940.266930835736,29739.540903943882
Miramichi,18508,19241,0.01541724925997786,1215956860,1132175847.2998137,65698.98746488005,61172.24158741159
Moncton,61046,59313,0.01652500023257959,4000028567,3724421384.5437613,65524.82663892802,61010.08066939294
Nackawic,1042,1167,0.01173359297196172,107893550,100459543.76163873,103544.67370441458,96410.31071174542
New Maryland,4284,4284,0.01158812931927874,229993550,214146694.59962752,53686.63632119515,49987.557096084856
Nigadoo,983,961,0.01349999229144505,25945200,24157541.89944134,26393.896236012206,24575.322379899633
Norton,1370,1390,0.01166335990516415,40032118,37273852.88640595,29220.524087591242,27207.191887887555
Néguac,1697,1735,0.0121915980834738,69678150,64877234.6368715,41059.60518562169,38230.544865569536
Oromocto,8843,9194,0.01332600386634621,585545080,545200260.7076349,66215.65984394436,61653.31456605619
Paquetville,667,731,0.0121279618083578,27020781,25159013.966480445,40510.91604197901,37719.66111916109
Perth-Andover,1908,1861,0.01135299480791826,84943578,79090854.74860334,44519.69496855346,41452.22995209819
Petit-Rocher,1966,2078,0.01335082001613973,63437227,59066319.36685288,32267.15513733469,30043.906086903804
Petitcodiac,1444,1425,0.01222429815171673,64398462,59961324.02234636,44597.2728531856,41524.462619353435
Plaster Rock,1219,1220,0.01193794200761382,54697870,50929115.45623836,44871.09926168991,41779.42203136863
Pointe-Verte,1041,1122,0.01519997959174997,23519900,21899348.230912473,22593.563880883765,21036.837877917842
Port Elgin,436,445,0.0143277340414332,17097400,15919366.852886405,39214.220183486235,36512.30929561102
Quispamsis,13757,13579,0.01230584612638528,724947550,674997718.8081936,52696.63080613506,49065.76425152239
Rexton,810,0,0.01155113960266182,42017759,39122680.63314711,51873.776543209875,48299.605719934705
Richibucto,1341,1414,0.01169801158182557,74940172,69776696.46182495,55883.79716629381,52033.33069487319
Riverside-Albert,393,415,0.01249537940908499,11524500,10730446.927374301,29324.42748091603,27303.93620197023
Riverview,17010,16684,0.0153451991391208,783222550,729257495.3445065,46044.829512051736,42872.28073747834
Rivière-Verte,856,929,0.01199997062107057,27230400,25354189.944134075,31811.21495327103,29619.380775857564
Rogersville,1248,1336,0.01506712190184694,39097447,36403581.93668529,31328.08253205128,29169.536808241417
Rothesay,11505,11470,0.01220000000349803,686099508,638826357.5418993,59634.89856584094,55525.97631828764
