municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,54353.0,50608.00744878957,187.4241379310345,174.51037051306747,26481,24656.424581005584,91.31379310344828,85.02215372760546,28567,26598.69646182495,98.50689655172414,91.71964297181017,0,0.0,0.0,0.0,1200,1117.3184357541897,4.137931034482759,3.8528221922558266,1000,931.0986964618248,3.4482758620689653,3.210685160213189,67923,63243.01675977653,234.21724137931034,218.07936813716046,35675,33216.9459962756,123.01724137931035,114.54119309060552,100,93.10986964618249,0.3448275862068966,0.3210685160213189,8299,7727.188081936684,28.617241379310343,26.645476144609255,31700,29515.828677839847,109.3103448275862,101.7787195787581,4893.0,4555.865921787709,16.872413793103448,15.709882488923135,48,44.6927374301676,0.16551724137931034,0.1541128876902331,0,0.0,0.0,0.0,260239.0,242308.19366852884,897.3758620689655,835.5454954087202
Aroostook,37986.0,35368.71508379888,99.96315789473684,93.07556600999706,34580,32197.392923649903,91.0,84.72998137802605,13350,12430.167597765361,35.13157894736842,32.71096736254042,8813,8205.772811918063,23.192105263157895,21.594138978731745,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27318,25435.75418994413,71.88947368421053,66.93619523669508,20715,19287.709497206703,54.51315789473684,50.75713025580711,0,0.0,0.0,0.0,0,0.0,0.0,0.0,800,744.8789571694599,2.1052631578947367,1.9602077820248944,350.0,325.8845437616387,0.9210526315789473,0.8575909046358914,0,0.0,0.0,0.0,8900,8286.778398510241,23.42105263157895,21.80731157502695,152812.0,142283.0540037244,402.13684210526316,374.42908948348526
Atholville,353091.0,328762.5698324022,255.67776973207822,238.06123811180464,125671,117012.104283054,91.0,84.72998137802607,99600,92737.43016759776,72.12165097755249,67.15237521187383,169855,158151.76908752325,122.99420709630702,114.5197458997272,4000,3724.3947858472993,2.896451846488052,2.696882538629471,7700,7169.459962756051,5.5756698044895,5.191498886861732,369507,344047.4860335195,267.56480811006514,249.12924405033996,80428,74886.40595903165,58.23895727733527,54.22621720422277,0,0.0,0.0,0.0,116792,108744.87895716945,84.57060101375815,78.7435763629033,282691,263213.22160148976,204.70021723388848,190.59610543192596,318337.0,296403.1657355679,230.51194786386677,214.62937417492248,14000,13035.381750465547,10.137581462708182,9.439088885203148,0,0.0,0.0,0.0,1941672.0,1807888.2681564244,1405.9898624185373,1309.1153281364404
Baker-Brook,101567.0,94568.90130353816,169.5609348914858,157.8779654483108,54509,50753.25884543761,91.0,84.72998137802605,46846,43618.249534450646,78.20701168614357,72.81844663514298,32827,30565.176908752324,54.80300500834725,51.02700652546298,0,0.0,0.0,0.0,0,0.0,0.0,0.0,94016,87538.17504655493,156.95492487479132,146.14052595418184,16050,14944.13407821229,26.79465776293823,24.948470915212503,0,0.0,0.0,0.0,11609,10809.124767225325,19.380634390651085,18.04528341773844,15934,14836.126629422717,26.601001669449083,24.768157979002865,32506.0,30266.29422718808,54.26711185308848,50.52803710715873,5000,4655.493482309124,8.347245409015025,7.772109319380842,3790,3528.864059590316,6.327212020033389,5.891258864090678,414654.0,386083.7988826815,692.2437395659432,644.5472435437088
Balmoral,232252.0,216249.53445065176,126.49891067538127,117.78297083368832,169076,157426.4432029795,92.08932461873638,85.74425011055529,61600,57355.67970204841,33.55119825708061,31.239476961900003,172082,160225.32588454374,93.72657952069717,87.2686960155467,0,0.0,0.0,0.0,2500,2327.746741154562,1.3616557734204793,1.2678359156615262,257345,239613.5940409683,140.1661220043573,130.50849348636618,97200,90502.79329608938,52.94117647058823,49.29346040092014,0,0.0,0.0,0.0,23900,22253.258845437613,13.017429193899781,12.12051135372419,13700,12756.052141527001,7.461873638344227,6.9477408178251645,55615.0,51783.05400372439,30.29139433551198,28.204277779806315,1910,1778.3985102420854,1.0403050108932461,0.968626639565406,0,0.0,0.0,0.0,1087180.0,1012271.8808193668,592.1459694989106,551.3463403155592
Bas-Caraquet,233227.0,217157.355679702,138.0858496151569,128.57155457649617,153699,143108.93854748603,91.0,84.72998137802607,33000,30726.25698324022,19.538188277087034,18.191981636021445,40000,37243.947858472995,23.682652457075193,22.050886831541145,0,0.0,0.0,0.0,4000,3724.3947858472993,2.3682652457075193,2.2050886831541145,211730,197141.52700186218,125.35820011841327,116.72085672105517,65000,60521.41527001862,38.484310242747185,35.83269110125436,0,0.0,0.0,0.0,42178,39271.88081936685,24.972172883362937,23.25155761951856,58000,54003.724394785844,34.33984606275903,31.973785905734662,97728.0,90994.41340782122,57.86145648312611,53.87472670682133,743,691.8063314711359,0.4399052693901717,0.4095952228958768,0,0.0,0.0,0.0,939305.0,874585.6610800744,556.1308466548253,517.8127063825189
Bath,66998.0,62381.75046554934,113.17229729729729,105.37457848910361,53872,50160.14897579143,91.0,84.72998137802607,34388,32018.621973929232,58.08783783783784,54.08551009109667,9014,8392.923649906888,15.22635135135135,14.177235895112988,0,0.0,0.0,0.0,3600,3351.9553072625695,6.081081081081081,5.662086667673259,89686,83506.51769087522,151.4966216216216,141.0583069102622,26133,24332.40223463687,44.14358108108108,41.10203080175147,0,0.0,0.0,0.0,17628,16413.407821229048,29.777027027027028,27.72535104937339,66654,62061.45251396648,112.59121621621621,104.8335346519704,6973.0,6492.551210428304,11.778716216216216,10.967147314912676,0,0.0,0.0,0.0,333,310.0558659217877,0.5625,0.5237430167597765,375279.0,349421.78770949715,633.9172297297297,590.2395062660424
Bathurst,2076128.0,1933080.0744878955,160.6412875270814,149.5728934144147,3230703,3008103.351955307,249.97701949860723,232.7532770005654,1460420,1359795.1582867783,113.00061900340452,105.21472905344926,449383,418419.92551210424,34.771200866604765,32.37541980130797,500,465.5493482309124,0.0386877127824203,0.03602207894080102,126676,117947.85847299812,9.801609408851748,9.126265743809821,3683139,3429365.921787709,284.9844475394615,265.34864761588585,320530,298445.06517690874,24.80114515629836,23.092313925789906,0,0.0,0.0,0.0,364859,339719.739292365,28.23112039616218,26.285959400523442,2155400,2006890.1303538173,166.77499226245743,155.28397789800505,2514617.0,2341356.6108007445,194.5695605075828,181.16346415976048,103014,95916.20111731843,7.97075208913649,7.421556880015354,123257,114764.43202979515,9.537062828845558,8.879946768012625,16608626.0,15464270.018621972,1285.0995047972765,1196.5544737404807
Belledune,681178.0,634243.9478584729,354.2267290691628,329.82004568823345,434500,404562.3836126629,225.94903796151846,210.3808547127732,198160,184506.51769087522,103.04732189287571,95.94722708833865,16428,15296.08938547486,8.542901716068643,7.954284651833,381178,354914.3389199255,198.22048881955277,184.56283875191133,7000,6517.690875232774,3.640145605824233,3.389334828514183,842700,784636.8715083798,438.22152886115447,408.02749428412886,156000,145251.39664804467,81.1232449297972,75.5337476068875,0,0.0,0.0,0.0,276000,256983.24022346365,143.52574102964118,133.63663038141635,232200,216201.11731843575,120.74882995319813,112.42907816871333,426534.0,397145.251396648,221.8065522620905,206.52379167792407,407392,379322.16014897573,211.85231409256372,197.25541349400714,0,0.0,0.0,0.0,4059270.0,3779581.005586592,2110.904836193448,1965.4607413346812
Beresford,391866.0,364865.92178770946,88.77797915722701,82.66106066780912,744493,693196.4618249533,168.66628908019936,157.04496189962694,68246,63543.7616387337,15.461259628454917,14.39595868571221,0,0.0,0.0,0.0,150,139.66480446927372,0.03398278205709107,0.03164132407550379,25688,23918.06331471136,5.819664703217037,5.418682219010276,607627,565760.7076350093,137.6590394200272,128.1741521601743,187252,174350.09310986963,42.42229270502945,39.4993414385749,0,0.0,0.0,0.0,52722,49089.38547486033,11.944268237426371,11.121292586058074,357149,332540.9683426443,80.91277752605346,75.33778168161402,574933.0,535319.3668528864,130.25215224286362,121.27760916467749,10000,9310.986964618249,2.2655188038060716,2.109421605033586,15507,14438.547486033518,3.513140009062075,3.271080082925582,3035633.0,2826473.9292364987,687.7283642954236,640.342983515292
