municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Bertrand,849181,647241.6158536585,728.2855917667239,555.0957254319542,153950,117339.93902439025,132.032590051458,100.63459607580639,135500,103277.43902439025,116.20926243567753,88.5741329540225,54733,41717.2256097561,46.94082332761578,35.77806656068276,27600,21036.585365853658,23.670668953687823,18.041668409823036,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10189,7766.006097560976,8.738421955403087,6.6603825879596705,1231153,938378.8109756098,1055.877358490566,804.7845720202486
Blacks Harbour,1006017,766781.25,1125.2986577181207,857.6971476510067,217234,165574.69512195123,242.9910514541387,185.2065940961423,143813,109613.56707317074,160.86465324384787,122.61025399683527,87000,66310.9756097561,97.31543624161074,74.17335079391063,7500,5716.463414634147,8.389261744966444,6.394254378785399,10000,7621.951219512195,11.185682326621924,8.525672505047199,5000,3810.9756097560976,5.592841163310962,4.262836252523599,27261,20778.201219512197,30.493288590604028,23.241835816009168,1503825,1146208.0792682928,1682.1308724832215,1282.1119454902603
Blackville,652281,497165.39634146343,680.8778705636744,518.9617915881664,189121,144147.1036585366,197.41231732776617,150.4667052803096,139482,106312.5,145.59707724425888,110.97338204592901,0,0.0,0.0,0.0,10500,8003.048780487805,10.960334029227557,8.353913132033199,0,0.0,0.0,0.0,1,0.7621951219512195,0.0010438413361169101,0.0007956107744793523,1945,1482.469512195122,2.0302713987473906,1.5474629563623403,993330,757111.2804878049,1036.8789144050104,790.3040506135751
Bouctouche,2776577,2116293.4451219514,1176.0173655230835,896.3546993316186,50378,38397.865853658535,21.33756882676832,16.26339087406122,162844,124118.90243902439,68.9724692926726,52.57047964380533,815799,621798.018292683,345.5311308767471,263.36214243654507,135782,103492.37804878049,57.510376958915714,43.83412877966137,0,0.0,0.0,0.0,124600,94969.51219512195,52.77424819991529,40.22427454261836,0,0.0,0.0,0.0,4065980,3099070.1219512196,1722.1431596781024,1312.6091156083098
Cambridge-Narrows,1025339,781508.3841463415,1824.446619217082,1390.5843134276538,1695,1291.9207317073171,3.0160142348754446,2.2987913375575038,9320,7103.658536585366,16.583629893238435,12.639961808870758,0,0.0,0.0,0.0,5404,4118.90243902439,9.615658362989324,7.329007898619912,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7666,5842.987804878049,13.640569395017794,10.39677545351966,1049424,799865.8536585366,1867.3024911032028,1423.2488499262217
Campbellton,10149950,7736242.37804878,1474.6404184221997,1123.9637335535058,2261362,1723599.0853658537,328.5430771465931,250.41393075197644,153848,117262.19512195123,22.35188144704344,17.036495005368476,734603,559910.8231707317,106.72715385732965,81.34691604979393,578231,440724.84756097564,84.00857184367281,64.03092366133599,51250,39062.5,7.445881156472469,5.675214296091821,335016,255347.56097560975,48.67296237105913,37.09829449013653,33081,25214.176829268294,4.806189161702746,3.663253934224654,14297341,10897363.56707317,2077.196135406073,1583.2287617424336
Canterbury,185526,141407.01219512196,552.1607142857143,420.8542029616725,79890,60891.76829268293,237.76785714285714,181.22550087108016,76727,58480.94512195122,228.35416666666666,174.0504319105691,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3247,2474.8475609756097,9.663690476190476,7.365617740998839,345390,263254.5731707317,1027.9464285714287,783.4957534843206
Cap-Pelé,2534452,1931746.9512195121,1045.1348453608248,796.5966809152627,64977,49525.152439024394,26.794639175257732,20.42274327382449,109994,83836.89024390244,45.35835051546392,34.57191350264018,376610,287050.3048780488,155.30309278350515,118.37125974352527,27270,20785.060975609755,11.245360824742267,8.571159165199898,0,0.0,0.0,0.0,105000,80030.48780487805,43.29896907216495,33.002263012320846,0,0.0,0.0,0.0,3218303,2452974.8475609757,1327.1352577319587,1011.5360196127734
Caraquet,5679448,4328847.56097561,1336.969868173258,1019.0319117174224,745454,568181.4024390244,175.48352165725046,133.7526841899775,207352,158042.68292682926,48.811676082862526,37.204021404620825,113855,86779.7256097561,26.80202448210923,20.428372318680815,223453,170314.78658536586,52.60193032015066,40.092934695236785,6000,4573.170731707317,1.4124293785310735,1.0765467824169768,1,0.7621951219512195,0.00023540489642184556,0.0001794244637361628,4157,3168.4451219512193,0.978578154425612,0.7458674957512287,6979720,5319908.536585366,1643.060263653484,1252.3325180285701
Centreville,479886,365766.76829268294,861.5547576301616,656.6728335595744,15411,11746.189024390244,27.66786355475763,21.088310636248192,72520,55274.39024390244,130.19748653500898,99.23588912729343,13000,9908.536585365853,23.33931777378815,17.789114156850722,1000,762.1951219512196,1.7953321364452424,1.368393396680825,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5614,4278.963414634147,10.07899461400359,7.682160528966152,587431,447737.0426829268,1054.6337522441652,803.8367014056137
