municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,290391,250553.06298533216,964.7541528239203,832.402202609077,20270,17489.21484037964,67.3421926910299,58.10370378863667,11701,10095.772217428817,38.87375415282392,33.540771486474476,23000,19844.693701466782,76.41196013289037,65.92921495503914,2000,1725.6255392579808,6.644518272425249,5.732975213481664,7577,6537.532355478861,25.172757475083056,21.719376596275286,291,251.07851596203622,0.9667774086378738,0.8341478935615821,0,0.0,0.0,0.0,355230,306496.9801553063,1180.1661129568106,1018.2623925425459
Aroostook,104329,90016.39344262294,301.52890173410407,260.16298682839,54233,46792.92493528904,156.742774566474,135.23966744303192,0,0.0,0.0,0.0,200,172.56255392579808,0.5780346820809249,0.49873570498785574,4055,3498.705780845556,11.719653179190752,10.111866418628775,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13950,12036.238136324417,40.31791907514451,34.78681542290294,176767,152516.82484900777,510.8872832369942,440.8000718179415
Atholville,1939936,1673801.5530629852,1472.9962034927867,1270.9199339885993,124300,107247.62726488351,94.38116932422172,81.43327810545445,0,0.0,0.0,0.0,3100,2674.7195858498703,2.3538344722854974,2.030918440280843,113457,97892.14840379637,86.14806378132118,74.32964950933665,0,0.0,0.0,0.0,2504,2160.483175150992,1.9012908124525436,1.6404579917623325,1307,1127.6962899050905,0.9924069855732726,0.8562614198216328,2184604,1884904.227782571,1658.7729688686409,1431.210499455255
Baker-Brook,314550,271397.75668679894,599.1428571428571,516.9481079748551,67960,58636.75582398619,129.44761904761904,111.68905871235465,49750,42924.935289042274,94.76190476190476,81.76178150293767,0,0.0,0.0,0.0,9050,7808.455565142363,17.238095238095237,14.873248695509263,0,0.0,0.0,0.0,4,3.451251078515962,0.007619047619047619,0.006573811578125642,1683,1452.1138912855909,3.2057142857142855,2.7659312214963636,442997,382223.4685073339,843.8038095238095,728.0447019187312
Balmoral,877501,757119.0681622088,514.3616647127784,443.79781252181056,230886,199211.3891285591,135.33763188745604,116.77103700384473,109978,94890.42277825711,64.4654161781946,55.62158427799362,0,0.0,0.0,0.0,11077,9557.377049180328,6.492966002344666,5.602213979589876,0,0.0,0.0,0.0,3,2.588438308886971,0.0017584994138335288,0.001517255749640663,18090,15608.283002588438,10.603751465416178,9.1490521703332,1247535,1076389.1285591025,731.2631887456038,630.9432172093216
Bas-Caraquet,714900,616824.8490077653,485.9959211420802,419.32348674899066,273175,235698.87834339947,185.70700203942897,160.23037276913627,85606,73861.94995685936,58.19578518014956,50.2120665920186,500,431.4063848144952,0.3399048266485384,0.2932742248908873,29600,25539.257981018116,20.122365737593473,17.361834113540528,0,0.0,0.0,0.0,32555,28088.869715271783,22.131203263086334,19.09508478264567,465,401.20793787748056,0.3161114887831407,0.2727450291485252,1136801,980846.419327006,772.8082936777703,666.7888642603712
Bath,303718,262051.76876617773,593.19921875,511.8198608714409,48811,42114.75409836065,95.333984375,82.25537909836065,1405,1212.2519413287316,2.744140625,2.367679572907679,27855,24033.649698015528,54.404296875,46.94072206643658,4905,4232.096635030198,9.580078125,8.265813740293355,0,0.0,0.0,0.0,39,33.649698015530625,0.076171875,0.06572206643658325,0,0.0,0.0,0.0,386733,333678.17083692836,755.337890625,651.7151774158757
Bathurst,15949014,13761012.942191543,1254.4450212364322,1082.3511831203039,2606235,2248692.838654012,204.98938178386032,176.86745624146704,666744,575275.2372735116,52.441717791411044,45.247383771709266,1586089,1368497.8429680758,124.75137643542551,107.63708061727826,514738,444122.5194132873,40.4859210319333,34.93176965654297,0,0.0,0.0,0.0,9509,8204.48662640207,0.7479156834985056,0.645311202328305,0,0.0,0.0,0.0,21332329,18405805.867126834,1677.861333962561,1447.6801846096298
Belledune,3973210,3428136.3244176013,2322.1566335476327,2003.586396503566,42477,36649.69801553063,24.82583284628872,21.420045596452734,28480,24572.907679033648,16.64523670368206,14.361722781434043,95677,82551.33735979292,55.918760958503796,48.24742101682812,1500,1294.2191544434856,0.8766803039158387,0.7564109611008099,8000,6902.502157031923,4.67562828755114,4.034191792537652,51387,44337.35979292493,30.0333138515488,25.913126705391544,14064,12134.598792062121,8.219754529514903,7.092109171281193,4214795,3636578.9473684207,2463.3518410286383,2125.411424528592
Beresford,3384548,2920231.2338222605,793.749530956848,684.8572311965902,602900,520189.81880931836,141.39305816135084,121.99573611850806,74779,64520.276100086274,17.537288930581614,15.131396833978958,71750,61906.816220880064,16.826923076923077,14.518484104333973,18625,16069.887834339946,4.36796435272045,3.7687354208114323,9000,7765.314926660914,2.1106941838649154,1.8211338946202895,0,0.0,0.0,0.0,5655,4879.206212251941,1.326219512195122,1.144279130453082,4167257,3595562.553925798,977.3116791744841,843.2369966992959
