cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
115.9,0.8628127696289905,Alma,PPSA,301,290,0.01309398553502628,22177434,19134973.25280414,73679.18272425249,63571.339710312765,71822.0,34521,45000,0,1200,1000,99886,37494,100,9456,44044,5346.0,0,5361,355230.0,290391,20270,11701,23000,2000,7577,291,0,355230
115.9,0.8628127696289905,Aroostook,PPSA,346,380,0.01229990214687401,8482100,7318464.19327006,24514.739884393064,21151.630616387458,48038.0,38406,19032,6000,0,0,32092,22049,0,0,800,350.0,10000,0,176767.0,104329,54233,0,200,4055,0,0,13950,176767
115.9,0.8628127696289905,Atholville,MPSA,1317,1381,0.01236790734810797,156852404,135334257.11820534,119098.25664388762,102759.49667289699,407424.0,146187,119400,151081,4000,2900,471428,94666,0,151217,286373,349928.0,0,0,2184604.0,1939936,124300,0,3100,113457,0,2504,1307,2184604
115.9,0.8628127696289905,Baker-Brook,PPSA,525,599,0.01386498410276318,22686647,19574328.731665228,43212.66095238095,37284.43567936234,100686.0,58275,56780,25250,0,0,105740,18015,0,21206,13345,43700.0,0,0,442997.0,314550,67960,49750,0,9050,0,4,1683,442997
115.9,0.8628127696289905,Balmoral,PPSA,1706,1836,0.01429099234974329,61402384,52978761.00086281,35992.01875732708,31054.373388547952,317031.0,189366,76003,150000,0,3675,253960,95443,0,22744,33300,106013.0,0,0,1247535.0,877501,230886,109978,0,11077,0,3,18090,1247535
115.9,0.8628127696289905,Bas-Caraquet,PPSA,1471,1689,0.01429508351706085,50010201,43149440.034512505,33997.417403127125,29333.405869824954,265252.0,163281,42160,0,1275,4000,288093,80322,0,60944,86200,100274.0,45000,0,1136801.0,714900,273175,85606,500,29600,0,32555,465,1136801
115.9,0.8628127696289905,Bath,PPSA,512,592,0.01435001248996043,21164999,18261431.406384815,41337.888671875,35666.85821559534,84549.0,56832,35839,0,0,9923,54618,36684,0,23107,63937,20971.0,0,273,386733.0,303718,48811,1405,27855,4905,0,39,0,386733
115.9,0.8628127696289905,Bathurst,municipal,12714,12924,0.01754999989370315,908775732,784103306.2985332,71478.34922133082,61672.43246016464,2586965.0,4471772,1757134,724383,4707,195556,4556873,353550,0,599844,2778712,2985881.0,75000,241952,21332329.0,15949014,2606235,666744,1586089,514738,0,9509,0,21332329
115.9,0.8628127696289905,Belledune,PPSA,1711,1923,0.01089566731281899,364659629,314632984.4693701,213126.60958503798,183888.36029770318,806244.0,522500,192660,15261,15000,7000,931502,163000,0,369000,329000,513628.0,350000,0,4214795.0,3973210,42477,28480,95677,1500,8000,51387,14064,4214795
115.9,0.8628127696289905,Beresford,municipal,4264,4414,0.01559329108684089,217051550,187274849.0077653,50903.27157598499,43919.99273165227,612574.0,991955,112214,200000,0,27907,731447,191134,0,85559,504719,689722.0,20026,0,4167257.0,3384548,602900,74779,71750,18625,9000,0,5655,4167257
