municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,121491.0,90664.92537313433,570.3802816901408,425.6569266344335,51087,38124.62686567164,239.8450704225352,178.98885852428,48867,36467.9104477612,229.42253521126761,171.2108471725878,0,0.0,0.0,0.0,2000,1492.5373134328358,9.389671361502348,7.007217433956976,0,0.0,0.0,0.0,142000,105970.14925373135,666.6666666666666,497.5124378109453,27450,20485.074626865673,128.8732394366197,96.1740592810595,100,74.6268656716418,0.4694835680751174,0.3503608716978488,19200,14328.358208955226,90.14084507042253,67.26928736598697,50800,37910.44776119403,238.49765258215962,177.98332282250718,23094.0,17234.328358208957,108.4225352112676,80.9123397099012,71,52.985074626865675,0.3333333333333333,0.24875621890547264,0,0.0,0.0,0.0,486160.0,362805.9701492537,2282.4413145539907,1703.3144138462617
Aroostook,68596.0,51191.04477611941,224.16993464052288,167.29099600039024,45450,33917.9104477612,148.52941176470588,110.84284460052679,9000,6716.417910447762,29.41176470588235,21.949078138718175,20000,14925.37313432836,65.359477124183,48.775729197151506,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36213,27024.626865671642,118.34313725490196,88.31577407082236,27600,20597.014925373136,90.19607843137256,67.31050629206908,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11000,8208.955223880597,35.947712418300654,26.826651058433324,600.0,447.7611940298508,1.9607843137254901,1.463271875914545,0,0.0,0.0,0.0,4966,3705.9701492537315,16.22875816993464,12.111013559652717,223425.0,166735.07462686568,730.1470588235294,544.8858647936787
Atholville,537873.0,401397.7611940299,150.66470588235293,112.43634767339772,644068,480647.7611940299,180.4112044817927,134.63522722521844,295340,220402.9850746269,82.72829131652661,61.737530833228824,133467,99602.23880597015,37.385714285714286,27.899786780383796,5000,3731.34328358209,1.4005602240896358,1.045194197081818,6213,4636.567164179105,1.7403361344537815,1.298758309293867,765620,571358.2089552239,214.4593837535014,160.04431623395627,244962,182807.4626865672,68.61680672268908,51.206572181111255,0,0.0,0.0,0.0,216143,161300.74626865672,60.544257703081236,45.18228186797107,277852,207352.23880597015,77.8296918767507,58.08185960951545,360046.0,268691.0447761194,100.8532212885154,75.26359797650403,77720,58000.0,21.7703081232493,16.246498599439775,0,0.0,0.0,0.0,3564304.0,2659928.3582089553,998.4044817927171,745.0779714871023
Balmoral,363199.0,271044.0298507463,216.9647550776583,161.9139963266107,292428,218229.85074626867,174.68817204301075,130.36430749478416,78234,58383.58208955224,46.7347670250896,34.87669180976837,160000,119402.98507462688,95.57945041816009,71.32794807325381,0,0.0,0.0,0.0,2575,1921.6417910447763,1.538231780167264,1.1479341643039285,298791,222978.35820895524,178.48924731182797,133.20093082972235,103236,77041.79104477612,61.67025089605735,46.02257529556519,0,0.0,0.0,0.0,32744,24435.82089552239,19.560334528076464,14.597264573191392,191367,142811.19402985077,114.31720430107526,85.31134649333977,248829.0,185693.28358208956,148.64336917562724,110.92788744449794,0,0.0,0.0,0.0,891,664.9253731343284,0.532258064516129,0.39720751083293215,1772294.0,1322607.4626865673,1058.7180406212665,790.0880900158705
Bas-Caraquet,344771.0,257291.79104477612,264.19233716475094,197.15846057070968,207856,155116.41791044778,159.27662835249043,118.86315548693317,54500,40671.64179104478,41.76245210727969,31.166009035283356,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1500,1119.402985074627,1.1494252873563218,0.857780065191285,318737,237863.43283582092,244.24291187739465,182.27082975924975,88249,65857.46268656717,67.62375478927203,50.465488648710476,0,0.0,0.0,0.0,92909,69335.07462686568,71.19463601532567,53.1303253845714,142227,106139.55223880598,108.98620689655172,81.33299022130726,13348.0,9961.194029850747,10.228352490421456,7.633098873448848,60831,45396.26865671642,46.61379310344827,34.78641276376737,0,0.0,0.0,0.0,1324928.0,988752.2388059702,1015.2704980842911,757.6645508091725
Bath,98660.0,73626.86567164179,207.2689075630252,154.67828922613822,80823,60315.67164179105,169.79621848739495,126.71359588611566,53713,40084.32835820896,112.84243697478992,84.21077386178352,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9971,7441.044776119404,20.94747899159664,15.632447008654209,63230,47186.567164179105,132.8361344537815,99.131443622225,40710,30380.597014925374,85.52521008403362,63.82478364480121,0,0.0,0.0,0.0,42244,31525.37313432836,88.74789915966386,66.22977549228648,61131,45620.149253731346,128.4264705882353,95.84064969271292,72420.0,54044.77611940299,152.14285714285714,113.53944562899787,0,0.0,0.0,0.0,3584,2674.626865671642,7.529411764705882,5.618964003511853,526486.0,392900.0,1106.063025210084,825.4201680672269
Bathurst,4005431.0,2989127.6119402987,336.6757165672018,251.25053475164316,5279885,3940212.6865671645,443.79969740270656,331.19380403187057,2502117,1867251.4925373136,210.31495334958393,156.95145772357012,924383,689838.0597014925,77.69883163822813,57.98420271509561,6000,4477.611940298508,0.5043288223921997,0.3763647928299998,337449,251827.61194029852,28.3642094645709,21.167320495948434,4813067,3591841.0447761198,404.5614020341263,301.91149405531814,346023,258226.1194029851,29.084895351769354,21.705145784902506,0,0.0,0.0,0.0,465200,347164.17910447763,39.10229469614188,29.18081693741932,3452501,2576493.28358209,290.19929393964867,216.56663726839454,2650707.0,1978139.5522388062,222.80465663612677,166.27213181800505,100000,74626.86567164179,8.405480373203329,6.272746547166663,0,0.0,0.0,0.0,24882763.0,18569226.119402986,2091.5157602757,1560.832656922164
Belledune,1060126.0,791138.8059701493,748.1482004234298,558.3195525547984,826873,617069.4029850747,583.5377558221595,435.4759371807161,241687,180363.43283582092,170.56245589273112,127.28541484532175,22815,17026.119402985074,16.10091743119266,12.015610023278104,5000,3731.34328358209,3.5285815102328866,2.633269783755886,8000,5970.149253731343,5.6457304163726185,4.213231654009417,785000,585820.895522388,553.9872971065631,413.423356049674,200000,149253.73134328358,141.14326040931545,105.33079135023542,10000,7462.68656716418,7.057163020465773,5.266539567511772,499633,372860.447761194,352.5991531404375,263.13369637346085,496500,370522.38805970154,350.3881439661256,261.48368952695944,443964.0,331316.4179104478,313.31263232180663,233.8153972550796,405000,302238.8059701493,285.8151023288638,213.29485248422674,0,0.0,0.0,0.0,5004598.0,3734774.626865672,3531.8263937896963,2635.6913386490273
Beresford,752373.0,561472.3880597015,175.4601212686567,130.94038900646024,1056944,788764.1791044776,246.48880597014926,183.94687012697705,127572,95202.98507462688,29.750932835820894,22.202188683448433,240000,179104.4776119403,55.97014925373134,41.76876809979951,0,0.0,0.0,0.0,44611,33291.791044776124,10.403684701492537,7.763943807083984,866035,646294.7761194031,201.96711753731344,150.7217295054578,217679,162447.01492537314,50.7646921641791,37.88409862998441,0,0.0,0.0,0.0,226169,168782.83582089553,52.74463619402985,39.36166880151482,642032,479128.35820895527,149.72761194029852,111.73702383604368,518030.0,386589.552238806,120.80923507462687,90.15614557807976,615355,459220.14925373136,143.50629664179104,107.0942512252172,0,0.0,0.0,0.0,5306800.0,3960298.507462687,1237.5932835820895,923.5770773000669
Bertrand,259374.0,193562.6865671642,222.44768439108063,166.00573462020944,184888,137976.1194029851,158.56603773584905,118.33286398197691,50455,37652.98507462687,43.27186963979417,32.29244002969715,0,0.0,0.0,0.0,3006,2243.2835820895525,2.5780445969125214,1.9239138782929266,1700,1268.6567164179105,1.4579759862778732,1.088041780804383,290916,217101.49253731343,249.4991423670669,186.19338982616932,81738,60998.50746268657,70.10120068610635,52.314328870228614,0,0.0,0.0,0.0,87292,65143.283582089556,74.86449399656946,55.869025370574235,190965,142511.19402985077,163.7778730703259,122.22229333606413,106751.0,79664.92537313433,91.55317324185249,68.32326361332275,48310,36052.23880597015,41.43224699828473,30.919587312152785,0,0.0,0.0,0.0,1305395.0,974175.3731343284,1119.54974271012,835.4848826194926
