municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,213,232,0.01522424722724874,27921906,20837243.28358209,131088.7605633803,97827.43325625395
Aroostook,306,351,0.01209975686282422,9912100,7397089.552238806,32392.483660130718,24173.49526875427
Atholville,3570,3780,0.01379639547471974,218096459,162758551.49253732,61091.445098039214,45590.63067017852
Balmoral,1674,1719,0.01429099636757367,95400696,71194549.25373134,56989.66308243728,42529.5993152517
Bas-Caraquet,1305,1380,0.01449499329329637,68714830,51279723.88059702,52655.04214559387,39294.80757133871
Bath,476,532,0.01459993786204538,21761257,16239744.029850747,45716.92647058824,34117.10930640913
Bathurst,11897,12275,0.01774999998552165,1036029860,773156611.9402986,87083.28654282592,64987.52727076562
Belledune,1417,1548,0.01159686465600985,386048741,288096075.3731344,272440.8899082569,203314.0969464604
Beresford,4288,4351,0.01559333526718167,274647529,204960842.53731343,64050.26329291045,47798.70394993317
Bertrand,1166,1137,0.01437999282161719,58509000,43663432.8358209,50179.24528301887,37447.197972402144
Blacks Harbour,894,982,0.0155849736312025,64408322,48065911.94029851,72045.1029082774,53765.00217035628
Blackville,958,990,0.01363910620871999,48411750,36128171.641791046,50534.18580375783,37712.07895802823
Bouctouche,2361,2423,0.01325499935748414,214002500,159703358.20895523,90640.6183820415,67642.25252391158
Cambridge-Narrows,562,620,0.01067299636381134,96264532,71839202.98507462,171289.2028469751,127827.76331863813
Campbellton,6883,7385,0.01776299829545637,586831560,437934000.0,85258.10838297254,63625.45401714369
Canterbury,336,336,0.01390634309863662,13376270,9982291.04477612,39810.32738095238,29709.199538024164
Cap-Pelé,2425,2256,0.01320000208431455,194404439,145077939.55223882,80166.77896907217,59825.95445453147
Caraquet,4248,4169,0.01501699936702675,376941682,281299762.6865672,88733.91760828625,66219.34149872109
Centreville,557,542,0.01380151844492578,36164499,26988432.08955224,64927.28725314183,48453.199442643156
Charlo,1310,1324,0.01450600023058428,81358540,60715328.35820896,62105.75572519084,46347.578899396154
Chipman,1104,1236,0.01390000245817083,66065384,49302525.37313433,59841.833333333336,44658.08457711443
Dalhousie,3126,3512,0.01763403776064195,222778416,166252549.25373134,71266.28790786948,53183.79694617126
Dieppe,25384,23310,0.01629450375928415,3030312965,2261427585.8208957,119378.85932083202,89088.70098569554
Doaktown,792,793,0.01489541754054132,55840865,41672287.313432835,70506.14267676767,52616.52438564752
Dorchester,1096,1167,0.01574080913805088,58129858,43380491.04477612,53038.19160583941,39580.74000435777
Drummond,737,775,0.01270254901722171,54235020,40473895.52238806,73588.90094979647,54917.09026104215
Edmundston,16580,16032,0.0163499998387815,1380734876,1030399161.1940299,83277.13365500604,62147.11466791495
Eel River Crossing,1953,2025,0.01271826240546798,82025120,61212776.11940299,41999.54941116231,31342.947321762924
Florenceville-Bristol,1604,1639,0.01289899898621702,214108940,159782791.04477614,133484.3765586035,99615.20638701755
Fredericton,58636,56224,0.01412924008197066,7082276288,5285280811.940299,120783.7555085613,90137.13097653829
Fredericton Junction,704,752,0.01329200048114468,40944025,30555242.537313435,58159.126420454544,43402.333149592945
Gagetown,711,698,0.01453055203382547,60887845,45438690.29850747,85636.91279887482,63908.143879757336
Grand Bay-Westfield,4964,5117,0.01370044838055818,372932539,278307864.92537314,75127.42526188558,56065.242732750434
Grand Falls/Grand-Sault,5326,5706,0.01488983991655503,537774284,401324092.53731346,100971.51408186257,75351.87618049445
Grand Manan,2360,2377,0.01191063923584546,195351060,145784373.13432837,82775.87288135593,61773.03946369846
Grande-Anse,899,738,0.0147599763352205,37101550,27687723.880597018,41269.79977753059,30798.35804293328
Hampton,4289,4292,0.01269999932657247,355494822,265294643.2835821,82885.24644439263,61854.661525666146
Hartland,957,947,0.01546291820634092,85104311,63510679.850746274,88928.22466039707,66364.34676149036
Harvey,358,363,0.01335439710536353,19401400,14478656.71641791,54193.85474860335,40443.17518552489
Hillsborough,1277,1350,0.01345991704749976,83907055,62617205.223880604,65706.38606108066,49034.61646349303
Lac Baker,690,719,0.01122798325653779,59317242,44266598.50746269,85967.01739130435,64154.49059052563
Lamèque,1285,1432,0.01500000833313426,90002150,67165783.58208956,70040.58365758754,52269.092281781755
Le Goulet,793,817,0.01587745760107402,24729400,18454776.119402986,31184.615384615383,23272.101033295065
Maisonnette,495,573,0.01448999122373565,25450464,18992883.582089555,51415.07878787879,38369.4617819991
McAdam,1151,1284,0.01593359830397184,49858606,37207914.92537314,43317.64205039096,32326.598545067885
Meductic,215,228,0.01289871566076869,13610890,10157380.597014926,63306.46511627907,47243.630683790354
Memramcook,4778,4831,0.01391200161421009,307657598,229595222.3880597,64390.45583926329,48052.578984524844
Millville,273,307,0.01452192672602651,10539786,7865511.940298508,38607.27472527473,28811.399048712483
Minto,2305,2505,0.01325565515746162,103322543,77106375.37313433,44825.398264642085,33451.789749732896
Miramichi,17537,17811,0.01739904253455886,1469373556,1096547429.8507464,83787.0534298911,62527.651813351564
Moncton,71889,69074,0.01649700003229732,8061505955,6016049220.149254,112138.24027319896,83685.25393522311
Nackawic,941,1049,0.01437316835014234,91265055,68108250.0,96987.30605738577,72378.58660998938
New Maryland,4174,4232,0.01264400105318724,341667640,254975850.74626866,81856.16674652611,61086.69160188516
Nigadoo,963,952,0.01387500128912011,53330950,39799216.41791045,55380.010384215995,41328.365958370145
Norton,1382,1301,0.01165574992195267,74217790,55386410.4477612,53703.17655571635,40076.99742963907
Néguac,1684,1678,0.01350000159978499,125016800,93296119.40298508,74238.00475059383,55401.49608253271
Oromocto,9223,8932,0.01217801368631942,1184239349,883760708.2089553,128400.6667028082,95821.39306179716
Paquetville,720,706,0.01369950935730665,50433850,37637201.49253731,70047.01388888889,52273.89096185738
Perth-Andover,1590,1778,0.01230000201950791,118444696,88391564.17910448,74493.51949685534,55592.17872899653
Petit-Rocher,1897,1908,0.01479599667664818,105351470,78620500.0,55535.83025830258,41444.64944649446
Petitcodiac,1383,1429,0.01279399091026853,89417603,66729554.477611944,64654.81055676066,48249.85862444826
Plaster Rock,1023,1135,0.01667846275458494,59723190,44569544.7761194,58380.439882697945,43567.49244977459
Pointe-Verte,886,976,0.01590001227636088,41412924,30905167.164179105,46741.44920993228,34881.67851487484
Port Elgin,408,418,0.01429489852827934,24112728,17994573.134328358,59099.82352941176,44104.345917471466
Quispamsis,18245,17886,0.01289958817517307,1678350247,1252500184.3283582,91989.59972595231,68648.9550193674
Rexton,830,818,0.01317900594613033,82229950,61365634.32835821,99072.22891566265,73934.49919079302
Richibucto,1266,1286,0.01352799964600459,106532454,79501831.3432836,84148.85781990521,62797.65508948151
Riverside-Albert,350,353,0.01417619932597625,21944034,16376144.776119404,62697.24,46788.985074626864
Riverview,19667,19128,0.01582617649471843,1491906400,1113362985.074627,75858.36172268266,56610.71770349453
Rivière-Verte,724,744,0.01297399948945644,38429630,28678828.358208958,53079.599447513814,39611.64137874165
Rogersville,1166,1170,0.01484775954235942,56026500,41810820.89552239,48050.17152658662,35858.33696013928
Rothesay,11659,11947,0.01239999962080414,1251068506,933633213.4328358,107304.9580581525,80078.32690906903
Sackville,5331,5558,0.01559999192577891,619997885,462684988.8059702,116300.48489964359,86791.40664152509
Saint Andrews,1786,1889,0.01209997969639644,301232241,224800179.85074627,168663.06886898098,125867.96184252312
Saint George,1517,1543,0.0139999978706684,134314449,100234663.43283583,88539.51812788399,66074.26725961492
Saint John,67575,70063,0.01785000002370307,6796587554,5072080264.179105,100578.43217166112,75058.5314713889
Saint-Antoine,1733,1770,0.01264065119377638,109878200,81998656.71641791,63403.46220427005,47316.01657035078
Saint-Isidore,764,748,0.01294998073280581,49047100,36602313.432835825,64197.77486910995,47908.7872157537
Saint-Louis-de-Kent,856,930,0.0147560014779098,59272900,44233507.46268657,69244.04205607477,51674.658250802066
Saint-Léolin,647,684,0.01548697813901063,19286913,14393218.65671642,29809.757341576507,22246.087568340678
Saint-Léonard,1300,1343,0.01502199768423938,78367340,58483089.55223881,60282.56923076923,44986.99196326062
Saint-Quentin,2194,2095,0.01449999978560468,130599864,97462585.07462688,59525.91795806745,44422.326834378706
Sainte-Anne-de-Madawaska,957,1002,0.01471731620594407,43678344,32595779.104477614,45640.90282131662,34060.37523978852
Sainte-Marie-Saint-Raphaël,879,955,0.01470000319157078,32272510,24083962.686567165,36715.02844141069,27399.274956276637
Salisbury,2284,2208,0.009857855907072222,175604413,131048069.40298508,76884.59413309983,57376.562785895396
Shediac,6664,6062,0.01493333352634182,654893496,488726489.5522388,98273.3337334934,73338.30875633836
Shippagan,2580,2631,0.01511268847585149,229287066,171109750.74626866,88870.9558139535,66321.6088163832
St. Martins,276,314,0.01218449396391521,21660481,16164538.059701493,78480.0036231884,58567.166882976424
St. Stephen,4415,4817,0.0157999996501844,339035767,253011766.41791046,76791.79320498301,57307.30836192762
Stanley,412,419,0.01455199753430765,29551132,22053083.582089555,71726.04854368932,53526.90189827562
Sussex,4282,4312,0.01273356269543624,405019249,302253170.8955224,94586.46637085475,70586.9152021304
Sussex Corner,1461,1495,0.01219999386412817,99219804,74044629.85074627,67912.2546201232,50680.787029942694
Tide Head,938,1036,0.01479497882752675,60576768,45206543.28358209,64580.77611940299,48194.60904433059
Tracy,608,611,0.01190000230042901,25647390,19139843.28358209,42183.20723684211,31480.00540062844
Woodstock,5228,5254,0.01427912997629791,500484204,373495674.6268657,95731.48508033664,71441.40677637064
