cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
134.0,0.746268656716418,Alma,PPSA,213,232,0.01522424722724874,27921906,20837243.28358209,131088.7605633803,97827.43325625395,121491.0,51087,48867,0,2000,0,142000,27450,100,19200,50800,23094.0,71,0,486160.0,425090,4796,16592,21400,4260,0,0,14022,486160
134.0,0.746268656716418,Aroostook,PPSA,306,351,0.01209975686282422,9912100,7397089.552238806,32392.483660130718,24173.49526875427,68596.0,45450,9000,20000,0,0,36213,27600,0,0,11000,600.0,0,4966,223425.0,119934,92168,0,0,5000,0,6323,0,223425
134.0,0.746268656716418,Atholville,MPSA,3570,3780,0.01379639547471974,218096459,162758551.49253732,61091.445098039214,45590.63067017852,537873.0,644068,295340,133467,5000,6213,765620,244962,0,216143,277852,360046.0,77720,0,3564304.0,3008945,290668,1717,57500,155274,0,50001,199,3564304
134.0,0.746268656716418,Balmoral,PPSA,1674,1719,0.01429099636757367,95400696,71194549.25373134,56989.66308243728,42529.5993152517,363199.0,292428,78234,160000,0,2575,298791,103236,0,32744,191367,248829.0,0,891,1772294.0,1363371,138294,161131,100000,9446,0,52,0,1772294
134.0,0.746268656716418,Bas-Caraquet,PPSA,1305,1380,0.01449499329329637,68714830,51279723.88059702,52655.04214559387,39294.80757133871,344771.0,207856,54500,0,0,1500,318737,88249,0,92909,142227,13348.0,60831,0,1324928.0,996021,177341,59660,10000,8856,1000,71695,355,1324928
134.0,0.746268656716418,Bath,PPSA,476,532,0.01459993786204538,21761257,16239744.029850747,45716.92647058824,34117.10930640913,98660.0,80823,53713,0,0,9971,63230,40710,0,42244,61131,72420.0,0,3584,526486.0,317713,89941,36329,12425,43100,10327,16651,0,526486
134.0,0.746268656716418,Bathurst,municipal,11897,12275,0.01774999998552165,1036029860,773156611.9402986,87083.28654282592,64987.52727076562,4005431.0,5279885,2502117,924383,6000,337449,4813067,346023,0,465200,3452501,2650707.0,100000,0,24882763.0,18389530,3287557,952610,1422800,608032,0,213863,8371,24882763
134.0,0.746268656716418,Belledune,PPSA,1417,1548,0.01159686465600985,386048741,288096075.3731344,272440.8899082569,203314.0969464604,1060126.0,826873,241687,22815,5000,8000,785000,200000,10000,499633,496500,443964.0,405000,0,5004598.0,4476955,344838,36380,121500,9500,4500,5641,5284,5004598
134.0,0.746268656716418,Beresford,municipal,4288,4351,0.01559333526718167,274647529,204960842.53731343,64050.26329291045,47798.70394993317,752373.0,1056944,127572,240000,0,44611,866035,217679,0,226169,642032,518030.0,615355,0,5306800.0,4282671,828430,72031,60200,27250,24200,0,12018,5306800
134.0,0.746268656716418,Bertrand,PPSA,1166,1137,0.01437999282161719,58509000,43663432.8358209,50179.24528301887,37447.197972402144,259374.0,184888,50455,0,3006,1700,290916,81738,0,87292,190965,106751.0,48310,0,1305395.0,841359,196864,140908,75335,41600,0,0,9329,1305395
134.0,0.746268656716418,Blacks Harbour,PPSA,894,982,0.0155849736312025,64408322,48065911.94029851,72045.1029082774,53765.00217035628,284274.0,227436,175095,50000,2550,32005,206703,57470,0,53174,310406,94784.0,0,0,1493897.0,1003802,175753,151656,101985,6500,8000,15605,30596,1493897
